paper_name,id,abstract,triage_label,lane,corpus_stage,mechanism,why_it_matters,follow_up,authors,year,source_ids,primary_id,paper_id,categories,queries,discovery_methods,designations,assignment_rank,assignment_score,search_score,primary_reader,metadata_verified,body_inspected,evidence_read,abstract_reviewed,inspection_status,triage_status,stages_seen,source_registry_paths,source_triage_paths,metadata_status,triage_count
Precise Request Tracing and Performance Debugging for Multi-tier Services of Black Boxes,arxiv:1003.0955,"As more and more multi-tier services are developed from commercial components or heterogeneous middleware without the source code available, both developers and administrators need a precise request tracing tool to help understand and debug performance problems of large concurrent services of black boxes. Previous work fails to resolve this issue in several ways: they either accept the imprecision of probabilistic correlation methods, or rely on knowledge of protocols to isolate requests in pursuit of tracing accuracy. This paper introduces a tool named PreciseTracer to help debug performance problems of multi-tier services of black boxes. Our contributions are two-fold: first, we propose a precise request tracing algorithm for multi-tier services of black boxes, which only uses application-independent knowledge; secondly, we present a component activity graph abstraction to represent causal paths of requests and facilitate end-to-end performance debugging. The low overhead and tolerance of noise make PreciseTracer a promising tracing tool for using on production systems.",high,B3,primary_assignment,Performs precise black-box request tracing and represents causal request paths with component activity graphs.,"Directly relevant where Reflex services, connectors, or middleware cannot be instrumented internally.",true,,2010,arxiv:1003.0955,arxiv:1003.0955,8811220115148131552,,35-classic-tracing,firecrawl research search-papers,foundational,35,18.833970308388608,0.5190337668182148,B3,Firecrawl Research search-papers abstract; full text not assumed,inspect-arxiv_1003.0955.json,available-text,,inspect-arxiv_1003.0955.json,triaged,primary_assignment,b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/expansion-registry.json | b3/follow-up-manifest.jsonl | b3/inspection-evidence.jsonl | b3/raw-q35-classic-tracing.json | b3/read-evidence-manifest.jsonl | b3/registry.json | b7/canonical-registry.json | b7/raw-retrieval/q15-mechanism-causal-trace.json | b8/canonical-registry.json | b8/expansion-follow-up-manifest.json | b8/expansion-inspection-manifest.json | b8/expansion-registry.json | b8/raw/foundational-02.json | b8/raw/mechanism-03.json,b3/triage.jsonl,complete,1
YTrace: End-to-end Performance Diagnosis in Large Cloud and Content Providers,arxiv:1602.03273,"Content providers build serving stacks to deliver content to users. An important goal of a content provider is to ensure good user experience, since user experience has an impact on revenue. In this paper, we describe a system at Yahoo called YTrace that diagnoses bad user experience in near real time. We present the different components of YTrace for end-to-end multi-layer diagnosis (instrumentation, methods and backend system), and the system architecture for delivering diagnosis in near real time across all user sessions at Yahoo. YTrace diagnoses problems across service and network layers in the end-to-end path spanning user host, Internet, CDN and the datacenters, and has three diagnosis goals: detection, localization and root cause analysis (including cascading problems) of performance problems in user sessions with the cloud. The key component of the methods in YTrace is capturing and discovering causality, which we design based on a mix of instrumentation API, domain knowledge and blackbox methods. We show three case studies from production that span a large-scale distributed storage system, a datacenter-wide network, and an end-to-end video serving stack at Yahoo. We end by listing a number of open directions for performance diagnosis in cloud and content providers.",high,B3,primary_assignment,"Performs near-real-time multi-layer diagnosis across user, network, CDN, and data-center paths using causal discovery and black-box methods.","Established end-to-end precedent for separating service, network, and host contributions.",true,,2016,arxiv:1602.03273,arxiv:1602.03273,2542033207949692157,,01-direct | 02-critical-path | 04-trace-causality | 13-causal-profiling | 23-host-telemetry | 26-temporal-fi | 36-causal-profiler,firecrawl research search-papers,foundational,40,17.2491373183596,0.8956687768809987,B3,,inspect-arxiv_1602.03273.json,available-text,,inspect-arxiv_1602.03273.json,triaged,primary_assignment,b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/follow-up-manifest.jsonl | b3/inspection-evidence.jsonl | b3/raw-q01-direct.json | b3/raw-q02-critical-path.json | b3/raw-q04-trace-causality.json | b3/raw-q13-causal-profiling.json | b3/raw-q23-host-telemetry.json | b3/raw-q26-temporal-fi.json | b3/raw-q36-causal-profiler.json | b3/read-evidence-manifest.jsonl | b3/registry.json | b8/canonical-registry.json | b8/raw/foundational-02.json,b3/triage.jsonl,complete,1
Coz: Finding Code that Counts with Causal Profiling,arxiv:1608.03676,"Improving performance is a central concern for software developers. To locate optimization opportunities, developers rely on software profilers. However, these profilers only report where programs spent their time: optimizing that code may have no impact on performance. Past profilers thus both waste developer time and make it difficult for them to uncover significant optimization opportunities. This paper introduces causal profiling. Unlike past profiling approaches, causal profiling indicates exactly where programmers should focus their optimization efforts, and quantifies their potential impact. Causal profiling works by running performance experiments during program execution. Each experiment calculates the impact of any potential optimization by virtually speeding up code: inserting pauses that slow down all other code running concurrently. The key insight is that this slowdown has the same relative effect as running that line faster, thus ""virtually"" speeding it up. We present Coz, a causal profiler, which we evaluate on a range of highly-tuned applications: Memcached, SQLite, and the PARSEC benchmark suite. Coz identifies previously unknown optimization opportunities that are both significant and targeted. Guided by Coz, we improve the performance of Memcached by 9%, SQLite by 25%, and accelerate six PARSEC applications by as much as 68%; in most cases, these optimizations involve modifying under 10 lines of code.",high,B3,primary_assignment,Uses virtual speedups and causal profiling to estimate which code regions would actually improve end-to-end performance.,"Separates time spent from time that causally controls outcome latency, improving optimization blame assignment.",true,,,arxiv:1608.03676,arxiv:1608.03676,8651083539529506116,,13-causal-profiling | 36-causal-profiler,,,50,,0.9275735146384823,B3,,inspect-arxiv_1608.03676.json,available-text,,inspect-arxiv_1608.03676.json,triaged,primary_assignment,b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/follow-up-manifest.jsonl | b3/inspection-evidence.jsonl | b3/raw-q13-causal-profiling.json | b3/raw-q36-causal-profiler.json | b3/read-evidence-manifest.jsonl | b3/registry.json,b3/triage.jsonl,complete,1
Co-evolving Tracing and Fault Injection with Box of Pain,arxiv:1903.12226,"Distributed systems are hard to reason about largely because of uncertainty about what may go wrong in a particular execution, and about whether the system will mitigate those faults. Tools that perturb executions can help test whether a system is robust to faults, while tools that observe executions can help better understand their system-wide effects. We present Box of Pain, a tracer and fault injector for unmodified distributed systems that addresses both concerns by interposing at the system call level and dynamically reconstructing the partial order of communication events based on causal relationships. Box of Pain's lightweight approach to tracing and focus on simulating the effects of partial failures on communication rather than the failures themselves sets it apart from other tracing and fault injection systems. We present evidence of the promise of Box of Pain and its approach to lightweight observation and perturbation of distributed systems.",high,B3,primary_assignment,Combines system-call-level tracing with causal partial-order reconstruction and fault injection for unmodified distributed systems.,Strong template for controlled failure localization across black-box runtime boundaries.,true,Daniel Bittman | Ethan L. Miller | Peter Alvaro,2019,arxiv:1903.12226,arxiv:1903.12226,4522538243711952951,cs.DC,04-trace-causality | 05-event-graph | 07-trace-loss | 09-error-propagation | 17-ros2-flow | 24-fault-injection | 25-replay | 26-temporal-fi | 35-classic-tracing,semantic-search,general,29,109.847,0.9384858183053656,B3,inspect-paper completed,inspect-arxiv_1903.12226.json,available-text,false,inspect-arxiv_1903.12226.json,triaged,primary_assignment,b2/raw-q01-direct.txt | b2/raw-q08-ebpf.txt | b2/raw-q12-recent.txt | b2/raw-q14-replay.txt | b2/registry-final.json | b2/registry.json | b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/follow-up-manifest.jsonl | b3/inspection-evidence.jsonl | b3/raw-q04-trace-causality.json | b3/raw-q05-event-graph.json | b3/raw-q07-trace-loss.json | b3/raw-q09-error-propagation.json | b3/raw-q17-ros2-flow.json | b3/raw-q24-fault-injection.json | b3/raw-q25-replay.json | b3/raw-q26-temporal-fi.json | b3/raw-q35-classic-tracing.json | b3/read-evidence-manifest.jsonl | b3/registry.json | b7/assigned-paper-manifest.json | b7/assigned-paper-manifest.jsonl | b7/canonical-registry.json | b7/raw-retrieval/q28-adjacent-cps-tracing.json | b8/assigned-paper-manifest.json | b8/canonical-registry.json | b8/follow-up-manifest.json | b8/inspection-manifest.json | b8/raw/adjacent-01.json | b8/raw/adjacent-05.json | b8/raw/foundational-02.json | b8/raw/foundational-03.json | b8/targeted-read-manifest.json,b3/triage.jsonl,complete,1
Online Analysis of Distributed Dataflows with Timely Dataflow,arxiv:1912.09747,"We present ST2, an end-to-end solution to analyze distributed dataflows in an online setting. It is powered by Timely Dataflow, a low-latency, distributed data-parallel dataflow computational framework, and expands on its predecessor SnailTrail 1, a system to run online critical path analysis on program activity graphs derived from dataflow execution traces. ST2 connects to a running Timely computation, creates the program activity graph representation, and runs multiple analyses on top of it. Analyses include aggregate metrics, progress and temporal invariant checking, and graph pattern matching. Through a command-line interface and a real-time dashboard, users are able to interact with and visualize ST2's analysis results. For ST2's implementation, we discuss Differential Dataflow, a framework that uses differential computation to incrementalize even complex relational dataflow operators, as an alternative to Timely Dataflow, but ultimately settle on using Timely. In our performance evaluations, we are able to show that ST2 is able to comfortably keep up with common streaming computations in offline and online settings, even exceeding SnailTrail 1's performance. We also showcase and evaluate ST2 from a functional standpoint in a case study. Using the dashboard to profile a faulty source computation, we manage to successfully detect the issues' root cause. We argue that ST2 is an extendable system that paves the way for users to debug, monitor, and optimize online distributed dataflows.",high,B3,primary_assignment,"Builds online program activity graphs from distributed dataflows for critical-path analysis, invariants, pattern matching, and root-cause debugging.",Directly supplies online graph analytics for queueing/dataflow pipelines and explicit fault-path investigation.,true,,,arxiv:1912.09747,arxiv:1912.09747,4118711015418026087,,02-critical-path,,,69,,0.8388910504234147,B3,,inspect-arxiv_1912.09747.json,available-text,,inspect-arxiv_1912.09747.json,triaged,primary_assignment,b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/follow-up-manifest.jsonl | b3/inspection-evidence.jsonl | b3/raw-q02-critical-path.json | b3/read-evidence-manifest.jsonl | b3/registry.json,b3/triage.jsonl,complete,1
Causality-Guided Adaptive Interventional Debugging,arxiv:2003.09539,"Runtime nondeterminism is a fact of life in modern database applications. Previous research has shown that nondeterminism can cause applications to intermittently crash, become unresponsive, or experience data corruption. We propose Adaptive Interventional Debugging (AID) for debugging such intermittent failures. AID combines existing statistical debugging, causal analysis, fault injection, and group testing techniques in a novel way to (1) pinpoint the root cause of an application's intermittent failure and (2) generate an explanation of how the root cause triggers the failure. AID works by first identifying a set of runtime behaviors (called predicates) that are strongly correlated to the failure. It then utilizes temporal properties of the predicates to (over)-approximate their causal relationships. Finally, it uses fault injection to execute a sequence of interventions on the predicates and discover their true causal relationships. This enables AID to identify the true root cause and its causal relationship to the failure. We theoretically analyze how fast AID can converge to the identification. We evaluate AID with six real-world applications that intermittently fail under specific inputs. In each case, AID was able to identify the root cause and explain how the root cause triggered the failure, much faster than group testing and more precisely than statistical debugging. We also evaluate AID with many synthetically generated applications with known root causes and confirm that the benefits also hold for them.",high,B3,primary_assignment,"Combines statistical debugging, temporal causal approximation, fault injection, and group testing to identify intermittent root causes.",Best transfer for distinguishing correlated symptoms from causal triggers in rare robot failures.,true,Anna Fariha | Suman Nath | Alexandra Meliou,2020,arxiv:2003.09539,arxiv:2003.09539,3644730271053295982,cs.DB | cs.SE,24-fault-injection | 25-replay | 26-temporal-fi | 36-causal-profiler,semantic-search,general,41,19.128673178375735,0.9453186827840592,B3,inspect-paper completed,inspect-arxiv_2003.09539.json,available-text,,inspect-arxiv_2003.09539.json,triaged,primary_assignment,b2/raw-q14-replay.txt | b2/registry-final.json | b2/registry.json | b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/expansion-registry.json | b3/follow-up-manifest.jsonl | b3/inspection-evidence.jsonl | b3/raw-q24-fault-injection.json | b3/raw-q25-replay.json | b3/raw-q26-temporal-fi.json | b3/raw-q36-causal-profiler.json | b3/read-evidence-manifest.jsonl | b3/registry.json | b8/canonical-registry.json | b8/raw/direct-04.json,b3/triage.jsonl,complete,1
Aggregate-Driven Trace Visualizations for Performance Debugging,arxiv:2010.13681,"Performance issues in cloud systems are hard to debug. Distributed tracing is a widely adopted approach that gives engineers visibility into cloud systems. Existing trace analysis approaches focus on debugging single request correctness issues but not debugging single request performance issues. Diagnosing a performance issue in a given request requires comparing the performance of the offending request with the aggregate performance of typical requests. Effective and efficient debugging of such issues faces three challenges: (i) identifying the correct aggregate data for diagnosis; (ii) visualizing the aggregated data; and (iii) efficiently collecting, storing, and processing trace data. We present TraVista, a tool designed for debugging performance issues in a single trace that addresses these challenges. TraVista extends the popular single trace Gantt chart visualization with three types of aggregate data - metric, temporal, and structure data, to contextualize the performance of the offending trace across all traces.",high,B3,primary_assignment,"Compares an offending request trace with aggregate temporal, structural, and metric baselines to expose performance divergence.",Direct pattern for identifying the first stage that deviates from normal Reflex episodes.,true,Vaastav Anand | Matheus Stolet | Thomas Davidson | Ivan Beschastnikh | Tamara Munzner | Jonathan Mace,2020,arxiv:2010.13681,arxiv:2010.13681,461141095892195113,cs.DC | cs.HC,23-host-telemetry | 35-classic-tracing,semantic-search,general,59,,0.8740772351648677,B3,inspect-paper completed,inspect-arxiv_2010.13681.json,available-text,,inspect-arxiv_2010.13681.json,triaged,primary_assignment,b2/raw-q02-identifiers.txt | b2/registry-final.json | b2/registry.json | b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/follow-up-manifest.jsonl | b3/inspection-evidence.jsonl | b3/raw-q23-host-telemetry.json | b3/raw-q35-classic-tracing.json | b3/read-evidence-manifest.jsonl | b3/registry.json,b3/triage.jsonl,complete,1
Latency Analysis of ROS2 Multi-Node Systems,arxiv:2101.02074,"The Robot Operating System 2 (ROS2) targets distributed real-time systems and is widely used in the robotics community. Especially in these systems, latency in data processing and communication can lead to instabilities. Though being highly configurable with respect to latency, ROS2 is often used with its default settings. In this paper, we investigate the end-to-end latency of ROS2 for distributed systems with default settings and different Data Distribution Service (DDS) middlewares. In addition, we profile the ROS2 stack and point out latency bottlenecks. Our findings indicate that end-to-end latency strongly depends on the used DDS middleware. Moreover, we show that ROS2 can lead to 50% latency overhead compared to using low-level DDS communications. Our results imply guidelines for designing distributed ROS2 architectures and indicate possibilities for reducing the ROS2 overhead.",high,B3,primary_assignment,Profiles ROS 2 and DDS middleware and finds up to 50% end-to-end latency overhead relative to low-level DDS communication.,Quantifies why middleware overhead must be measured as a separate causal stage.,false,Tobias Kronauer | Joshwa Pohlmann | Maximilian Matthe | Till Smejkal | Gerhard Fettweis,2021,arxiv:2101.02074,arxiv:2101.02074,415527073889071452,cs.RO | cs.DC | cs.MA | cs.PF | cs.SE,16-ros2-causal | 17-ros2-flow | 18-ros2-timing | 20-robot-middleware,related-similar | related-references,general,67,18.044855324483063,0.8754466418125836,B3,inspect-paper completed,054-arxiv_2101.02074.json,,,true,triaged,primary_assignment,b1/expansion/expansion-manifest.jsonl | b2/registry-expansion-additions.json | b2/registry-final.json | b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/expansion-registry.json | b3/raw-q16-ros2-causal.json | b3/raw-q17-ros2-flow.json | b3/raw-q18-ros2-timing.json | b3/raw-q20-robot-middleware.json | b3/registry.json | b4/assigned-paper-manifest.jsonl | b4/canonical-registry.json | b4/raw-retrieval/q02-latency-distribution-percentile.json | b4/raw-retrieval/q04-head-of-line-blocking-robotics.json | b4/raw-retrieval/q10-latency-distribution-measurement.json | b4/raw-retrieval/q12-ROS-2-executor.json | b4/raw-retrieval/q13-DDS-QoS-queue.json | b5/canonical-registry.jsonl | b5/raw-retrieval/q03-direct-command.json | b5/raw-retrieval/q05-direct-rosdds.json | b5/raw-retrieval/q13-mech-qos.json | b5/raw-retrieval/q14-mech-dds-loss.json | b7/canonical-registry.json | b7/expansion/expansion-registry-final.json | b7/expansion/expansion-registry.json | b7/raw-retrieval/q01-direct-ros2-latency.json | b7/raw-retrieval/q02-direct-e2e.json | b7/raw-retrieval/q03-direct-dds-tracing.json | b7/raw-retrieval/q12-mechanism-qos.json | b7/raw-retrieval/q13-mechanism-zerocopy.json | b7/raw-retrieval/q22-failure-serialization.json | b7/raw-retrieval/q32-adjacent-ros1-ros2.json | b7/raw-retrieval/q33-foundational-ros.json | b7/raw-retrieval/q34-foundational-dds.json | b7/raw-retrieval/q36-foundational-eval.json | b7/raw-retrieval/q37-foundational-e2e.json | b8/canonical-registry.json | b8/expansion-canonical-registry.json | b8/expansion-follow-up-manifest.json | b8/expansion-inspection-manifest.json | b8/expansion-registry.json | b8/raw/mechanism-03.json,b3/triage.jsonl,complete,1
DepGraph: Localizing Performance Bottlenecks in Multi-Core Applications Using Waiting Dependency Graphs and Software Tracing,arxiv:2103.04933,"This paper addresses the challenge of understanding the waiting dependencies between the threads and hardware resources required to complete a task. The objective is to improve software performance by detecting the underlying bottlenecks caused by system-level blocking dependencies. In this paper, we use a system level tracing approach to extract a Waiting Dependency Graph that shows the breakdown of a task execution among all the interleaving threads and resources. The method allows developers and system administrators to quickly discover how the total execution time is divided among its interacting threads and resources. Ultimately, the method helps detecting bottlenecks and highlighting their possible causes. Our experiments show the effectiveness of the proposed approach in several industry-level use cases. Three performance anomalies are analysed and explained using the proposed approach. Evaluating the method efficiency reveals that the imposed overhead never exceeds 10.1%, therefore making it suitable for in-production environments.",high,B3,primary_assignment,Builds waiting-dependency graphs over interleaving threads and hardware resources to break down task execution and explain bottlenecks.,"Direct mechanism for attributing delay to queueing, threads, CPU, and resource contention; reports production overhead below 10.1%.",true,Naser Ezzati-Jivan | Quentin Fournier | Michel R. Dagenais | Abdelwahab Hamou-Lhadj,2021,arxiv:2103.04933,arxiv:2103.04933,7865034857012623966,cs.SE,14-async-critical,related-similar,general,16,,0.709663434293815,B3,inspect-paper completed,inspect-arxiv_2103.04933.json,available-text,,inspect-arxiv_2103.04933.json,triaged,primary_assignment,b2/registry-expansion-additions.json | b2/registry-final.json | b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/follow-up-manifest.jsonl | b3/inspection-evidence.jsonl | b3/raw-q14-async-critical.json | b3/read-evidence-manifest.jsonl | b3/registry.json,b3/triage.jsonl,complete,1
An Influence-based Approach for Root Cause Alarm Discovery in Telecom Networks,arxiv:2105.03092,"Alarm root cause analysis is a significant component in the day-to-day telecommunication network maintenance, and it is critical for efficient and accurate fault localization and failure recovery. In practice, accurate and self-adjustable alarm root cause analysis is a great challenge due to network complexity and vast amounts of alarms. A popular approach for failure root cause identification is to construct a graph with approximate edges, commonly based on either event co-occurrences or conditional independence tests. However, considerable expert knowledge is typically required for edge pruning. We propose a novel data-driven framework for root cause alarm localization, combining both causal inference and network embedding techniques. In this framework, we design a hybrid causal graph learning method (HPCI), which combines Hawkes Process with Conditional Independence tests, as well as propose a novel Causal Propagation-Based Embedding algorithm (CPBE) to infer edge weights. We subsequently discover root cause alarms in a real-time data stream by applying an influence maximization algorithm on the weighted graph. We evaluate our method on artificial data and real-world telecom data, showing a significant improvement over the best baselines.",high,B3,primary_assignment,"Combines causal graph learning, Hawkes processes, network embeddings, and influence maximization for root alarm localization.",A streaming alarm-cascade model for ranking initiating faults rather than downstream symptoms.,false,,,arxiv:2105.03092,arxiv:2105.03092,8535061699263342057,,05-event-graph,,,84,,0.759510916949111,B3,,,,,,triaged,primary_assignment,b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/raw-q05-event-graph.json | b3/registry.json,b3/triage.jsonl,complete,1
