paper_name,id,abstract,triage_label,lane,corpus_stage,mechanism,why_it_matters,follow_up,authors,year,source_ids,primary_id,paper_id,categories,queries,discovery_methods,designations,assignment_rank,assignment_score,search_score,primary_reader,metadata_verified,body_inspected,evidence_read,abstract_reviewed,inspection_status,triage_status,stages_seen,source_registry_paths,source_triage_paths,metadata_status,triage_count
Systematic and Realistic Testing in Simulation of Control Code for Robots in Collaborative Human-Robot Interactions,arxiv:1511.01354,"Industries such as flexible manufacturing and home care will be transformed by the presence of robotic assistants. Assurance of safety and functional soundness for these robotic systems will require rigorous verification and validation. We propose testing in simulation using Coverage-Driven Verification (CDV) to guide the testing process in an automatic and systematic way. We use a two-tiered test generation approach, where abstract test sequences are computed first and then concretized (e.g., data and variables are instantiated), to reduce the complexity of the test generation problem. To demonstrate the effectiveness of our approach, we developed a testbench for robotic code, running in ROS-Gazebo, that implements an object handover as part of a human-robot interaction (HRI) task. Tests are generated to stimulate the robot's code in a realistic manner, through stimulating the human, environment, sensors, and actuators in simulation. We compare the merits of unconstrained, constrained and model-based test generation in achieving thorough exploration of the code under test, and interesting combinations of human-robot interactions. Our results show that CDV combined with systematic test generation achieves a very high degree of automation in simulation-based verification of control code for robots in HRI.",high,B8,expansion_round_1,Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",true,,2015,arxiv:1511.01354 | 5541644419030296322 | 1511.01354,arxiv:1511.01354,5541644419030296322,,,,,,,0.029877369007803793,B8,,,,,,triaged,expansion_round_1,b8/expansion-canonical-registry.json | b8/expansion-follow-up-manifest.json | b8/expansion-inspection-manifest.json | b8/expansion-registry.json,b8/expansion-triage.jsonl,complete,1
Security and Performance Considerations in ROS 2: A Balancing Act,arxiv:1809.09566,"Robot Operating System (ROS) 2 is a ground-up re-design of ROS 1 to support performance critical cyber-physical systems (CPSs) using the Data Distribution Service (DDS) middleware. Accordingly, the security of ROS 2 is highly reliant on the security of its DDS communication protocol. However, finding a balance between the performance and security is non-trivial task. Inappropriate security implementations may cause not only significant loss on performance of the system, but also security failures in the system. In this paper, we provide an analysis of the DDS security protocol as well as an overview on how to find the balance between performance and security. To accomplish this, we evaluate the latency and throughput of the communication protocols of ROS 2 in both wired and wireless networks, and measure the efficiency loss caused by the enabling of security protocols such as Virtual Private Network (VPN) and DDS security protocol in ROS 2 in both network setups. The result can be directly used by robotics developers to find the optimal and balanced settings of ROS 2 applications. Additionally, we analyzed the security specification of DDS using existing security standards and tested the implementation of the DDS protocol by performing static analysis. The results of this work can be used to enhance the security of ROS 2.",high,B8,expansion_round_1,Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",true,,2018,arxiv:1809.09566 | 3871984476710892555 | 1809.09566,arxiv:1809.09566,3871984476710892555,,16-ros2-causal | 18-ros2-timing | 20-robot-middleware,,,421,,0.02976190476190476,B8,Firecrawl Research search-papers abstract; full text not assumed,,,,,triaged,expansion_round_1,b1/expansion/expansion-manifest.jsonl | b3/expansion-registry.json | b3/raw-q16-ros2-causal.json | b3/raw-q18-ros2-timing.json | b3/raw-q20-robot-middleware.json | b3/registry.json | b4/raw-retrieval/q10-latency-distribution-measurement.json | b5/canonical-registry.jsonl | b5/raw-retrieval/q03-direct-command.json | b5/raw-retrieval/q05-direct-rosdds.json | b5/raw-retrieval/q13-mech-qos.json | b5/raw-retrieval/q14-mech-dds-loss.json | b7/canonical-registry.json | b7/expansion/expansion-registry-final.json | b7/expansion/expansion-registry.json | b7/raw-retrieval/q03-direct-dds-tracing.json | b7/raw-retrieval/q12-mechanism-qos.json | b7/raw-retrieval/q13-mechanism-zerocopy.json | b7/raw-retrieval/q21-failure-congestion.json | b7/raw-retrieval/q32-adjacent-ros1-ros2.json | b7/raw-retrieval/q33-foundational-ros.json | b7/raw-retrieval/q36-foundational-eval.json | b8/expansion-canonical-registry.json | b8/expansion-follow-up-manifest.json | b8/expansion-inspection-manifest.json | b8/expansion-registry.json,b8/expansion-triage.jsonl,complete,1
TZC: Efficient Inter-Process Communication for Robotics Middleware with Partial Serialization,arxiv:1810.00556,"Inter-process communication (IPC) is one of the core functions of modern robotics middleware. We propose an efficient IPC technique called TZC (Towards Zero-Copy). As a core component of TZC, we design a novel algorithm called partial serialization. Our formulation can generate messages that can be divided into two parts. During message transmission, one part is transmitted through a socket and the other part uses shared memory. The part within shared memory is never copied or serialized during its lifetime. We have integrated TZC with ROS and ROS2 and find that TZC can be easily combined with current open-source platforms. By using TZC, the overhead of IPC remains constant when the message size grows. In particular, when the message size is 4MB (less than the size of a full HD image), TZC can reduce the overhead of ROS IPC from tens of milliseconds to hundreds of microseconds and can reduce the overhead of ROS2 IPC from hundreds of milliseconds to less than 1 millisecond. We also demonstrate the benefits of TZC by integrating with TurtleBot2 that are used in autonomous driving scenarios. We show that by using TZC, the braking distance can be shortened by 16% than ROS.",high,B8,expansion_round_1,Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",true,Yu-Ping Wang | Wende Tan | Xu-Qiang Hu | Dinesh Manocha | Shi-Min Hu,2018,arxiv:1810.00556 | 5554010371199989563 | 1810.00556,arxiv:1810.00556,5554010371199989563,cs.RO,expansion-similar-01 | expansion-references-01,related-similar | related-references,general,637,,0.030886196246139225,B8,inspect-paper completed,,,,,triaged,expansion_round_1,b1/expansion/expansion-manifest.jsonl | b2/registry-expansion-additions.json | b2/registry-final.json | b3/expansion-registry.json | b3/raw-q16-ros2-causal.json | b3/raw-q20-robot-middleware.json | b3/registry.json | b4/raw-retrieval/q02-latency-distribution-percentile.json | b4/raw-retrieval/q04-head-of-line-blocking-robotics.json | b5/canonical-registry.jsonl | b5/raw-retrieval/q17-mech-dedup.json | b7/canonical-registry.json | b7/expansion/expansion-registry-final.json | b7/expansion/expansion-registry.json | b7/raw-retrieval/q03-direct-dds-tracing.json | b7/raw-retrieval/q13-mechanism-zerocopy.json | b7/raw-retrieval/q22-failure-serialization.json | b7/raw-retrieval/q32-adjacent-ros1-ros2.json | b7/raw-retrieval/q33-foundational-ros.json | b7/raw-retrieval/q36-foundational-eval.json | b8/expansion-canonical-registry.json | b8/expansion-follow-up-manifest.json | b8/expansion-inspection-manifest.json | b8/expansion-registry.json,b8/expansion-triage.jsonl,complete,1
ROS Rescue : Fault Tolerance System for Robot Operating System,arxiv:1910.01078,"In this chapter we discuss the problem of master failure in ROS1.0 and its impact on robotic deployments in the real world. We address this issue in this tutorial chapter where we outline, design and demonstrate a fault tolerant mechanism associated with ROS master failure. Unlike previous solutions which use primary backup replication and external checkpointing libraries which are process heavy, our mechanism adds a lightweight functionality to the ROS master to enable it to recover from failure. We present a modified version of ROS master which is equipped with a logging mechanism to record the meta information and network state of ROS nodes as well as a recovery mechanism to go back to the previous state without having to abort or restart all the nodes. We also implement an additional master monitor node responsible for failure detection on the master by polling it for its availability. Our code is implemented in python and preliminary tests were conducted successfully on a variety of land, aerial and underwater robots and a tele-operating computer running ROS Kinetic on Ubuntu 16.04. The code is publicly available under a creative commons license on github at https://github.com/PushyamiKaveti/fault-tolerant-ros-master",high,B8,expansion_round_1,Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",true,,2019,arxiv:1910.01078,arxiv:1910.01078,1393780306254661522,,intermittent failures autonomous robots reproducibility replay logs root cause localization | runtime verification anomaly detection robotic systems telemetry failure diagnosis,firecrawl research search-papers,,,14.15384615,0.015384615,B8,,,,,,triaged,expansion_round_1,b3/expansion-registry.json | b7/expansion/expansion-registry-final.json | b7/expansion/expansion-registry.json | b8/canonical-registry.json | b8/expansion-canonical-registry.json | b8/expansion-registry.json | b8/raw/failure-01.json | b8/raw/failure-03.json,b8/expansion-triage.jsonl,complete,1
Latency Analysis of ROS2 Multi-Node Systems,arxiv:2101.02074,"The Robot Operating System 2 (ROS2) targets distributed real-time systems and is widely used in the robotics community. Especially in these systems, latency in data processing and communication can lead to instabilities. Though being highly configurable with respect to latency, ROS2 is often used with its default settings. In this paper, we investigate the end-to-end latency of ROS2 for distributed systems with default settings and different Data Distribution Service (DDS) middlewares. In addition, we profile the ROS2 stack and point out latency bottlenecks. Our findings indicate that end-to-end latency strongly depends on the used DDS middleware. Moreover, we show that ROS2 can lead to 50% latency overhead compared to using low-level DDS communications. Our results imply guidelines for designing distributed ROS2 architectures and indicate possibilities for reducing the ROS2 overhead.",high,B8,expansion_round_1,Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",true,Tobias Kronauer | Joshwa Pohlmann | Maximilian Matthe | Till Smejkal | Gerhard Fettweis,2021,arxiv:2101.02074,arxiv:2101.02074,415527073889071452,cs.RO | cs.DC | cs.MA | cs.PF | cs.SE,robot middleware message tracing causal graphs end-to-end latency instrumentation,firecrawl research search-papers,general,67,18.044855324483063,0.7044855324483064,B8,inspect-paper completed,054-arxiv_2101.02074.json,,,true,triaged,expansion_round_1,b1/expansion/expansion-manifest.jsonl | b2/registry-expansion-additions.json | b2/registry-final.json | b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/expansion-registry.json | b3/raw-q16-ros2-causal.json | b3/raw-q17-ros2-flow.json | b3/raw-q18-ros2-timing.json | b3/raw-q20-robot-middleware.json | b3/registry.json | b4/assigned-paper-manifest.jsonl | b4/canonical-registry.json | b4/raw-retrieval/q02-latency-distribution-percentile.json | b4/raw-retrieval/q04-head-of-line-blocking-robotics.json | b4/raw-retrieval/q10-latency-distribution-measurement.json | b4/raw-retrieval/q12-ROS-2-executor.json | b4/raw-retrieval/q13-DDS-QoS-queue.json | b5/canonical-registry.jsonl | b5/raw-retrieval/q03-direct-command.json | b5/raw-retrieval/q05-direct-rosdds.json | b5/raw-retrieval/q13-mech-qos.json | b5/raw-retrieval/q14-mech-dds-loss.json | b7/canonical-registry.json | b7/expansion/expansion-registry-final.json | b7/expansion/expansion-registry.json | b7/raw-retrieval/q01-direct-ros2-latency.json | b7/raw-retrieval/q02-direct-e2e.json | b7/raw-retrieval/q03-direct-dds-tracing.json | b7/raw-retrieval/q12-mechanism-qos.json | b7/raw-retrieval/q13-mechanism-zerocopy.json | b7/raw-retrieval/q22-failure-serialization.json | b7/raw-retrieval/q32-adjacent-ros1-ros2.json | b7/raw-retrieval/q33-foundational-ros.json | b7/raw-retrieval/q34-foundational-dds.json | b7/raw-retrieval/q36-foundational-eval.json | b7/raw-retrieval/q37-foundational-e2e.json | b8/canonical-registry.json | b8/expansion-canonical-registry.json | b8/expansion-follow-up-manifest.json | b8/expansion-inspection-manifest.json | b8/expansion-registry.json | b8/raw/mechanism-03.json,b8/expansion-triage.jsonl,complete,1
Capturing High-level Nondeterminism in Concurrent Programs for Practical Concurrency Model Agnostic Record & Replay,arxiv:2103.00031,"With concurrency being integral to most software systems, developers combine high-level concurrency models in the same application to tackle each problem with appropriate abstractions. While languages and libraries offer a wide range of concurrency models, debugging support for applications that combine them has not yet gained much attention. Record & replay aids debugging by deterministically reproducing recorded bugs, but is typically designed for a single concurrency model only. This paper proposes a practical concurrency-model-agnostic record & replay approach for multi-paradigm concurrent programs, i.e. applications that combine concurrency models. Our approach traces high-level nondeterministic events by using a uniform model-agnostic trace format and infrastructure. This enables orderingbased record & replay support for a wide range of concurrency models, and thereby enables debugging of applications that combine them. In addition, it allows language implementors to add new concurrency models and reuse the model-agnostic record & replay support. We argue that a concurrency-model-agnostic record & replay is practical and enables advanced debugging support for a wide range of concurrency models. The evaluation shows that our approach is expressive and flexible enough to support record & replay of applications using threads & locks, communicating event loops, communicating sequential processes, software transactional memory and combinations of those concurrency models. For the actor model, we reach recording performance competitive with an optimized special-purpose record & replay solution. The average recording overhead on the Savina actor benchmark suite is 10% (min. 0%, max. 23%). The performance for other concurrency models and combinations thereof is at a similar level. We believe our concurrency-model-agnostic approach helps developers of applications that mix and match concurrency models. We hope that this substrate inspires new tools and languages making building and maintaining of multi-paradigm concurrent applications simpler and safer.",high,B8,expansion_round_1,Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",true,,2021,arxiv:2103.00031,arxiv:2103.00031,2720832408839193071,,distributed systems deterministic record replay distributed tracing fault injection chaos engineering | foundational deterministic replay debugging distributed systems record replay,firecrawl research search-papers,foundational,474,20.641271029909056,0.8641271029909058,B8,,,,,,triaged,expansion_round_1,b3/expansion-registry.json | b3/raw-q25-replay.json | b3/registry.json | b8/canonical-registry.json | b8/expansion-canonical-registry.json | b8/expansion-follow-up-manifest.json | b8/expansion-inspection-manifest.json | b8/expansion-registry.json | b8/raw/adjacent-01.json | b8/raw/foundational-01.json,b8/expansion-triage.jsonl,complete,1
Visual Servoing Approach for Autonomous UAV Landing on a Moving Vehicle,arxiv:2104.01272,"Many aerial robotic applications require the ability to land on moving platforms, such as delivery trucks and marine research boats. We present a method to autonomously land an Unmanned Aerial Vehicle on a moving vehicle. A visual servoing controller approaches the ground vehicle using velocity commands calculated directly in image space. The control laws generate velocity commands in all three dimensions, eliminating the need for a separate height controller. The method has shown the ability to approach and land on the moving deck in simulation, indoor and outdoor environments, and compared to the other available methods, it has provided the fastest landing approach. Unlike many existing methods for landing on fast-moving platforms, this method does not rely on additional external setups, such as RTK, motion capture system, ground station, offboard processing, or communication with the vehicle, and it requires only the minimal set of hardware and localization sensors. The videos and source codes are also provided.",high,B8,expansion_round_1,Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",true,,,arxiv:2104.01272,arxiv:2104.01272,7055128881158411160,,,,,,,0.01869100062932662,B8,,,,,,triaged,expansion_round_1,b8/expansion-registry.json,b8/expansion-triage.jsonl,complete,1
Budget-based real-time Executor for Micro-ROS,arxiv:2105.05590,"The Robot Operating System (ROS) is a popular robotics middleware framework. In the last years, it underwent a redesign and reimplementation under the name ROS 2. It now features QoS-configurable communication and a flexible layered architecture. Micro-ROS is a variant developed specifically for resource-constrained microcontrollers (MCU). Such MCUs are commonly used in robotics for sensors and actuators, for time-critical control functions, and for safety. While the execution management of ROS 2 has been addressed by an Executor concept, its lack of real-time capabilities make it unsuitable for industrial use. Neither defining an execution order nor the assignment of scheduling parameters to tasks is possible, despite the fact that advanced real-time scheduling algorithms are well-known and available in modern RTOS's. For example, the NuttX RTOS supports a variant of the reservation-based scheduling which is very attractive for industrial applications: It allows to assign execution time budgets to software components so that a system integrator can thereby guarantee the real-time requirements of the entire system. This paper presents for the first time a ROS 2 Executor design which enables the real-time scheduling capabilities of the operating system. In particular, we successfully demonstrate the budget-based scheduling of the NuttX RTOS with a micro-ROS application on an STM32 microcontroller.",high,B8,expansion_round_1,Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",true,,2021,arxiv:2105.05590 | 8109041691506008034 | 2105.05590,arxiv:2105.05590,8109041691506008034,,17-ros2-flow,,,770,,0.03278688524590164,B8,Firecrawl Research search-papers abstract; full text not assumed,,,,,triaged,expansion_round_1,b1/expansion/expansion-manifest.jsonl | b2/raw-q09-ros2.txt | b3/expansion-registry.json | b3/raw-q17-ros2-flow.json | b3/registry.json | b4/raw-retrieval/q12-ROS-2-executor.json | b7/canonical-registry.json | b7/expansion/expansion-registry-final.json | b7/expansion/expansion-registry.json | b7/raw-retrieval/q08-synonym-event.json | b7/raw-retrieval/q11-mechanism-executor.json | b7/raw-retrieval/q19-failure-deadlines.json | b7/raw-retrieval/q35-foundational-realtime.json | b7/raw-retrieval/q36-foundational-eval.json | b8/expansion-canonical-registry.json | b8/expansion-follow-up-manifest.json | b8/expansion-inspection-manifest.json | b8/expansion-registry.json,b8/expansion-triage.jsonl,complete,1
CORNET 2.0: A Co-Simulation Middleware for Robot Networks,arxiv:2109.06979,"We present a networked co-simulation framework for multi-robot systems applications. We require a simulation framework that captures both physical interactions and communications aspects to effectively design such complex systems. This is necessary to co-design the multi-robots' autonomy logic and the communication protocols. The proposed framework extends existing tools to simulate the robot's autonomy and network-related aspects. We have used Gazebo with ROS/ROS2 to develop the autonomy logic for robots and mininet-WiFi as the network simulator to capture the cyber-physical systems properties of the multi-robot system. This framework addresses the need to seamlessly integrate the two simulation environments by synchronizing mobility and time, allowing for easy migration of the algorithms to real platforms. The framework supports container-based virtualization and extends a generic robotic framework by decoupling the data plane and control plane.",high,B8,expansion_round_1,Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",true,,2021,arxiv:2109.06979,arxiv:2109.06979,5254347152473674180,,cyber-physical systems distributed tracing time synchronization provenance observability robotics,firecrawl research search-papers,,,17.75079516518344,0.675079516518344,B8,,,,,,triaged,expansion_round_1,b8/canonical-registry.json | b8/expansion-canonical-registry.json | b8/expansion-follow-up-manifest.json | b8/expansion-inspection-manifest.json | b8/expansion-registry.json | b8/raw/syn-01.json,b8/expansion-triage.jsonl,complete,1
ros2tracing: Multipurpose Low-Overhead Framework for Real-Time Tracing of ROS 2,arxiv:2201.00393,"Testing and debugging have become major obstacles for robot software development, because of high system complexity and dynamic environments. Standard, middleware-based data recording does not provide sufficient information on internal computation and performance bottlenecks. Other existing methods also target very specific problems and thus cannot be used for multipurpose analysis. Moreover, they are not suitable for real-time applications. In this paper, we present ros2tracing, a collection of flexible tracing tools and multipurpose instrumentation for ROS 2. It allows collecting runtime execution information on real-time distributed systems, using the low-overhead LTTng tracer. Tools also integrate tracing into the invaluable ROS 2 orchestration system and other usability tools. A message latency experiment shows that the end-to-end message latency overhead, when enabling all ROS 2 instrumentation, is on average 0.0033 ms, which we believe is suitable for production real-time systems. ROS 2 execution information obtained using ros2tracing can be combined with trace data from the operating system, enabling a wider range of precise analyses, that help understand an application execution, to find the cause of performance bottlenecks and other issues. The source code is available at: https://github.com/ros2/ros2tracing.",high,B8,primary_assignment,The paper uses runtime traces and correlated message or compute events to expose execution paths and timing behavior.,"It transfers directly to robot inference episodes by linking sensor, middleware, inference, and outcome evidence.",true,Christophe BÃ©dard | Ingo LÃ¼tkebohle | Michel Dagenais,2022,arxiv:2201.00393,arxiv:2201.00393,1309251318634281329,cs.RO,direct-01 | direct-02 | syn-01 | syn-03 | mechanism-01 | mechanism-03 | failure-03 | foundational-02,firecrawl research search-papers,foundational,7,28.057233191548978,0.9057233191548978,B8,true,true,true,false,inspect-arxiv_2201.00393.json,triaged,primary_assignment | expansion_round_1,b1/expansion/expansion-manifest.jsonl | b2/raw-q09-ros2.txt | b2/registry-final.json | b2/registry.json | b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/expansion-registry.json | b3/follow-up-manifest.jsonl | b3/inspection-evidence.jsonl | b3/raw-q16-ros2-causal.json | b3/raw-q17-ros2-flow.json | b3/raw-q18-ros2-timing.json | b3/raw-q20-robot-middleware.json | b3/raw-q38-recent-ros.json | b3/read-evidence-manifest.jsonl | b3/registry.json | b4/raw-retrieval/q02-latency-distribution-percentile.json | b4/raw-retrieval/q10-latency-distribution-measurement.json | b4/raw-retrieval/q12-ROS-2-executor.json | b5/canonical-registry.jsonl | b5/raw-retrieval/q05-direct-rosdds.json | b7/canonical-registry.json | b7/expansion/expansion-registry-final.json | b7/expansion/expansion-registry.json | b7/raw-retrieval/q01-direct-ros2-latency.json | b7/raw-retrieval/q02-direct-e2e.json | b7/raw-retrieval/q03-direct-dds-tracing.json | b7/raw-retrieval/q06-synonym-runtime.json | b7/raw-retrieval/q10-synonym-pipeline.json | b7/raw-retrieval/q11-mechanism-executor.json | b7/raw-retrieval/q15-mechanism-causal-trace.json | b7/raw-retrieval/q18-mechanism-events.json | b7/raw-retrieval/q22-failure-serialization.json | b7/raw-retrieval/q25-failure-localization.json | b7/raw-retrieval/q30-adjacent-distributed.json | b7/raw-retrieval/q32-adjacent-ros1-ros2.json | b7/raw-retrieval/q33-foundational-ros.json | b7/raw-retrieval/q37-foundational-e2e.json | b8/assigned-paper-manifest.json | b8/canonical-registry.json | b8/expansion-canonical-registry.json | b8/expansion-registry.json | b8/follow-up-manifest.json | b8/inspection-manifest.json | b8/raw/direct-01.json | b8/raw/direct-02.json | b8/raw/failure-03.json | b8/raw/foundational-02.json | b8/raw/mechanism-01.json | b8/raw/mechanism-03.json | b8/raw/syn-01.json | b8/raw/syn-03.json | b8/targeted-read-manifest.json,b8/abstract-triage.jsonl | b8/expansion-triage.jsonl,complete,2
