paper_id,assigned_agent
3871984476710892555,1
1045061837287933572,2
4275919601340604786,3
960066316139090677,4
8705531516229927827,5
1285158271858717206,6
5396548060118504054,7
4449360832765317079,1
7283097417584407771,2
4069800463177077041,3
2115619635815627513,4
arxiv:2010.12114,5
238041654804639260,6
1358290719801915792,7
7865034857012623966,1
3128522236556480702,2
8535061699263342057,3
3390814624128138026,4
8172766496941386577,5
2154163088485871028,6
868918714334910253,7
arxiv:2201.03175,1
6800574349478778784,2
5369529027105611784,3
1097939111142689472,4
7005852229130754728,5
5041264122573570510,6
492218436397604387,7
1947083336753205595,1
5139490866812098918,2
7620808219149409718,3
8102028585888632896,4
8561854163316271941,5
4070517230443,6
509034711155382676,7
5792322162514556537,1
8332588441171868595,2
8838587758740285651,3
arxiv:2310.19699,4
1480341599344925445,5
5934440152243555294,6
247034073928789937,7
247037372463674570,1
arxiv:2312.10356,2
arxiv:2312.15123,3
4186155202172654199,4
arxiv:2401.12815,5
7323364571112915051,6
2358317468375885502,7
2829399507821631178,1
4359142198374054776,2
8687987873447385173,3
8499290748226340479,4
5053930566941177736,5
arxiv:2404.18208,6
591397950646880097,7
2323014594144352108,1
7861821626367814759,2
6467458399946184133,3
8383129057629492266,4
8080217501498385215,5
2485365029832433847,6
5852004840422352788,7
974477220233621515,1
4905831661341578901,2
1933595173721957862,3
arxiv:2410.06112,4
6025675210517228757,5
171086596173163810,6
4387281134661619038,7
8757164680856772979,1
5203195530365023883,2
4666080801596472025,3
4286980218876081310,4
6234118449609484987,5
4374045694681754426,6
arxiv:2412.18812,7
7303169716972351648,1
4432455909415076699,2
1174663628263380259,3
887560099756378655,4
8857891919524725306,5
571917457937769436,6
6344596372006590867,7
arxiv:2503.19555,1
7454753117799628918,2
8567768919336299705,3
arxiv:2505.06780,4
2104314270233489886,5
2056223403963298418,6
arxiv:2506.01135,7
2086215060043610282,1
2761769335822054080,2
2129969028896478575,3
941610227651593359,4
1866153357125297436,5
2185766229983237362,6
4034478371517734286,7
3857845561562084394,1
6822928053718226751,2
4381339023769131000,3
arxiv:2508.06133,4
6542197425248761429,5
5247552991241509146,6
5239793737682737919,7
2222259298937831723,1
1574134577672162772,2
1798807342958589966,3
arxiv:2509.19486,4
4633238585881888356,5
7920375970050081785,6
3299371768691771971,7
arxiv:2510.18544,1
6962210528323261289,2
182396430684305034,3
arxiv:2510.24113,4
arxiv:2511.00983,5
7643556002664870553,6
8105309266257635510,7
5589487035438989993,1
8438926716725811608,2
5451060507501470584,3
5044124516141222318,4
745826798858530049,5
2167850864120920301,6
4830637205373174951,7
4640478975552611682,1
1466154793898355406,2
597090830503133492,3
8083047399534387825,4
5868006927117943253,5
3592518174263179693,6
4527108478467824083,7
arxiv:2602.08296,1
4120649929626054173,2
4957292609861434555,3
5519133081468995501,4
arxiv:2602.13718,5
5091945656701445251,6
2139775655631860928,7
531072298999178666,1
arxiv:2603.02271,2
4751678703388351030,3
8279130694770794154,4
arxiv:2603.07309,5
4573602806349677991,6
4572602250768195206,7
4601031261350824627,1
5677962604628405295,2
arxiv:2603.19418,3
379900031815044385,4
6475716740606225073,5
8651464511882425804,6
5055346589362718594,7
6389491837593690377,1
8901474612632347847,2
2811257509632522362,3
9105525100349782805,4
2680650857130468271,5
1994509383886062229,6
1393208390158834869,7
3995115690925861995,1
7114917262988826943,2
356744853930880706,3
2575451725150813508,4
7681488105640991156,5
777874252596041836,6
3448472613018289371,7
3360826179826483892,1
363781364255773176,2
7091415937357842299,3
7595282496078262048,4
2769760053031621516,5
902319779427745989,6
arxiv:2604.26422,7
5838555704271719854,1
arxiv:2605.00616,2
arxiv:2605.05527,3
arxiv:2605.08835,4
8493473766441459476,5
3323541428784451505,6
arxiv:2605.13749,7
3495506402720422711,1
6470528680448553143,2
3352411087723790442,3
6761145958718903742,4
arxiv:2605.24044,5
4725514452963240801,6
6910876136037705726,7
arxiv:2606.00552,1
arxiv:2606.02982,2
6533537354173585470,3
6902957727205386091,4
576362709461875616,5
8507411659808898103,6
4154440699841849599,7
8458659287241322753,1
8905845576224506217,2
1015644620298296471,3
809444332749169443,4
6229544255917851645,5
1951086164379907490,6
5035409720091109396,7
5029640582579021629,1
5155986235230944249,2
8906816116959573404,3
3184073458339981590,4
9110691625195224939,5
arxiv:2607.02043,6
6931121951500119672,7
7582065820579953952,1
269128158884843164,2
3139187794791879128,3
6260114167250314704,4
6247590729807451339,5
5659676290151043754,6
7726924502488115606,7
7729752446395306623,1
3956974113548681661,2
arxiv:2607.12614,3
5785556508778427907,4
8069653338168752361,5
5599684028929689597,6
4685038903586101577,7
4678418744073967721,1
875155208603979263,2
9171327884192685453,3
1761072512008267565,4
6685155072091894007,5
1571300075361954208,6
4719832985776024047,7
2615386525706781434,1
4937151525167702617,2
7072140537051199413,3
arxiv:2607.22242,4
8067658222323430056,5
3015391333628338371,6
5688624134858144257,7
2937543854568710884,1
arxiv:2607.28223,2
1712554309870911946,3
4288321889768320313,4
498377849106763229,5
4353526302494529976,6
arxiv:2608.08338,7
5453530192104496224,1
arxiv:2608.09556,2
5931539535869386961,3
5502882124631100505,4
2557612658538843843,5
2597599735354956596,6
3118903724793416344,7
5336608897723105490,1
8916858412621485278,2
6718955699918105612,3
5098808467339726848,4
1175326315228215280,5
1876527375800181618,6
8176620910093036846,7
80979387164826242,1
2105969947860896935,2
1898251274921937493,3
4909246700627321249,4
3847908702569125395,5
2552709141967518849,6
6069302969337636244,7
4634417666065054634,1
4452630211623390692,2
1755351680171509675,3
3829193067904402061,4
1668043443522056253,5
148054313537924416,6
7163472997400082829,7
2367833977732839801,1
1372600695109349797,2
2931634087590650564,3
3860974450908273774,4
7119746593355855053,5
5075266179926110431,6
5976916227115129888,7
5524303104538057129,1
8281079617290861983,2
5953628598697212834,3
2019497443263280237,4
429486151095015039,5
2211468744924936252,6
811021839911309015,7
9022175127994743410,1
992964764350579275,2
8566449090903860956,3
2772322195988889789,4
4918028213022572326,5
502780628454977798,6
417731485108381566,7
218875704244974896,1
7520461208810272751,2
6400808627387146558,3
8529463343270812381,4
6188873004102168102,5
1302379362498927557,6
5366608874104944380,7
471147898423564130,1
3391115723392121549,2
8561887109684953007,3
1381015205915211242,4
3140650812728044647,5
708190934439977881,6
