pass2_index,assigned_agent,paper_id,paper_title,first_pass_classification,source_lane,paper_name,id,abstract,triage_label,lanes,lane_count,triage_labels_by_lane,mechanisms_by_lane,why_it_matters_by_lane,follow_up_by_lane,corpus_stages,authors,year,source_ids,primary_id,source_paper_id,categories,queries,discovery_methods,designations,primary_readers,metadata_verified_any,body_inspected_any,evidence_read_any,triage_disagreement,source_registry_paths,source_triage_paths
0,1,7081661685753858384,An algorithm for clock synchronization with the gradient property in sensor networks,MEDIUM,B1,An algorithm for clock synchronization with the gradient property in sensor networks,arxiv:0704.3890,"We introduce a distributed algorithm for clock synchronization in sensor networks. Our algorithm assumes that nodes in the network only know their immediate neighborhoods and an upper bound on the network's diameter. Clock-synchronization messages are only sent as part of the communication, assumed reasonably frequent, that already takes place among nodes. The algorithm has the gradient property of [2], achieving an O(1) worst-case skew between the logical clocks of neighbors. As in the case of [3,8], the algorithm's actions are such that no constant lower bound exists on the rate at which logical clocks progress in time, and for this reason the lower bound of [2,5] that forbids constant skew between neighbors does not apply.",medium,B1,1,B1=medium,B1=A neighborhood-only algorithm achieves bounded local logical-clock skew using communication already present in a sensor network.,,B1=true,primary_assignment,"Rodolfo M. Pussente, Valmir C. Barbosa",2007,arxiv:0704.3890,arxiv:0704.3890,7081661685753858384,,,,,B1,true,false,false,false,b1/assigned-paper-manifest.json | b1/assigned-paper-manifest.jsonl | b1/assigned-registry.jsonl | b1/canonical-registry.jsonl | b1/follow-up-manifest.jsonl | b1/inspection-manifest.jsonl | b1/raw-q02-synonyms.json,b1/assigned-paper-manifest.jsonl | b1/triage.jsonl
5,1,5889143153570527669,The Low Latency Fault Tolerance System,MEDIUM,B5,The Low Latency Fault Tolerance System,arxiv:1004.1864,"The Low Latency Fault Tolerance (LLFT) system provides fault tolerance for distributed applications, using the leader-follower replication technique. The LLFT system provides application-transparent replication, with strong replica consistency, for applications that involve multiple interacting processes or threads. The LLFT system comprises a Low Latency Messaging Protocol, a Leader-Determined Membership Protocol, and a Virtual Determinizer Framework. The Low Latency Messaging Protocol provides reliable, totally ordered message delivery by employing a direct group-to-group multicast, where the message ordering is determined by the primary replica in the group. The Leader-Determined Membership Protocol provides reconfiguration and recovery when a replica becomes faulty and when a replica joins or leaves a group, where the membership of the group is determined by the primary replica. The Virtual Determinizer Framework captures the ordering information at the primary replica and enforces the same ordering at the backup replicas for major sources of non-determinism, including multi-threading, time-related operations and socket communication. The LLFT system achieves low latency message delivery during normal operation and low latency reconfiguration and recovery when a fault occurs.",medium,B5,1,B5=medium,"B5=The abstract examines event-time processing, late or out-of-order data, stream windows, watermarks, or message ordering.","B5=It supplies a transferable diagnostic or design hypothesis for detecting transport-induced loss, duplication, reordering, staleness, timing error, or observation/action mismatch in the Reflex episode loop.",B5=true,primary_assignment,"Wenbing Zhao, P. M. Melliar-Smith, L. E. Moser",,arxiv:1004.1864,arxiv:1004.1864,5889143153570527669,,q12-syn-pubsub | q34-adj-distributed,,,B5,false,false,false,false,b5/assigned-paper-manifest.json | b5/assigned-paper-manifest.jsonl | b5/canonical-registry.jsonl | b5/evidence-digest.jsonl | b5/raw-retrieval/q12-syn-pubsub.json | b5/raw-retrieval/q34-adj-distributed.json,b5/abstract-triage.jsonl
10,1,arxiv:1108.4063,Backpressure with Adaptive Redundancy (BWAR),MEDIUM,B4,Backpressure with Adaptive Redundancy (BWAR),arxiv:1108.4063,"Backpressure scheduling and routing, in which packets are preferentially transmitted over links with high queue differentials, offers the promise of throughput-optimal operation for a wide range of communication networks. However, when the traffic load is low, due to the corresponding low queue occupancy, backpressure scheduling/routing experiences long delays. This is particularly of concern in intermittent encounter-based mobile networks which are already delay-limited due to the sparse and highly dynamic network connectivity. While state of the art mechanisms for such networks have proposed",medium,B4,1,B4=medium,B4=queueing and buffering; scheduling/deadline policy; backpressure/overload control; network/transport transfer,B4=Supplies a transferable mechanism for explaining tail behavior and deciding which per-stage measurements the Reflex evidence model must preserve.,B4=true,primary_assignment,Majed Alresaini; Maheswaran Sathiamoorthy; Bhaskar Krishnamachari; Michael J. Neely,2026,arxiv:1108.4063,arxiv:1108.4063,arxiv:1108.4063,cs.NI | cs.SY | eess.SY | math.OC,q13-DDS-QoS-queue.json | q18-load-shedding-backpressure.json,,,B4,false,false,false,false,b4/assigned-paper-manifest.jsonl | b4/canonical-registry.json | b4/raw-retrieval/q13-DDS-QoS-queue.json | b4/raw-retrieval/q18-load-shedding-backpressure.json,b4/abstract-triage.jsonl
15,1,arxiv:1211.0779,Large Deviation Delay Analysis of Queue-Aware Multi-user MIMO Systems with Multi-timescale Mobile-Driven Feedback,MEDIUM,B4,Large Deviation Delay Analysis of Queue-Aware Multi-user MIMO Systems with Multi-timescale Mobile-Driven Feedback,arxiv:1211.0779,"Multi-user multi-input-multi-output (MU-MIMO) systems transmit data to multiple users simultaneously using the spatial degrees of freedom with user feedback channel state information (CSI). Most of the existing literatures on the reduced feedback user scheduling focus on the throughput performance and the user queueing delay is usually ignored. As the delay is very important for real-time applications, a low feedback queue-aware user scheduling algorithm is desired for the MU-MIMO system. This paper proposed a two-stage queue-aware user scheduling algorithm, which consists of a queue-aware mob",medium,B4,1,B4=medium,B4=queueing and buffering; scheduling/deadline policy; stage-wise latency attribution,B4=Supplies a transferable mechanism for explaining tail behavior and deciding which per-stage measurements the Reflex evidence model must preserve.,B4=true,primary_assignment,Junting Chen; Vincent K. N. Lau,2026,arxiv:1211.0779,arxiv:1211.0779,arxiv:1211.0779,cs.IT | cs.SY | eess.SY | math.IT,q03-queueing-delay-scheduling.json,,,B4,false,false,false,false,b4/assigned-paper-manifest.jsonl | b4/canonical-registry.json | b4/raw-retrieval/q03-queueing-delay-scheduling.json,b4/abstract-triage.jsonl
20,1,3041489355651078803,Model-based clock synchronization protocol for wireless sensor networks,HIGH,B1 | B7,Model-based clock synchronization protocol for wireless sensor networks,arxiv:1311.6914,"In a wireless sensor network, nodes communicate time-stamped packets in order to synchronize their clocks, i.e., estimate each other's time display. We introduce and analyze a parametrized stochastic model for clocks and use it to calculate, at any given time, the Maximum-Likelihood (ML) estimate of the relative skew/offset between two communicating nodes. For network synchronization, event-based Kalman-Bucy filtering gives rise to a centralized scheme, and we propose an efficient distributed suboptimal algorithm. We study the performance both analytically and experimentally and provide provable guarantees. We summarize our findings into defining a new distributed model-based clock synchronization protocol (MBCSP), and present a comparative simulation study of its accuracy versus prior art to showcase improvements.",high,B1 | B7,2,B1=high | B7=medium,B1=A stochastic clock model and event-based Kalman-Bucy filtering estimate relative skew and offset with distributed approximations. | B7=Estimates relative clock skew and offset from timestamped packets with model-based filtering and a distributed synchronization protocol.,B7=It provides foundational telemetry for distinguishing clock drift from true sensor or network delay.,B1=true | B7=true,primary_assignment,"Nikolaos Freris, Vivek Borkar, P. R. Kumar",2013,arxiv:1311.6914,arxiv:1311.6914,3041489355651078803,,,,,B1 | B7,true,false,false,true,b1/assigned-paper-manifest.json | b1/assigned-paper-manifest.jsonl | b1/assigned-registry.jsonl | b1/canonical-registry.jsonl | b1/follow-up-manifest.jsonl | b1/inspection-manifest.jsonl | b1/raw-q01-direct.json | b1/raw-q02-synonyms.json | b7/assigned-paper-manifest.json | b7/assigned-paper-manifest.jsonl | b7/canonical-registry.json | b7/raw-retrieval/q14-mechanism-clock.json,b1/assigned-paper-manifest.jsonl | b1/triage.jsonl | b7/abstract-triage.jsonl
25,1,7528341802882909655,Proportional-Integral Clock Synchronization in Wireless Sensor Networks,HIGH,B1,Proportional-Integral Clock Synchronization in Wireless Sensor Networks,arxiv:1410.8176,"In this article, we present a new control theoretic distributed time synchronization algorithm, named PISync, in order to synchronize sensor nodes in Wireless Sensor Networks (WSNs). PISync algorithm is based on a Proportional-Integral (PI) controller. It applies a proportional feedback (P) and an integral feedback (I) on the local measured synchronization errors to compensate the differences between the clock offsets and clock speeds. We present practical flooding-based and fully distributed protocol implementations of the PISync algorithm, and we provide theoretical analysis to highlight the benefits of this approach in terms of improved steady state error and scalability as compared to existing synchronization algorithms. We show through real-world experiments and simulations that PISync protocols have several advantages over existing protocols in the WSN literature, namely no need for memory allocation, minimal CPU overhead and code size independent of network size and topology, and graceful performance degradation in terms of network size.",high,B1,1,B1=high,B1=A distributed proportional-integral controller uses synchronization-error feedback to compensate both clock offset and speed.,,B1=true,primary_assignment,"KasÄ±m Sinan YÄ±ldÄ±rÄ±m, Ruggero Carli, Luca Schenato",2014,arxiv:1410.8176,arxiv:1410.8176,7528341802882909655,,,,,B1,true,false,false,false,b1/assigned-paper-manifest.json | b1/assigned-paper-manifest.jsonl | b1/assigned-registry.jsonl | b1/canonical-registry.jsonl | b1/expansion/expansion-manifest.jsonl | b1/follow-up-manifest.jsonl | b1/inspection-manifest.jsonl | b1/raw-q02-synonyms.json | b1/raw-q08-embedded.json,b1/assigned-paper-manifest.jsonl | b1/triage.jsonl
30,1,arxiv:1506.01154,Performance Characterization and Transmission Schemes for Instantly Decodable Network Coding in Wireless Broadcast,HIGH,B5,Performance Characterization and Transmission Schemes for Instantly Decodable Network Coding in Wireless Broadcast,arxiv:1506.01154,,high,B5,1,B5=high,"B5=The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.",B5=It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.,B5=true,expansion_round_1,"Mingchao Yu, Parastoo Sadeghi, Neda Aboutorab",,,arxiv:1506.01154,,,,,,B5,false,false,false,false,b5/evidence-digest.jsonl,b5/expansion/expansion-triage.jsonl
35,1,arxiv:1510.02670,Throughput and Delay Analysis in Video Streaming over Block-Fading Channels,HIGH,B5,Throughput and Delay Analysis in Video Streaming over Block-Fading Channels,arxiv:1510.02670,,high,B5,1,B5=high,"B5=The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.",B5=It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.,B5=true,expansion_round_1,"Giuseppe Cocco, Deniz Gündüz, Christian Ibars",,,arxiv:1510.02670,,,,,,B5,false,false,false,false,b5/evidence-digest.jsonl,b5/expansion/expansion-triage.jsonl
40,1,1897827095749343130,Rethinking the Inception Architecture for Computer Vision,MEDIUM,B6,Rethinking the Inception Architecture for Computer Vision,arxiv:1512.00567,"Convolutional networks are at the core of most state-of-the-art computer vision solutions for a wide variety of tasks. Since 2014 very deep convolutional networks started to become mainstream, yielding substantial gains in various benchmarks. Although increased model size and computational cost tend to translate to immediate quality gains for most tasks (as long as enough labeled data is provided for training), computational efficiency and low parameter count are still enabling factors for various use cases such as mobile vision and big-data scenarios. Here we explore ways to scale up networks in ways that aim at utilizing the added computation as efficiently as possible by suitably factorized convolutions and aggressive regularization. We benchmark our methods on the ILSVRC 2012 classification challenge validation set demonstrate substantial gains over the state of the art: 21.2% top-1 and 5.6% top-5 error for single frame evaluation using a network with a computational cost of 5 billion multiply-adds per inference and with using less than 25 million parameters. With an ensemble of 4 models and multi-crop evaluation, we report 3.5% top-5 error on the validation set (3.6% error on the test set) and 17.3% top-1 error on the validation set.",medium,B6,1,B6=medium,B6=The abstract presents a serving or accelerator mechanism relevant to runtime latency attribution.,B6=It is a relevant adjacent mechanism for B6 evidence synthesis.,B6=false,expansion_round_1,,,,arxiv:1512.00567,1897827095749343130,,,,,B6,false,false,false,false,b6/expansion/expansion-registry.jsonl | b6/expansion/inspection-manifest.jsonl,b6/expansion/expansion-triage.jsonl
45,1,1112942928785308590,Intelligent Agent-Based Stimulation for Testing Robotic Software in Human-Robot Interactions,MEDIUM,B8,Intelligent Agent-Based Stimulation for Testing Robotic Software in Human-Robot Interactions,arxiv:1604.05508,"The challenges of robotic software testing extend beyond conventional software testing. Valid, realistic and interesting tests need to be generated for multiple programs and hardware running concurrently, deployed into dynamic environments with people. We investigate the use of Belief-Desire-Intention (BDI) agents as models for test generation, in the domain of human-robot interaction (HRI) in simulations. These models provide rational agency, causality, and a reasoning mechanism for planning, which emulate both intelligent and adaptive robots, as well as smart testing environments directed by humans. We introduce reinforcement learning (RL) to automate the exploration of the BDI models using a reward function based on coverage feedback. Our approach is evaluated using a collaborative manufacture example, where the robotic software under test is stimulated indirectly via a simulated human co-worker. We conclude that BDI agents provide intuitive models for test generation in the HRI domain. Our results demonstrate that RL can fully automate BDI model exploration, leading to very effective coverage-directed test generation.",medium,B8,1,B8=medium,B8=Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"B8=It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",B8=true,expansion_round_1,,2016,1112942928785308590 | 1604.05508 | arxiv:1604.05508,arxiv:1604.05508,1112942928785308590,,,,,B8,false,false,false,false,b8/expansion-canonical-registry.json | b8/expansion-registry.json,b8/expansion-triage.jsonl
