"pass2_index","assigned_agent","paper_id","paper_title","first_pass_classification","source_lane","paper_name","id","abstract","triage_label","lanes","lane_count","triage_labels_by_lane","mechanisms_by_lane","why_it_matters_by_lane","follow_up_by_lane","corpus_stages","authors","year","source_ids","primary_id","source_paper_id","categories","queries","discovery_methods","designations","primary_readers","metadata_verified_any","body_inspected_any","evidence_read_any","triage_disagreement","source_registry_paths","source_triage_paths"
"4","5","arxiv:1003.0955","Precise Request Tracing and Performance Debugging for Multi-tier Services of Black Boxes","HIGH","B3 | B8","Precise Request Tracing and Performance Debugging for Multi-tier Services of Black Boxes","arxiv:1003.0955","As more and more multi-tier services are developed from commercial components or heterogeneous middleware without the source code available, both developers and administrators need a precise request tracing tool to help understand and debug performance problems of large concurrent services of black boxes. Previous work fails to resolve this issue in several ways: they either accept the imprecision of probabilistic correlation methods, or rely on knowledge of protocols to isolate requests in pursuit of tracing accuracy. This paper introduces a tool named PreciseTracer to help debug performance problems of multi-tier services of black boxes. Our contributions are two-fold: first, we propose a precise request tracing algorithm for multi-tier services of black boxes, which only uses application-independent knowledge; secondly, we present a component activity graph abstraction to represent causal paths of requests and facilitate end-to-end performance debugging. The low overhead and tolerance of noise make PreciseTracer a promising tracing tool for using on production systems.","high","B3 | B8","2","B3=high | B8=medium","B3=Performs precise black-box request tracing and represents causal request paths with component activity graphs. | B8=Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.","B3=Directly relevant where Reflex services, connectors, or middleware cannot be instrumented internally. | B8=It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.","B3=true | B8=true","expansion_round_1 | primary_assignment","","2010","arxiv:1003.0955","arxiv:1003.0955","8811220115148131552","","35-classic-tracing | foundational distributed tracing end-to-end latency causal path instrumentation | robot middleware message tracing causal graphs end-to-end latency instrumentation","firecrawl research search-papers","foundational","B3 | B8","false","false","false","true","b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/expansion-registry.json | b3/follow-up-manifest.jsonl | b3/inspection-evidence.jsonl | b3/raw-q35-classic-tracing.json | b3/read-evidence-manifest.jsonl | b3/registry.json | b7/canonical-registry.json | b7/raw-retrieval/q15-mechanism-causal-trace.json | b8/canonical-registry.json | b8/expansion-follow-up-manifest.json | b8/expansion-inspection-manifest.json | b8/expansion-registry.json | b8/raw/foundational-02.json | b8/raw/mechanism-03.json","b3/triage.jsonl | b8/expansion-triage.jsonl"
"9","5","arxiv:1107.2003","Efficient Deterministic Replay Using Complete Race Detection","MEDIUM","B8","Efficient Deterministic Replay Using Complete Race Detection","arxiv:1107.2003","Data races can significantly affect the executions of multi-threaded programs. Hence, one has to recur the results of data races to deterministically replay a multi-threaded program. However, data races are concealed in enormous number of memory operations in a program. Due to the difficulty of accurately identifying data races, previous multi-threaded deterministic record/replay schemes for commodity multi-processor system give up to record data races directly. Consequently, they either record all shared memory operations, which brings remarkable slowdown to the production run, or record the synchronization only, which introduces significant efforts to replay. Inspired by the advances in data race detection, we propose an efficient software-only deterministic replay scheme for commodity multi-processor systems, which is named RacX. The key insight of RacX is as follows: although it is NP-hard to accurately identify the existence of data races between a pair of memory operations, we can find out all potential data races in a multi-threaded program, in which the false positives can be reduced to a small amount with our automatic false positive reduction techniques. As a result, RacX can efficiently monitor all potential data races to deterministically replay a multi-threaded program. To evaluate RacX, we have carried out experiments over a number of well-known multi-threaded programs from SPLASH-2 benchmark suite and large-scale commercial programs. RacX can precisely recur production runs of these programs with value determinism. Averagely, RacX causes only about 1.21%, 1.89%, 2.20%, and 8.41% slowdown to the original run during recording (for 2-, 4-, 8- and 16-thread programs, respectively). The soundness, efficiency, scalability, and portability of RacX well demonstrate its superiority.","medium","B8","1","B8=medium","B8=Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.","B8=It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.","B8=true","expansion_round_1","","2011","arxiv:1107.2003","arxiv:1107.2003","210242896464746379","","foundational deterministic replay debugging distributed systems record replay","firecrawl research search-papers","foundational","B8","false","false","false","false","b3/raw-q25-replay.json | b3/registry.json | b8/canonical-registry.json | b8/expansion-registry.json | b8/raw/foundational-01.json","b8/expansion-triage.jsonl"
"14","5","arxiv:1205.6018","Optimal Strategies for Communication and Remote Estimation with an Energy Harvesting Sensor","HIGH","B5","Optimal Strategies for Communication and Remote Estimation with an Energy Harvesting Sensor","arxiv:1205.6018","","high","B5","1","B5=high","B5=The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.","B5=It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.","B5=true","expansion_round_1","Ashutosh Nayyar, Tamer Basar, Demosthenis Teneketzis, Venugopal V. Veeravalli","","","arxiv:1205.6018","","","","","","B5","false","false","false","false","b5/evidence-digest.jsonl","b5/expansion/expansion-triage.jsonl"
"19","5","arxiv:1304.3258","Effect of the Feedback Function on the QoS in a Time Space Priority with Active Queue Management","MEDIUM","B4","Effect of the Feedback Function on the QoS in a Time Space Priority with Active Queue Management","arxiv:1304.3258","The basic idea behind an active queue management (AQM) is to sense the congestion level within the network and inform the packet sources about, so that they reduce their sending rate. In literature a lot off mechanisms of AQM are studied. But there are not used in the context of the DiffServ architecture where different types of packet with different requirements of QoS share the same link. In this paper, we study an access control mechanism for RT and NRT packets arriving in a buffer implemented at an end user in HSDPA. The mechanism uses thresholds to mange access in the buffer and gives acc","medium","B4","1","B4=medium","B4=queueing and buffering; scheduling/deadline policy; backpressure/overload control; network/transport transfer","B4=Supplies a transferable mechanism for explaining tail behavior and deciding which per-stage measurements the Reflex evidence model must preserve.","B4=true","primary_assignment","Mohamed Hanini; Said El Kafhali; Abdelkrim Haqtq; Amine Berqta","2013","arxiv:1304.3258","arxiv:1304.3258","arxiv:1304.3258","cs.NI","q13-DDS-QoS-queue.json","","","B4","false","false","false","false","b4/assigned-paper-manifest.jsonl | b4/canonical-registry.json | b4/raw-retrieval/q13-DDS-QoS-queue.json","b4/abstract-triage.jsonl"
"24","5","arxiv:1409.4842","Going Deeper with Convolutions","MEDIUM","B6","Going Deeper with Convolutions","arxiv:1409.4842","We propose a deep convolutional neural network architecture codenamed ""Inception"", which was responsible for setting the new state of the art for classification and detection in the ImageNet Large-Scale Visual Recognition Challenge 2014 (ILSVRC 2014). The main hallmark of this architecture is the improved utilization of the computing resources inside the network. This was achieved by a carefully crafted design that allows for increasing the depth and width of the network while keeping the computational budget constant. To optimize quality, the architectural decisions were based on the Hebbian principle and the intuition of multi-scale processing. One particular incarnation used in our submission for ILSVRC 2014 is called GoogLeNet, a 22 layers deep network, the quality of which is assessed in the context of classification and detection.","medium","B6","1","B6=medium","B6=The abstract describes resource contention, sharing, or isolation as a cause of inference performance variability.","B6=It helps distinguish accelerator interference from intrinsic model latency.","B6=false","expansion_round_1","","","","arxiv:1409.4842","7136509995518105801","","","","","B6","false","false","false","false","b6/expansion/expansion-registry.jsonl | b6/expansion/inspection-manifest.jsonl","b6/expansion/expansion-triage.jsonl"
"29","5","arxiv:1505.05364","Reactive Reasoning with the Event Calculus","MEDIUM","B5","Reactive Reasoning with the Event Calculus","arxiv:1505.05364","Systems for symbolic event recognition accept as input a stream of time-stamped events from sensors and other computational devices, and seek to identify high-level composite events, collections of events that satisfy some pattern. RTEC is an Event Calculus dialect with novel implementation and 'windowing' techniques that allow for efficient event recognition, scalable to large data streams. RTEC can deal with applications where event data arrive with a (variable) delay from, and are revised by, the underlying sources. RTEC can update already recognised events and recognise new events when data arrive with a delay or following data revision. Our evaluation shows that RTEC can support real-time event recognition and is capable of meeting the performance requirements identified in a recent survey of event processing use cases.","medium","B5","1","B5=medium","B5=The abstract examines event-time processing, late or out-of-order data, stream windows, watermarks, or message ordering.","B5=It supplies a transferable diagnostic or design hypothesis for detecting transport-induced loss, duplication, reordering, staleness, timing error, or observation/action mismatch in the Reflex episode loop.","B5=true","primary_assignment","Alexander Artikis, Marek Sergot, Georgios Paliouras","","arxiv:1505.05364","arxiv:1505.05364","1033903892428678452","","q11-syn-event-time | q42-found-stream","","","B5","false","false","false","false","b5/assigned-paper-manifest.json | b5/assigned-paper-manifest.jsonl | b5/canonical-registry.jsonl | b5/evidence-digest.jsonl | b5/raw-retrieval/q11-syn-event-time.json | b5/raw-retrieval/q42-found-stream.json","b5/abstract-triage.jsonl"
"34","5","arxiv:1509.02308","Dissecting GPU Memory Hierarchy through Microbenchmarking","HIGH","B6","Dissecting GPU Memory Hierarchy through Microbenchmarking","arxiv:1509.02308","Memory access efficiency is a key factor in fully utilizing the computational power of graphics processing units (GPUs). However, many details of the GPU memory hierarchy are not released by GPU vendors. In this paper, we propose a novel fine-grained microbenchmarking approach and apply it to three generations of NVIDIA GPUs, namely Fermi, Kepler and Maxwell, to expose the previously unknown characteristics of their memory hierarchies. Specifically, we investigate the structures of different GPU cache systems, such as the data cache, the texture cache and the translation look-aside buffer (TLB). We also investigate the throughput and access latency of GPU global memory and shared memory. Our microbenchmark results offer a better understanding of the mysterious GPU memory hierarchy, which will facilitate the software optimization and modelling of GPU architectures. To the best of our knowledge, this is the first study to reveal the cache properties of Kepler and Maxwell GPUs, and the superiority of Maxwell in shared memory performance under bank conflict.","high","B6","1","B6=high","B6=The abstract describes loading, caching, or warm-start behavior as a source of inference startup or steady-state latency.","B6=It helps separate startup effects from steady-state timing in an inference episode.","B6=true","expansion_round_1","","","","arxiv:1509.02308","2425441966270698489","","","","","B6","false","false","false","false","b6/expansion/expansion-registry.jsonl | b6/expansion/inspection-manifest.jsonl","b6/expansion/expansion-triage.jsonl"
"39","5","arxiv:1511.04792","Sensor Scheduling in Variance Based Event Triggered Estimation with Packet Drops","HIGH","B5","Sensor Scheduling in Variance Based Event Triggered Estimation with Packet Drops","arxiv:1511.04792","This paper considers a remote state estimation problem with multiple sensors observing a dynamical process, where sensors transmit local state estimates over an independent and identically distributed (i.i.d.) packet dropping channel to a remote estimator. At every discrete time instant, the remote estimator decides whether each sensor should transmit or not, with each sensor transmission incurring a fixed energy cost. The channel is shared such that collisions will occur if more than one sensor transmits at a time. Performance is quantified via an optimization problem that minimizes a convex combination of the expected estimation error covariance at the remote estimator and expected energy usage across the sensors. For transmission schedules dependent only on the estimation error covariance at the remote estimator, this work establishes structural results on the optimal scheduling which show that 1) for unstable systems, if the error covariance is large then a sensor will always be scheduled to transmit, and 2) there is a threshold-type behaviour in switching from one sensor transmitting to another. Specializing to the single sensor case, these structural results demonstrate that a threshold policy (i.e. transmit if the error covariance exceeds a certain threshold and don't transmit otherwise) is optimal. We also consider the situation where sensors transmit measurements instead of state estimates, and establish structural results including the optimality of threshold policies for the single sensor, scalar case. These results provide a theoretical justification for the use of such threshold policies in variance based event triggered estimation. Numerical studies confirm the qualitative behaviour predicted by our structural results. An extension of the structural results to Markovian packet drops is also outlined.","high","B5","1","B5=high","B5=The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.","B5=It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.","B5=true","expansion_round_1","Alex S. Leong, Subhrakanti Dey, Daniel E. Quevedo","","","arxiv:1511.04792","","","","","","B5","false","false","false","false","b1/expansion/expansion-manifest.jsonl | b5/evidence-digest.jsonl","b5/expansion/expansion-triage.jsonl"
"44","5","arxiv:1603.04199","Causal Consistency: Beyond Memory","MEDIUM","B2","Causal Consistency: Beyond Memory","arxiv:1603.04199","In distributed systems where strong consistency is costly when not impossible, causal consistency provides a valuable abstraction to represent program executions as partial orders. In addition to the sequential program order of each computing entity, causal order also contains the semantic links between the events that affect the shared objects -- messages emission and reception in a communication channel , reads and writes on a shared register. Usual approaches based on semantic links are very difficult to adapt to other data types such as queues or counters because they require a specific an","medium","B2","1","B2=medium","B2=Generalizes causal-consistency reasoning to distributed state and dependency histories beyond shared memory.","B2=Clarifies which cross-stage observations must remain causally consistent in a reconstructed episode.","B2=false","primary_assignment","Matthieu Perrin | Achour Mostefaoui | Claude Jard","2016","arxiv:1603.04199","arxiv:1603.04199","1978358969918575528","cs.DC","q07-sequence-correlation","semantic-search","general","B2","false","false","false","false","b2/raw-q07-sequence-correlation.txt | b2/registry-final.json | b2/registry.json | b3/raw-q28-causal-validation.json | b3/raw-q33-lamport.json | b3/raw-q34-vector-clocks.json | b3/registry.json | b5/canonical-registry.jsonl | b5/raw-retrieval/q40-found-clocks.json","b2/triage-final.jsonl | b2/triage.jsonl"
"49","5","arxiv:1607.04549","DiaSys: Improving SoC Insight Through On-Chip Diagnosis","MEDIUM","B3","DiaSys: Improving SoC Insight Through On-Chip Diagnosis","arxiv:1607.04549","To find the cause of a functional or non-functional defect (bug) in software running on a multi-processor System-on-Chip (MPSoC), developers need insight into the chip. Tracing systems provide this insight non-intrusively, at the cost of high off-chip bandwidth requirements. This I/O bottleneck limits the observability, a problem becoming more severe as more functionality is integrated on-chip. In this paper, we present DiaSys, an MPSoC diagnosis system with the potential to replace today's tracing systems. Its main idea is to partially execute the analysis of observation data on the chip; in consequence, more information and less data is sent to the attached host PC. With DiaSys, the data analysis is performed by the diagnosis application. Its input are events, which are generated by observation hardware at interesting points in the program execution (like a function call). Its outputs are events with higher information density. The event transformation is modeled as dataflow application. For execution, it is mapped in part to dedicated and distributed on-chip components, and in part to the host PC; the off-chip boundary is transparent to the developer of the diagnosis application. We implement DiaSys as extension to an existing SoC with four tiles and a mesh network running on an FPGA platform. Two usage examples confirm that DiaSys is flexible enough to replace a tracing system, while significantly lowering the off-chip bandwidth requirements. In our examples, the debugging of a race-condition bug, and the creation of a lock contention profile, we see a reduction of trace bandwidth of more than three orders of magnitude, compared to a full trace created by a common tracing system.","medium","B3","1","B3=medium","B3=Moves diagnosis of MPSoC execution events onto distributed on-chip components, reducing trace bandwidth by over three orders of magnitude.","B3=Shows how local causal aggregation can preserve diagnostic signal under severe telemetry bandwidth limits.","B3=false","primary_assignment","","","arxiv:1607.04549","arxiv:1607.04549","1514343919925841873","","05-event-graph","","","B3","false","false","false","false","b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/raw-q05-event-graph.json | b3/registry.json","b3/triage.jsonl"
