"pass2_index","assigned_agent","paper_id","paper_title","first_pass_classification","source_lane","paper_name","id","abstract","triage_label","lanes","lane_count","triage_labels_by_lane","mechanisms_by_lane","why_it_matters_by_lane","follow_up_by_lane","corpus_stages","authors","year","source_ids","primary_id","source_paper_id","categories","queries","discovery_methods","designations","primary_readers","metadata_verified_any","body_inspected_any","evidence_read_any","triage_disagreement","source_registry_paths","source_triage_paths"
"1","2","arxiv:0809.2350","Random Linear Network Coding For Time Division Duplexing: When To Stop Talking And Start Listening","MEDIUM","B5","Random Linear Network Coding For Time Division Duplexing: When To Stop Talking And Start Listening","arxiv:0809.2350","","medium","B5","1","B5=medium","B5=The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.","B5=It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.","B5=true","expansion_round_1","Daniel E. Lucani, Milica Stojanovic, Muriel Médard","","","arxiv:0809.2350","","","","","","B5","false","false","false","false","b5/evidence-digest.jsonl","b5/expansion/expansion-triage.jsonl"
"6","2","arxiv:1005.2894","Optimal Gradient Clock Synchronization in Dynamic Networks","MEDIUM","B1","Optimal Gradient Clock Synchronization in Dynamic Networks","arxiv:1005.2894","We study the problem of clock synchronization in highly dynamic networks, where communication links can appear or disappear at any time. The nodes in the network are equipped with hardware clocks, but the rate of the hardware clocks can vary arbitrarily within specific bounds, and the estimates that nodes can obtain about the clock values of other nodes are inherently inaccurate. Our goal in this setting is to output a logical clock at each node such that the logical clocks of any two nodes are not too far apart, and nodes that remain close to each other in the network for a long time are better synchronized than distant nodes. This property is called gradient clock synchronization. Gradient clock synchronization has been widely studied in the static setting, where the network topology does not change. We show that the asymptotically optimal bounds obtained for the static case also apply to our highly dynamic setting: if two nodes remain at distance d from each other for sufficiently long, it is possible to upper bound the difference between their clock values by O(d (D / d)), where D is the diameter of the network. This is known to be optimal even for static networks. Furthermore, we show that our algorithm has optimal stabilization time: when a path of length d appears between two nodes, the time required until the clock skew between the two nodes is reduced to O(d (D / d)) is O(D), which we prove to be optimal. Finally, the techniques employed for the more intricate analysis of the algorithm for dynamic graphs provide additional insights that are also of interest for the static setting. In particular, we establish self-stabilization of the gradient property within O(D) time.","medium","B1","1","B1=medium","B1=Gradient synchronization bounds local skew as a function of network distance despite dynamic connectivity and oscillator variation.","","B1=true","primary_assignment","Fabian Kuhn, Christoph Lenzen, Thomas Locher, Rotem Oshman","2010","arxiv:1005.2894","arxiv:1005.2894","3404356302515280676","","","","","B1","true","false","false","false","b1/assigned-paper-manifest.json | b1/assigned-paper-manifest.jsonl | b1/assigned-registry.jsonl | b1/canonical-registry.jsonl | b1/follow-up-manifest.jsonl | b1/inspection-manifest.jsonl | b1/raw-q02-synonyms.json","b1/assigned-paper-manifest.jsonl | b1/triage.jsonl"
"11","2","arxiv:1112.4428","Causality, Knowledge and Coordination in Distributed Systems","MEDIUM","B2","Causality, Knowledge and Coordination in Distributed Systems","arxiv:1112.4428","Effecting coordination across remote sites in a distributed system is an essential part of distributed computing, and also an inherent challenge. In 1978, an analysis of communication in asynchronous systems was suggested by Leslie Lamport. Lamport's analysis determines a notion of temporal precedence, a sort of weak notion of time, which is otherwise missing in asynchronous systems. This notion has been extensively utilized in various applications. Yet the analysis is limited to systems that are asynchronous. In this thesis we go beyond by investigating causality in synchronous systems. In su","medium","B2","1","B2=medium","B2=Formalizes how event causality and knowledge affect coordination in distributed systems.","B2=Provides foundational semantics for interpreting partial robot execution histories.","B2=false","primary_assignment","Ido Ben-Zvi","2011","arxiv:1112.4428","arxiv:1112.4428","8674407848986055084","cs.DC | cs.LO","q04-message-flow | q13-foundations","semantic-search","general","B2","false","false","false","false","b1/canonical-registry.jsonl | b1/raw-q10-causal-diagnosis.json | b1/raw-q11-foundational.json | b1/raw-q14-lamport-exact.json | b2/raw-q04-message-flow.txt | b2/raw-q13-foundations.txt | b2/registry-final.json | b2/registry.json | b3/raw-q06-provenance.json | b3/raw-q33-lamport.json | b3/registry.json | b5/canonical-registry.jsonl | b5/raw-retrieval/q40-found-clocks.json","b2/triage-final.jsonl | b2/triage.jsonl"
"16","2","arxiv:1212.1216","Non-Hierarchical Clock Synchronization for Wireless Sensor Networks","MEDIUM","B1","Non-Hierarchical Clock Synchronization for Wireless Sensor Networks","arxiv:1212.1216","Time synchronization is important for a variety of applications in wireless sensor networks including scheduling communication resources, coordinating sensor wake/sleep cycles, and aligning signals for distributed transmission/reception. This paper describes a non-hierarchical approach to time synchronization in wireless sensor networks that has low overhead and can be implemented at the physical and/or MAC layers. Unlike most of the prior approaches, the approach described in this paper allows all nodes to use exactly the same distributed algorithm and does not require local averaging of measurements from other nodes. Analytical results show that the non-hierarchical approach can provide monotonic expected convergence of both drifts and offsets under broad conditions on the network topology and local clock update stepsize. Numerical results are also presented verifying the analysis under two particular network topologies.","medium","B1","1","B1=medium","B1=A non-hierarchical protocol synchronizes drift and offset using a common distributed algorithm and local measurements.","","B1=true","primary_assignment","D. Richard Brown, III, Andrew G. Klein, Rui Wang","2012","arxiv:1212.1216","arxiv:1212.1216","369303191991734137","","","","","B1","true","false","false","false","b1/assigned-paper-manifest.json | b1/assigned-paper-manifest.jsonl | b1/assigned-registry.jsonl | b1/canonical-registry.jsonl | b1/follow-up-manifest.jsonl | b1/inspection-manifest.jsonl | b1/raw-q01-direct.json | b1/raw-q06-monotonic.json","b1/assigned-paper-manifest.jsonl | b1/triage.jsonl"
"21","2","arxiv:1402.6693","Optimal Energy Allocation for Kalman Filtering over Packet Dropping Links with Imperfect Acknowledgments and Energy Harvesting Constraints","HIGH","B5","Optimal Energy Allocation for Kalman Filtering over Packet Dropping Links with Imperfect Acknowledgments and Energy Harvesting Constraints","arxiv:1402.6693","","high","B5","1","B5=high","B5=The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.","B5=It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.","B5=true","expansion_round_1","Mojtaba Nourian, Alex S. Leong, Subhrakanti Dey","","","arxiv:1402.6693","","","","","","B5","false","false","false","false","b5/evidence-digest.jsonl","b5/expansion/expansion-triage.jsonl"
"26","2","arxiv:1412.4390","Proportional switching in FIFO networks","MEDIUM","B4","Proportional switching in FIFO networks","arxiv:1412.4390","We consider a family of discrete time multihop switched queueing networks where each packet moves along a fixed route. In this setting, BackPressure is the canonical choice of scheduling policy; this policy has the virtues of possessing a maximal stability region and not requiring explicit knowledge of traffic arrival rates. BackPressure has certain structural weaknesses because implementation requires information about each route, and queueing delays can grow super-linearly with route length. For large networks, where packets over many routes are processed by a queue, or where packets over a","medium","B4","1","B4=medium","B4=queueing and buffering; scheduling/deadline policy; backpressure/overload control; network/transport transfer","B4=Supplies a transferable mechanism for explaining tail behavior and deciding which per-stage measurements the Reflex evidence model must preserve.","B4=true","primary_assignment","Maury Bramson; Bernardo D'Auria; Neil Walton","2016","arxiv:1412.4390","arxiv:1412.4390","arxiv:1412.4390","math.OC | math.PR","q13-DDS-QoS-queue.json","","","B4","false","false","false","false","b4/assigned-paper-manifest.jsonl | b4/canonical-registry.json | b4/raw-retrieval/q13-DDS-QoS-queue.json","b4/abstract-triage.jsonl"
"31","2","arxiv:1506.07584","Synchronization of ad hoc Clock Networks","MEDIUM","B1","Synchronization of ad hoc Clock Networks","arxiv:1506.07584","We introduce a graph-theoretic approach to synchronizing clocks in an ad hoc network of N timepieces. Clocks naturally drift away from being synchronized because of many physical factors. The manual way of clock synchronization suffers from an inherrent propagation of the so called ""clock drift"" due to ""word-of-mouth effect."" The current standard way of automated clock synchronization is either via radio band transmission of the global clock or via the software-based Network Time Protocol (NTP). Synchronization via radio band transmission suffers from the wave transmission delay, while the client-server-based NTP does not scale to increased number of clients as well as to unforeseen server overload conditions (e.g., flash crowd and time-of-day effects). Further, the trivial running time of NTP for synchronizing an N-node network, where each node is a clock and the NTP server follows a single-port communication model, is (N). We introduce in this paper a (N) time for synchronizing the clocks in exchange for an increase of (N) in space complexity, though through creative ""tweaking,"" we later reduced the space requirement to (1). Our graph-theoretic protocol assumes that the network is N, while the subset of clocks are in an embedded circulant graph n<Nq with q jumps and clock information is communicated through circular shifts within the n<Nq. All N nodes communicate via a single-port duplex channel model. Theoretically, this synchronization protocol allows for N(N)â»Â¹ - 1 more synchronizations than the client-server-based one. Empirically through statistically replicated multi-agent-based microsimulation runs, our protocol allows at most 80% of the clocks synchronized compared to the current protocol which only allows up to 30% after some steady-state time.","medium","B1","1","B1=medium","B1=The protocol synchronizes clocks in changing ad hoc networks using distributed measurements and topology assumptions.","","B1=true","primary_assignment","Jaderick P. Pabico","2015","arxiv:1506.07584","arxiv:1506.07584","8774084526251050579","","","","","B1","true","false","false","false","b1/assigned-paper-manifest.json | b1/assigned-paper-manifest.jsonl | b1/assigned-registry.jsonl | b1/canonical-registry.jsonl | b1/follow-up-manifest.jsonl | b1/inspection-manifest.jsonl | b1/raw-q13-os-clocks.json","b1/assigned-paper-manifest.jsonl | b1/triage.jsonl"
"36","2","arxiv:1510.04488","Performance Analysis of a Heterogeneous Traffic Scheduler using Large Deviation Principle","MEDIUM","B4","Performance Analysis of a Heterogeneous Traffic Scheduler using Large Deviation Principle","arxiv:1510.04488","In this paper, we study the stability of light traffic achieved by a scheduling algorithm which is suitable for heterogeneous traffic networks. Since analyzing a scheduling algorithm is intractable using the conventional mathematical tool, our goal is to minimize the largest queue-overflow probability achieved by the algorithm. In the large deviation setting, this problem is equivalent to maximizing the asymptotic decay rate of the largest queue-overflow probability. We first derive an upper bound on the decay rate of the queue overflow probability as the queue overflow threshold approaches in","medium","B4","1","B4=medium","B4=queueing and buffering; scheduling/deadline policy; stage-wise latency attribution; network/transport transfer","B4=Supplies a transferable mechanism for explaining tail behavior and deciding which per-stage measurements the Reflex evidence model must preserve.","B4=true","primary_assignment","Rukhsana Ruby; Victor C. M. Leung","2016","arxiv:1510.04488","arxiv:1510.04488","arxiv:1510.04488","cs.NI | cs.PF","q13-DDS-QoS-queue.json","","","B4","false","false","false","false","b4/assigned-paper-manifest.jsonl | b4/canonical-registry.json | b4/raw-retrieval/q13-DDS-QoS-queue.json | b5/canonical-registry.jsonl | b5/raw-retrieval/q25-failure-congestion.json","b4/abstract-triage.jsonl"
"41","2","arxiv:1512.05023","Packet Transactions: High-level Programming for Line-Rate Switches","HIGH","B4","Packet Transactions: High-level Programming for Line-Rate Switches","arxiv:1512.05023","Many algorithms for congestion control, scheduling, network measurement, active queue management, security, and load balancing require custom processing of packets as they traverse the data plane of a network switch. To run at line rate, these data-plane algorithms must be in hardware. With today's switch hardware, algorithms cannot be changed, nor new algorithms installed, after a switch has been built. This paper shows how to program data-plane algorithms in a high-level language and compile those programs into low-level microcode that can run on emerging programmable line-rate switching chi","high","B4","1","B4=high","B4=queue; schedule; backpressure; networking","B4=Expansion seed adds an independent queueing, scheduling, contention, transport, or tail-latency mechanism for cross-checking the B4 synthesis and Reflex transfer path.","B4=true","expansion_round_1","","","","arxiv:1512.05023","","","","","","B4","false","false","false","false","b4/expansion/expansion-followup-manifest.jsonl","b4/expansion/expansion-followup-triage.jsonl"
"46","2","arxiv:1606.05962","Efficient Timestamps for Capturing Causality","HIGH","B1 | B2","Efficient Timestamps for Capturing Causality","arxiv:1606.05962","Consider an asynchronous system consisting of processes that communicate via message-passing. The processes communicate over a potentially incomplete communication network consisting of reliable bidirectional communication channels. Thus, not every pair of processes is necessarily able to communicate with each other directly. % For instance, when the communication network is a star graph, there is a central process % that can communicate with all the remaining processes (which are called radial processes), % but the radial processes cannot communicate with each other directly. The goal of the algorithms discussed in this paper is to assign timestamps to the events at all the processes such that (a) distinct events are assigned distinct timestamps, and (b) the happened-before relationship between the events can be inferred from the timestamps. We consider three types of algorithms for assigning timestamps to events: (i) Online algorithms that must (greedily) assign a timestamp to each event when the event occurs. (ii) Offline algorithms that assign timestamps to event after a finite execution is complete. (iii) Inline algorithms that assign a timestamp to each event when it occurs, but may modify some elements of a timestamp again at a later time. For specific classes of graphs, particularly star graphs and graphs with connectivity â‰¥ 1, the paper presents bounds on the length of vector timestamps assigned by an online algorithm. The paper then presents an inline algorithm, which typically assigns substantially smaller timestamps than the optimal-length online vector timestamps. In particular, the inline algorithm assigns timestamp in the form of a tuple containing 2c+2 integer elements, where c is the size of the vertex cover for the underlying communication graph.","high","B1 | B2","2","B1=high | B2=high","B1=Online, offline, and inline timestamp algorithms capture happened-before with metadata sized by communication-graph structure. | B2=Develops compact timestamps that capture causality while reducing vector-clock update and storage cost.","B2=Addresses telemetry overhead when every robot event needs causal metadata.","B1=true | B2=true","primary_assignment","Nitin H. Vaidya, Sandeep S. Kulkarni","2016","arxiv:1606.05962","arxiv:1606.05962","2227616049552302296","cs.DC","q03-causality | q13-foundations","semantic-search","general","B1 | B2","true","false","false","false","b1/assigned-paper-manifest.json | b1/assigned-paper-manifest.jsonl | b1/assigned-registry.jsonl | b1/canonical-registry.jsonl | b1/follow-up-manifest.jsonl | b1/inspection-manifest.jsonl | b1/raw-q04-logical.json | b1/raw-q05-uncertainty.json | b1/raw-q06-monotonic.json | b1/raw-q10-causal-diagnosis.json | b1/raw-q11-foundational.json | b1/raw-q14-lamport-exact.json | b2/raw-q03-causality.txt | b2/raw-q13-foundations.txt | b2/registry-final.json | b2/registry.json | b3/raw-q33-lamport.json | b3/raw-q34-vector-clocks.json | b3/registry.json | b5/canonical-registry.jsonl | b5/raw-retrieval/q40-found-clocks.json","b1/assigned-paper-manifest.jsonl | b1/triage.jsonl | b2/triage-final.jsonl | b2/triage.jsonl"
