"pass2_index","paper_id","status","mechanism_count","processed_at","error_or_review_reason"
"0","arxiv:0710.3742","NEEDS_DEEP_REVIEW","1","2026-08-30T00:00:00-04:00","What is the supported input-to-operation chain and its exact A1-A15 lane assignment?"
"13","arxiv:1205.4839","NEEDS_DEEP_REVIEW","1","2026-08-30T00:00:00-04:00","What is the supported input-to-operation chain and its exact A1-A15 lane assignment?"
"26","arxiv:1312.2249","DROP","0","2026-08-30T00:00:00-04:00","The supplied title and abstract describe a benchmark, dataset, survey, or out-of-scope application rather than a concrete intervention for robot-learning data or training intelligence."
"39","arxiv:1411.4357","DROP","0","2026-08-30T00:00:00-04:00","The supplied title and abstract describe a benchmark, dataset, survey, or out-of-scope application rather than a concrete intervention for robot-learning data or training intelligence."
"52","arxiv:1506.02142","NEEDS_DEEP_REVIEW","1","2026-08-30T00:00:00-04:00","What is the supported input-to-operation chain and its exact A1-A15 lane assignment?"
"65","arxiv:1511.05298","NEEDS_DEEP_REVIEW","1","2026-08-30T00:00:00-04:00","What is the supported input-to-operation chain and its exact A1-A15 lane assignment?"
"78","arxiv:1602.04621","NEEDS_DEEP_REVIEW","1","2026-08-30T00:00:00-04:00","What is the supported input-to-operation chain and its exact A1-A15 lane assignment?"
"91","arxiv:1604.06057","NEEDS_DEEP_REVIEW","1","2026-08-30T00:00:00-04:00","What is the supported input-to-operation chain and its exact A1-A15 lane assignment?"
"104","arxiv:1607.01883","NEEDS_DEEP_REVIEW","1","2026-08-30T00:00:00-04:00","What is the supported input-to-operation chain and its exact A1-A15 lane assignment?"
"117","arxiv:1610.05182","NEEDS_DEEP_REVIEW","1","2026-08-30T00:00:00-04:00","What is the supported input-to-operation chain and its exact A1-A15 lane assignment?"
"130","arxiv:1701.07790","NEEDS_DEEP_REVIEW","1","2026-08-30T00:00:00-04:00","What is the supported input-to-operation chain and its exact A1-A15 lane assignment?"
"143","arxiv:1703.02018","NEEDS_DEEP_REVIEW","1","2026-08-30T00:00:00-04:00","What is the supported input-to-operation chain and its exact A1-A15 lane assignment?"
