"pass2_index","paper_id","status","mechanism_count","processed_at","error_or_review_reason"
"2","arxiv:0905.2592","NEEDS_DEEP_REVIEW","1","2026-08-30T23:33:07.9824522Z","Can full-text method evidence establish the signal, operation boundary, and empirical support?"
"15","arxiv:1206.6473","NEEDS_DEEP_REVIEW","1","2026-08-30T23:33:07.9998006Z","Can full-text method evidence establish the signal, operation boundary, and empirical support?"
"28","arxiv:1312.6229","NEEDS_DEEP_REVIEW","1","2026-08-30T23:33:08.0072714Z","Can full-text method evidence establish the signal, operation boundary, and empirical support?"
"41","arxiv:1412.1193","DROP","0","2026-08-30T23:33:08.0130315Z","Title/abstract inspection identifies a survey, benchmark, dataset, or analysis rather than an independently supported Program A mechanism."
"54","arxiv:1506.08941","DROP","0","2026-08-30T23:33:08.0149164Z","Title/abstract inspection did not establish a concrete operative intervention."
"67","arxiv:1511.06418","NEEDS_DEEP_REVIEW","1","2026-08-30T23:33:08.0237761Z","Can full-text method evidence establish the signal, operation boundary, and empirical support?"
"80","arxiv:1602.06822","NEEDS_DEEP_REVIEW","1","2026-08-30T23:33:08.0301649Z","Can full-text method evidence establish the signal, operation boundary, and empirical support?"
"93","arxiv:1604.07316","DROP","0","2026-08-30T23:33:08.0315843Z","Title/abstract inspection did not establish a concrete operative intervention."
"106","arxiv:1607.08584","NEEDS_DEEP_REVIEW","1","2026-08-30T23:33:08.0389947Z","Can full-text method evidence establish the signal, operation boundary, and empirical support?"
"119","arxiv:1611.01796","NEEDS_DEEP_REVIEW","1","2026-08-30T23:33:08.0530135Z","Can full-text method evidence establish the signal, operation boundary, and empirical support?"
"132","arxiv:1702.07475","NEEDS_DEEP_REVIEW","1","2026-08-30T23:33:08.0552641Z","Can full-text method evidence establish the signal, operation boundary, and empirical support?"
"145","arxiv:1703.04122","NEEDS_DEEP_REVIEW","1","2026-08-30T23:33:08.0664690Z","Can full-text method evidence establish the signal, operation boundary, and empirical support?"
"158","arxiv:1704.03617","NEEDS_DEEP_REVIEW","1","2026-08-30T23:33:08.0739461Z","Can full-text method evidence establish the signal, operation boundary, and empirical support?"
"171","arxiv:1706.04652","NEEDS_DEEP_REVIEW","1","2026-08-30T23:33:08.0884651Z","Can full-text method evidence establish the signal, operation boundary, and empirical support?"
"184","arxiv:1707.08817","NEEDS_DEEP_REVIEW","1","2026-08-30T23:33:08.0914551Z","Can full-text method evidence establish the signal, operation boundary, and empirical support?"
"197","arxiv:1710.05268","NEEDS_DEEP_REVIEW","1","2026-08-30T23:33:08.1050183Z","Can full-text method evidence establish the signal, operation boundary, and empirical support?"
