"pass2_index","paper_id","status","mechanism_count","processed_at","error_or_review_reason"
"4","arxiv:1011.0686","KEEP","1","2026-08-30T19:32:27.9919145-04:00","Abstract-only extraction; the body was not locally available for finer mechanism-boundary review."
"17","arxiv:1207.6083","KEEP","1","2026-08-30T19:32:28.0117436-04:00","Abstract-only extraction; the body was not locally available for finer mechanism-boundary review."
"30","arxiv:1402.0567","DROP","0","2026-08-30T19:32:28.0185331-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"43","arxiv:1502.05477","DROP","0","2026-08-30T19:32:28.0185331-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"56","arxiv:1507.00814","KEEP","1","2026-08-30T19:32:28.0185331-04:00","Abstract-only extraction; the body was not locally available for finer mechanism-boundary review."
"69","arxiv:1512.03012","DROP","0","2026-08-30T19:32:28.0185331-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"82","arxiv:1602.07332","DROP","0","2026-08-30T19:32:28.0205420-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"95","arxiv:1605.06676","DROP","0","2026-08-30T19:32:28.0205420-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"108","arxiv:1608.05167","DROP","0","2026-08-30T19:32:28.0205420-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"121","arxiv:1611.04717","RESERVE","1","2026-08-30T19:32:28.0205420-04:00","Abstract-only extraction; the body was not locally available for finer mechanism-boundary review."
"134","arxiv:1703.00121","DROP","0","2026-08-30T19:32:28.0205420-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"147","arxiv:1703.05407","KEEP","1","2026-08-30T19:32:28.0205420-04:00","Abstract-only extraction; the body was not locally available for finer mechanism-boundary review."
"160","arxiv:1704.06888","KEEP","1","2026-08-30T19:32:28.0205420-04:00","Abstract-only extraction; the body was not locally available for finer mechanism-boundary review."
"173","arxiv:1706.05064","DROP","0","2026-08-30T19:32:28.0205420-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"186","arxiv:1708.05144","DROP","0","2026-08-30T19:32:28.0205420-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"199","arxiv:1710.09767","DROP","0","2026-08-30T19:32:28.0225499-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"212","arxiv:1802.01557","RESERVE","1","2026-08-30T19:32:28.0225499-04:00","Abstract-only extraction; the body was not locally available for finer mechanism-boundary review."
"225","arxiv:1803.10122","DROP","0","2026-08-30T19:32:28.0225499-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"238","arxiv:1806.04166","DROP","0","2026-08-30T19:32:28.0225499-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"251","arxiv:1809.08875","DROP","0","2026-08-30T19:32:28.0225499-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"264","arxiv:1811.02790","DROP","0","2026-08-30T19:32:28.0225499-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"277","arxiv:1812.07252","KEEP","1","2026-08-30T19:32:28.0225499-04:00","Abstract-only extraction; the body was not locally available for finer mechanism-boundary review."
"290","arxiv:1903.08225","DROP","0","2026-08-30T19:32:28.0225499-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"303","arxiv:1905.07088","DROP","0","2026-08-30T19:32:28.0225499-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"316","arxiv:1906.08473","KEEP","1","2026-08-30T19:32:28.0245564-04:00","Abstract-only extraction; the body was not locally available for finer mechanism-boundary review."
"329","arxiv:1908.01039","DROP","0","2026-08-30T19:32:28.0245564-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"342","arxiv:1910.03860","RESERVE","1","2026-08-30T19:32:28.0245564-04:00","Abstract-only extraction; the body was not locally available for finer mechanism-boundary review."
"355","arxiv:1912.12773","DROP","0","2026-08-30T19:32:28.0245564-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
"368","arxiv:2003.06082","RESERVE","1","2026-08-30T19:32:28.0253074-04:00","Abstract-only extraction; the body was not locally available for finer mechanism-boundary review."
"381","arxiv:2005.06676","KEEP","1","2026-08-30T19:32:28.0264749-04:00","Abstract-only extraction; the body was not locally available for finer mechanism-boundary review."
"394","arxiv:2008.03703","KEEP","1","2026-08-30T19:32:28.0270302-04:00","Abstract-only extraction; the body was not locally available for finer mechanism-boundary review."
"407","arxiv:2010.05687","DROP","0","2026-08-30T19:32:28.0270302-04:00","Abstract screening did not establish a concrete Program A data or training-intelligence intervention."
