"pass2_index","paper_id","paper_title","terminal_outcome","mechanisms_emitted","classification","notes"
"11","arxiv:1202.5933","Prototype selection for interpretable classification","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"24","arxiv:1310.1531","DeCAF: A Deep Convolutional Activation Feature for Generic Visual Recognition","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"37","arxiv:1409.0575","ImageNet Large Scale Visual Recognition Challenge","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"50","arxiv:1505.04597","U-Net: Convolutional Networks for Biomedical Image Segmentation","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"63","arxiv:1511.02283","Generation and Comprehension of Unambiguous Object Descriptions","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"76","arxiv:1602.03351","Adaptive Skills, Adaptive Partitions (ASAP)","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"89","arxiv:1604.04038","More than a Million Ways to Be Pushed: A High-Fidelity Experimental Dataset of Planar Pushing","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"102","arxiv:1606.04695","Strategic Attentive Writer for Learning Macro-Actions","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"115","arxiv:1610.02080","On Shapley value for measuring importance of dependent inputs","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"128","arxiv:1701.06049","Interactive Learning from Policy-Dependent Human Feedback","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"141","arxiv:1703.01541","Soft-DTW: a Differentiable Loss Function for Time-Series","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"154","arxiv:1703.09788","Towards Automatic Learning of Procedures from Web Instructional Videos","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"167","arxiv:1706.03741","Deep reinforcement learning from human preferences","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"180","arxiv:1707.04991","Tracking as Online Decision-Making: Learning a Policy from Streaming Videos with Reinforcement Learning","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"193","arxiv:1709.10089","Overcoming Exploration in Reinforcement Learning with Demonstrations","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"206","arxiv:1711.10306","Robust machine learning by median-of-means : theory and practice","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"219","arxiv:1802.09419","Stochastic Hyperparameter Optimization through Hypernetworks","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"232","arxiv:1805.11592","Playing hard exploration games by watching YouTube","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"245","arxiv:1807.11293","Improving Spatiotemporal Self-Supervision by Deep Reinforcement Learning","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"258","arxiv:1810.06284","CURIOUS: Intrinsically Motivated Modular Multi-Goal Reinforcement Learning","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"271","arxiv:1812.00568","Visual Foresight: Model-Based Deep Reinforcement Learning for Vision-Based Robotic Control","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"284","arxiv:1902.10275","Towards Efficient Data Valuation Based on the Shapley Value","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"297","arxiv:1904.05869","Keyframing the Future: Keyframe Discovery for Visual Prediction and Planning","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"310","arxiv:1906.04161","Self-Supervised Exploration via Disagreement","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"323","arxiv:1907.03976","Better-than-Demonstrator Imitation Learning via Automatically-Ranked Demonstrations","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"336","arxiv:1909.09020","Shape and Time Distortion Loss for Training Deep Time Series Forecasting Models","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"349","arxiv:1911.04052","Scaling Robot Supervision to Hundreds of Hours with RoboTurk: Robotic Manipulation Dataset through Human Reasoning and Dexterity","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"362","arxiv:2002.08484","Estimating Training Data Influence by Tracing Gradient Descent","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"375","arxiv:2004.07398","Neuromorphic Eye-in-Hand Visual Servoing","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"388","arxiv:2006.09359","AWAC: Accelerating Online Reinforcement Learning with Offline Datasets","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"401","arxiv:2009.13732","Learning Skills to Patch Plans Based on Inaccurate Models","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"414","arxiv:2010.08587","Learning Dexterous Manipulation from Suboptimal Experts","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"427","arxiv:2011.08694","Reactive Long Horizon Task Execution via Visual Skill and Precondition Models","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"440","arxiv:2102.05262","Input Similarity from the Neural Network Perspective","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"453","arxiv:2103.10972","Learning Task Decomposition with Ordered Memory Policy Network","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"466","arxiv:2106.03155","SoftDICE for Imitation Learning: Rethinking Off-policy Distribution Matching","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"479","arxiv:2107.04775","LS3: Latent Space Safe Sets for Long-Horizon Visuomotor Control of Sparse Reward Iterative Tasks","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"492","arxiv:2108.03332","BEHAVIOR: Benchmark for Everyday Household Activities in Virtual, Interactive, and Ecological Environments","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"505","arxiv:2109.11280","Semi-Supervised Imitation Learning with Mixed Qualities of Demonstrations for Autonomous Driving","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"518","arxiv:2110.06169","Offline Reinforcement Learning with Implicit Q-Learning","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"531","arxiv:2111.00071","ReSkin: versatile, replaceable, lasting tactile skins","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"544","arxiv:2201.11861","The Challenges of Exploration for Offline Reinforcement Learning","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"557","arxiv:2202.10001","Recurrent Auto-Encoder With Multi-Resolution Ensemble and Predictive Coding for Multivariate Time-Series Anomaly Detection","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"570","arxiv:2204.05618","When Should We Prefer Offline Reinforcement Learning Over Behavioral Cloning?","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"583","arxiv:2205.11019","Efficient Reinforcement Learning from Demonstration Using Local Ensemble and Reparameterization with Split and Merge of Expert Policies","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"596","arxiv:2207.05515","Compound Prototype Matching for Few-shot Action Recognition","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"609","arxiv:2209.13850","Bimanual rope manipulation skill synthesis through context dependent correction policy learning from human demonstration","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"622","arxiv:2210.06479","Real World Offline Reinforcement Learning with Realistic Data Source","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
