"pass2_index","paper_id","paper_title","terminal_outcome","mechanisms_emitted","note"
"8","arxiv:1106.4573","Towards Adjustable Autonomy for the Real World","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"21","arxiv:1301.7381","Hierarchical Solution of Markov Decision Processes using Macro-actions","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"34","arxiv:1407.1208","Weakly Supervised Action Labeling in Videos Under Ordering Constraints","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"47","arxiv:1503.03585","Deep Unsupervised Learning using Nonequilibrium Thermodynamics","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"60","arxiv:1509.06825","Supersizing Self-supervision: Learning to Grasp from 50K Tries and 700 Robot Hours","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"73","arxiv:1601.01006","Space-Time Representation of People Based on 3D Skeletal Data: A Review","DROP","0","Survey/review; no independent operative intervention retained."
"86","arxiv:1603.06277","Composing graphical models with neural networks for structured representations and fast inference","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"99","arxiv:1606.01601","shapeDTW: shape Dynamic Time Warping","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"112","arxiv:1610.00673","Collective Robot Reinforcement Learning with Distributed Asynchronous Guided Policy Search","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"125","arxiv:1612.00593","PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"138","arxiv:1703.01161","FeUdal Networks for Hierarchical Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"151","arxiv:1703.08294","Multi-Level Discovery of Deep Options","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"164","arxiv:1705.07874","A Unified Approach to Interpreting Model Predictions","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"177","arxiv:1707.02267","Transferring End-to-End Visuomotor Control from Simulation to Real World for a Multi-Stage Task","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"190","arxiv:1709.06683","OptionGAN: Learning Joint Reward-Policy Options using Generative Adversarial Inverse Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"203","arxiv:1711.02209","Unsupervised Learning of Semantic Audio Representations","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"216","arxiv:1802.05642","The Mechanics of n-Player Differentiable Games","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"229","arxiv:1805.08125","A Marketplace for Data: An Algorithmic Solution","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"242","arxiv:1807.07049","Robot Learning in Homes: Improving Generalization and Reducing Dataset Bias","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"255","arxiv:1810.03043","Robustness via Retrying: Closed-Loop Robotic Manipulation with Self-Supervised Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"268","arxiv:1811.06272","Woulda, Coulda, Shoulda: Counterfactually-Guided Policy Search","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"281","arxiv:1902.00183","Learning Action Representations for Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"294","arxiv:1904.02868","Data Shapley: Equitable Valuation of Data for Machine Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"307","arxiv:1905.13289","On the Accuracy of Influence Functions for Measuring Group Effects","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"320","arxiv:1907.00277","Active Learning of Probabilistic Movement Primitives","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"333","arxiv:1908.08619","Efficient Task-Specific Data Valuation for Nearest Neighbor Algorithms","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"346","arxiv:1910.11215","RoboNet: Large-Scale Multi-Robot Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"359","arxiv:2002.03647","Explore, Discover and Learn: Unsupervised Discovery of State-Covering Skills","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"372","arxiv:2003.14266","SCT: Set Constrained Temporal Transformer for Set Supervised Action Segmentation","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"385","arxiv:2006.03575","End-to-End Adversarial Text-to-Speech","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"398","arxiv:2009.08319","Decoupling Representation Learning from Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"411","arxiv:2010.07986","An Empowerment-based Solution to Robotic Manipulation Tasks with Sparse Rewards","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"424","arxiv:2011.04627","Learning to Compose Hierarchical Object-Centric Controllers for Robotic Manipulation","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"437","arxiv:2101.07974","TCLR: Temporal Contrastive Learning for Video Representation","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"450","arxiv:2103.06011","DSEC: A Stereo Event Camera Dataset for Driving Scenarios","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"463","arxiv:2105.05217","Representation Learning via Global Temporal Alignment and Cycle-Consistency","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"476","arxiv:2106.14405","Habitat 2.0: Training Home Assistants to Rearrange their Habitat","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"489","arxiv:2108.00625","Adaptive t-Momentum-based Optimization for Unknown Ratio of Outliers in Amateur Data in Imitation Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"502","arxiv:2109.08273","ThriftyDAgger: Budget-Aware Novelty and Risk Gating for Interactive Imitation Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"515","arxiv:2110.04633","Credit Assignment Safety Learning from Human Demonstrations","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"528","arxiv:2110.15142","Learning Feasibility to Imitate Demonstrators with Different Dynamics","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"541","arxiv:2201.03834","STIR²: Reward Relabelling for combined Reinforcement and Imitation Learning on sparse-reward tasks","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"554","arxiv:2202.04634","Offline Reinforcement Learning with Realizability and Single-policy Concentrability","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"567","arxiv:2204.01691","Do As I Can, Not As I Say: Grounding Language in Robotic Affordances","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"580","arxiv:2205.09550","Data Valuation for Offline Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"593","arxiv:2206.15469","Watch and Match: Supercharging Imitation with Regularized Optimal Transport","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"606","arxiv:2209.08959","Latent Plans for Task-Agnostic Offline Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"619","arxiv:2210.03370","GNM: A General Navigation Model to Drive Any Robot","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"632","arxiv:2210.15050","TILDE-Q: A Transformation Invariant Loss Function for Time-Series Forecasting","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"645","arxiv:2211.13726","Lightweight Event-based Optical Flow Estimation via Iterative Deblurring","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"658","arxiv:2301.03330","HyRSM++: Hybrid Relation Guided Temporal Set Matching for Few-shot Action Recognition","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"671","arxiv:2301.13442","Scaling laws for single-agent reinforcement learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"684","arxiv:2302.08890","Deep Learning for Event-based Vision: A Comprehensive Survey and Benchmarks","DROP","0","Survey/review; no independent operative intervention retained."
"697","arxiv:2303.08789","PLEX: Making the Most of the Available Data for Robotic Manipulation Pretraining","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"710","arxiv:2304.05171","Curriculum-Based Imitation of Versatile Skills","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"723","arxiv:2305.02605","Toward Evaluating Robustness of Reinforcement Learning with Adversarial Policy","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"736","arxiv:2306.03310","LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"749","arxiv:2307.00595","RH20T: A Comprehensive Robotic Dataset for Learning Diverse Skills in One-Shot","DROP","0","Survey/review; no independent operative intervention retained."
"762","arxiv:2307.15042","TEDi: Temporally-Entangled Diffusion for Long-Term Motion Synthesis","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"775","arxiv:2309.08638","Anchor Points: Benchmarking Models with Much Fewer Examples","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"788","arxiv:2310.08864","Open X-Embodiment: Robotic Learning Datasets and RT-X Models","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"801","arxiv:2311.01329","A Simple Solution for Offline Imitation from Observations and Examples with Possibly Incomplete Trajectories","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"814","arxiv:2311.12996","RLIF: Interactive Imitation Learning as Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"827","arxiv:2401.08238","Phase-Independent Dynamic Movement Primitives With Applications to Human-Robot Co-manipulation and Time Optimal Planning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"840","arxiv:2402.02511","PoCo: Policy Composition from and for Heterogeneous Robot Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"853","arxiv:2402.10511","Can Transformers Predict Vibrations?","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"866","arxiv:2403.01823","RT-H: Action Hierarchies Using Language","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"879","arxiv:2403.17124","Grounding Language Plans in Demonstrations Through Counterfactual Perturbations","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"892","arxiv:2404.12281","RISE: 3D Perception Makes Real-World Robot Imitation Simple and Effective","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"905","arxiv:2405.05941","Evaluating Real-World Robot Manipulation Policies in Simulation","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"918","arxiv:2405.17516","Time Elastic Neural Networks","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"931","arxiv:2406.09246","OpenVLA: An Open-Source Vision-Language-Action Model","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"944","arxiv:2407.02666","Commonsense Reasoning for Legged Robot Adaptation with Vision-Language Models","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"957","arxiv:2407.16636","Velocity Driven Vision: Asynchronous Sensor Fusion Birds Eye View Models for Autonomous Vehicles","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"970","arxiv:2408.10468","Tracing Privacy Leakage of Language Models to Training Data via Adjusted Influence Functions","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"983","arxiv:2409.08195","Composing Option Sequences by Adaptation: Initial Results","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"996","arxiv:2409.19998","Do Influence Functions Work on Large Language Models?","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1009","arxiv:2410.13322","Arc-Length-Based Warping for Robot Skill Synthesis from Multiple Demonstrations","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1022","arxiv:2410.21845","Precise and Dexterous Robotic Manipulation via Human-in-the-Loop Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1035","arxiv:2411.04549","Vision Language Models are In-Context Value Learners","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1048","arxiv:2412.04158","LossVal: Efficient Data Valuation for Neural Networks","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1061","arxiv:2412.18234","Conditional Deep Canonical Time Warping","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1074","arxiv:2501.12942","Offline Diffusion Policy for Multi-User Delay-Constrained Scheduling","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1087","arxiv:2502.03814","Large Language Models for Multi-Robot Systems: A Survey","DROP","0","Survey/review; no independent operative intervention retained."
"1100","arxiv:2502.16634","OptionZero: Planning with Learned Options","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1113","arxiv:2503.02048","FRMD: Fast Robot Motion Diffusion with Consistency-Distilled Movement Primitives for Smooth Action Generation","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1126","arxiv:2503.11646","Adversarial Data Collection: Human-Collaborative Perturbations for Efficient and Robust Robotic Imitation Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1139","arxiv:2503.17674","MultiScale Contextual Bandits for Long Term Objectives","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1152","arxiv:2504.03515","Dexterous Manipulation through Imitation Learning: A Survey","DROP","0","Survey/review; no independent operative intervention retained."
"1165","arxiv:2504.19341","PolyTouch: A Robust Multi-Modal Tactile Sensor for Contact-rich Manipulation Using Tactile-Diffusion Policies","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1178","arxiv:2505.06357","DAPPER: Discriminability-Aware Policy-to-Policy Preference-Based Reinforcement Learning for Query-Efficient Robot Skill Acquisition","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1191","arxiv:2505.10760","Counterfactual Behavior Cloning: Offline Imitation Learning from Imperfect Human Demonstrations","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1204","arxiv:2505.18472","ManiFeel: Benchmarking and Understanding Visuotactile Manipulation Policy Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1217","arxiv:2505.22626","SCIZOR: A Self-Supervised Approach to Data Curation for Large-Scale Imitation Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1230","arxiv:2506.07339","Real-Time Execution of Action Chunking Flow Policies","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1243","arxiv:2506.13536","What Matters in Learning from Large-Scale Datasets for Robot Manipulation","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1256","arxiv:2506.18847","Offline Goal-Conditioned Reinforcement Learning with Projective Quasimetric Planning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1269","arxiv:2507.06219","Is Diversity All You Need for Scalable Robotic Manipulation?","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1282","arxiv:2507.11895","Newfluence: Boosting Model interpretability and Understanding in High Dimensions","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1295","arxiv:2508.02219","CO-RFT: Efficient Fine-Tuning of Vision-Language-Action Models through Chunked Offline Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1308","arxiv:2508.11286","Scene Graph-Guided Proactive Replanning for Failure-Resilient Embodied Agent","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1321","arxiv:2508.19958","Long-VLA: Unleashing Long-Horizon Capability of Vision Language Action Model for Robot Manipulation","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1334","arxiv:2509.15212","RynnVLA-001: Using Human Demonstrations to Improve Robot Manipulation","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1347","arxiv:2509.20612","Policy Compatible Skill Incremental Learning via Lazy Learning Interface","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1360","arxiv:2509.26294","Noise-Guided Transport for Imitation Learning","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1373","arxiv:2510.09096","When a Robot is More Capable than a Human: Learning from Constrained Demonstrators","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
"1386","arxiv:2510.17111","Efficient Vision-Language-Action Models for Embodied Manipulation: A Systematic Survey","DROP","0","Survey/review; no independent operative intervention retained."
"1399","arxiv:2510.24095","Learning Parameterized Skills from Demonstrations","NEEDS_DEEP_REVIEW","1","Abstract screened; body-level reconstruction required."
