paper_name,id,abstract,triage_label,lane,corpus_stage,mechanism,why_it_matters,follow_up,authors,year,source_ids,primary_id,paper_id,categories,queries,discovery_methods,designations,assignment_rank,assignment_score,search_score,primary_reader,metadata_verified,body_inspected,evidence_read,abstract_reviewed,inspection_status,triage_status,stages_seen,source_registry_paths,source_triage_paths,metadata_status,triage_count
Weakly Supervised Action Labeling in Videos Under Ordering Constraints,arxiv:1407.1208,"We are given a set of video clips, each one annotated with an ordered list of actions, such as ""walk"" then ""sit"" then ""answer phone"" extracted from, for example, the associated text script. We seek to temporally localize the individual actions in each clip as well as to learn a discriminative classifier for each action. We formulate the problem as a weakly supervised temporal assignment with ordering constraints. Each video clip is divided into small time intervals and each time interval of each video clip is assigned one action label, while respecting the order in which the action labels appear in the given annotations. We show that the action label assignment can be determined together with learning a classifier for each action in a discriminative manner. We evaluate the proposed model on a new and challenging dataset of 937 video clips with a total of 787720 frames containing sequences of 16 different actions from 69 Hollywood movies.",high,A1,expansion_round_1,"The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Weakly Supervised Action Labeling in Videos Under Ordering Constraints.","Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.",true,,,arxiv:1407.1208,arxiv:1407.1208,6705830489568045602,,,related-similar,,,,0.01905300886625165,A1,,,,,,triaged,expansion_round_1,A1/expansion-registry.json | A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/paper-registry-complete.json,A1/expansion-triage.jsonl,complete,1
Slow and steady feature analysis: higher order temporal coherence in video,arxiv:1506.04714,"How can unlabeled video augment visual learning? Existing methods perform ""slow"" feature analysis, encouraging the representations of temporally close frames to exhibit only small differences. While this standard approach captures the fact that high-level visual signals change slowly over time, it fails to capture *how* the visual content changes. We propose to generalize slow feature analysis to ""steady"" feature analysis. The key idea is to impose a prior that higher order derivatives in the learned feature space must be small. To this end, we train a convolutional neural network with a regularizer on tuples of sequential frames from unlabeled video. It encourages feature changes over time to be smooth, i.e., similar to the most recent changes. Using five diverse datasets, including unlabeled YouTube and KITTI videos, we demonstrate our method's impact on object, scene, and action recognition tasks. We further show that our features learned from unlabeled video can even surpass a standard heavily supervised pretraining approach.",high,A1,expansion_round_1,"The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Slow and steady feature analysis: higher order temporal coherence in video.","Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.",true,,,arxiv:1506.04714,arxiv:1506.04714,5007072032381628751,,,related-references,,,,0.02889344262295082,A1,,,,,,triaged,expansion_round_1,A1/expansion-inspection-manifest.json | A1/expansion-registry.json | A1/paper-registry-complete.json,A1/expansion-triage.jsonl,complete,1
Structural-RNN: Deep Learning on Spatio-Temporal Graphs,arxiv:1511.05298,"Deep Recurrent Neural Network architectures, though remarkably capable at modeling sequences, lack an intuitive high-level spatio-temporal structure. That is while many problems in computer vision inherently have an underlying high-level structure and can benefit from it. Spatio-temporal graphs are a popular tool for imposing such high-level intuitions in the formulation of real world problems. In this paper, we propose an approach for combining the power of high-level spatio-temporal graphs and sequence learning success of Recurrent Neural Networks (RNNs). We develop a scalable method for casting an arbitrary spatio-temporal graph as a rich RNN mixture that is feedforward, fully differentiable, and jointly trainable. The proposed method is generic and principled as it can be used for transforming any spatio-temporal graph through employing a certain set of well defined steps. The evaluations of the proposed approach on a diverse set of problems, ranging from modeling human motion to object interactions, shows improvement over the state-of-the-art with a large margin. We expect this method to empower new approaches to problem formulation through high-level spatio-temporal graphs and Recurrent Neural Networks.",high,A1,expansion_round_3,"The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Structural-RNN: Deep Learning on Spatio-Temporal Graphs.","Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.",true,,,arxiv:1511.05298,arxiv:1511.05298,334265939207406069,,,related-papers-round3,,,,0.027236652236652236,A1,,,,,,triaged,expansion_round_3,A1/expansion-round3-registry.json | A1/paper-registry-complete.json,A1/expansion-round3-triage.jsonl,complete,1
Shuffle and Learn: Unsupervised Learning using Temporal Order Verification,arxiv:1603.08561,"In this paper, we present an approach for learning a visual representation from the raw spatiotemporal signals in videos. Our representation is learned without supervision from semantic labels. We formulate our method as an unsupervised sequential verification task, i.e., we determine whether a sequence of frames from a video is in the correct temporal order. With this simple task and no semantic labels, we learn a powerful visual representation using a Convolutional Neural Network (CNN). The representation contains complementary information to that learned from supervised image datasets like ImageNet. Qualitative results show that our method captures information that is temporally varying, such as human pose. When used as pre-training for action recognition, our method gives significant gains over learning without external data on benchmark datasets like UCF101 and HMDB51. To demonstrate its sensitivity to human pose, we show results for pose estimation on the FLIC and MPII datasets that are competitive, or better than approaches using significantly more supervision. Our method can be combined with supervised representations to provide an additional boost in accuracy.",high,A1,expansion_round_1,"The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Shuffle and Learn: Unsupervised Learning using Temporal Order Verification.","Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.",true,,,arxiv:1603.08561,arxiv:1603.08561,1371898707737452311,,,related-references,,,,0.02439349506798187,A1,,,,,,triaged,expansion_round_1,A1/expansion-registry.json | A1/paper-registry-complete.json,A1/expansion-triage.jsonl,complete,1
Connectionist Temporal Modeling for Weakly Supervised Action Labeling,arxiv:1607.08584,"We propose a weakly-supervised framework for action labeling in video, where only the order of occurring actions is required during training time. The key challenge is that the per-frame alignments between the input (video) and label (action) sequences are unknown during training. We address this by introducing the Extended Connectionist Temporal Classification (ECTC) framework to efficiently evaluate all possible alignments via dynamic programming and explicitly enforce their consistency with frame-to-frame visual similarities. This protects the model from distractions of visually inconsistent or degenerated alignments without the need of temporal supervision. We further extend our framework to the semi-supervised case when a few frames are sparsely annotated in a video. With less than 1% of labeled frames per video, our method is able to outperform existing semi-supervised approaches and achieve comparable performance to that of fully supervised approaches.",high,A1,expansion_round_1,"The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Connectionist Temporal Modeling for Weakly Supervised Action Labeling.","Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.",true,,,arxiv:1607.08584,arxiv:1607.08584,2646448794625358026,,,related-references,,,,0.027252906976744186,A1,,,,,,triaged,expansion_round_1,A1/expansion-registry.json | A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/paper-registry-complete.json,A1/expansion-triage.jsonl,complete,1
An End-to-End Spatio-Temporal Attention Model for Human Action Recognition from Skeleton Data,arxiv:1611.06067,"Human action recognition is an important task in computer vision. Extracting discriminative spatial and temporal features to model the spatial and temporal evolutions of different actions plays a key role in accomplishing this task. In this work, we propose an end-to-end spatial and temporal attention model for human action recognition from skeleton data. We build our model on top of the Recurrent Neural Networks (RNNs) with Long Short-Term Memory (LSTM), which learns to selectively focus on discriminative joints of skeleton within each frame of the inputs and pays different levels of attention to the outputs of different frames. Furthermore, to ensure effective training of the network, we propose a regularized cross-entropy loss to drive the model learning process and develop a joint training strategy accordingly. Experimental results demonstrate the effectiveness of the proposed model,both on the small human action recognition data set of SBU and the currently largest NTU dataset.",high,A1,expansion_round_2,"The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for An End-to-End Spatio-Temporal Attention Model for Human Action Recognition from Skeleton Data.","Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.",true,,,arxiv:1611.06067,arxiv:1611.06067,6765433271082828047,,,related-papers-round2 | related-papers-round3,,,,0.026984126984126985,A1,,,,,,triaged,expansion_round_2,A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/paper-registry-complete.json,A1/expansion-round2-triage.jsonl,complete,1
Sequence-based Multimodal Apprenticeship Learning For Robot Perception and Decision Making,arxiv:1702.07475,"Apprenticeship learning has recently attracted a wide attention due to its capability of allowing robots to learn physical tasks directly from demonstrations provided by human experts. Most previous techniques assumed that the state space is known a priori or employed simple state representations that usually suffer from perceptual aliasing. Different from previous research, we propose a novel approach named Sequence-based Multimodal Apprenticeship Learning (SMAL), which is capable to simultaneously fusing temporal information and multimodal data, and to integrate robot perception with decision making. To evaluate the SMAL approach, experiments are performed using both simulations and real-world robots in the challenging search and rescue scenarios. The empirical study has validated that our SMAL approach can effectively learn plans for robots to make decisions using sequence of multimodal observations. Experimental results have also showed that SMAL outperforms the baseline methods using individual images.",high,A1,primary_assignment,SMAL fuses temporal sequences from multiple observation modalities so perception and decision making share history rather than isolated frames.,It directly supports learning action-observation relationships from multimodal robot demonstrations.,true,,,arxiv:1702.07475,arxiv:1702.07475,3902560895416866046,,q01-direct,search-papers,,2,,0.8859476187202091,A1,,,,true,,triaged,primary_assignment,A1/assigned-papers.json | A1/inspection-manifest.json | A1/paper-registry-complete.json | A1/paper-registry.json | A1/raw/q01-direct.json,A1/assigned-abstracts.jsonl | A1/triage.jsonl,complete,2
Soft-DTW: a Differentiable Loss Function for Time-Series,arxiv:1703.01541,"We propose in this paper a differentiable learning loss between time series, building upon the celebrated dynamic time warping (DTW) discrepancy. Unlike the Euclidean distance, DTW can compare time series of variable size and is robust to shifts or dilatations across the time dimension. To compute DTW, one typically solves a minimal-cost alignment problem between two time series using dynamic programming. Our work takes advantage of a smoothed formulation of DTW, called soft-DTW, that computes the soft-minimum of all alignment costs. We show in this paper that soft-DTW is a differentiable loss function, and that both its value and gradient can be computed with quadratic time/space complexity (DTW has quadratic time but linear space complexity). We show that this regularization is particularly well suited to average and cluster time series under the DTW geometry, a task for which our proposal significantly outperforms existing baselines. Next, we propose to tune the parameters of a machine that outputs time series by minimizing its fit with ground-truth labels in a soft-DTW sense.",high,A1,primary_assignment,"Soft-DTW smooths the dynamic-programming alignment minimum so variable-length, shifted sequences can be compared and differentiated through.","It provides a trainable alignment loss for demonstrations, trajectory averaging, and correspondence-aware policy objectives.",true,,,arxiv:1703.01541,arxiv:1703.01541,4637244146515130731,,q03-dtw | q10-foundational-ctw,search-papers,foundational,1,,0.8212735763411496,A1,,,,true,,triaged,primary_assignment,A1/assigned-papers.json | A1/evidence-read-manifest.json | A1/expansion-registry.json | A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/inspection-manifest.json | A1/paper-registry-complete.json | A1/paper-registry.json | A1/raw/q03-dtw.json | A1/raw/q10-foundational-ctw.json,A1/assigned-abstracts.jsonl | A1/triage.jsonl,complete,2
Third-Person Imitation Learning,arxiv:1703.01703,"Reinforcement learning (RL) makes it possible to train agents capable of achieving sophisticated goals in complex and uncertain environments. A key difficulty in reinforcement learning is specifying a reward function for the agent to optimize. Traditionally, imitation learning in RL has been used to overcome this problem. Unfortunately, hitherto imitation learning methods tend to require that demonstrations are supplied in the first-person: the agent is provided with a sequence of states and a specification of the actions that it should have taken. While powerful, this kind of imitation learning is limited by the relatively hard problem of collecting first-person demonstrations. Humans address this problem by learning from third-person demonstrations: they observe other humans perform tasks, infer the task, and accomplish the same task themselves. In this paper, we present a method for unsupervised third-person imitation learning. Here third-person refers to training an agent to correctly achieve a simple goal in a simple environment when it is provided a demonstration of a teacher achieving the same goal but from a different viewpoint; and unsupervised refers to the fact that the agent receives only these third-person demonstrations, and is not provided a correspondence between teacher states and student states. Our methods primary insight is that recent advances from domain confusion can be utilized to yield domain agnostic features which are crucial during the training process. To validate our approach, we report successful experiments on learning from third-person demonstrations in a pointmass domain, a reacher domain, and inverted pendulum.",high,A1,expansion_round_3,"The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Third-Person Imitation Learning.","Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.",true,,,arxiv:1703.01703,arxiv:1703.01703,5920009178440738079,,,related-papers-round3,,,,0.026132699813337858,A1,,,,,,triaged,expansion_round_3,A1/expansion-round3-registry.json | A1/paper-registry-complete.json,A1/expansion-round3-triage.jsonl,complete,1
Combining Model-Based and Model-Free Updates for Trajectory-Centric Reinforcement Learning,arxiv:1703.03078,"Reinforcement learning (RL) algorithms for real-world robotic applications need a data-efficient learning process and the ability to handle complex, unknown dynamical systems. These requirements are handled well by model-based and model-free RL approaches, respectively. In this work, we aim to combine the advantages of these two types of methods in a principled manner. By focusing on time-varying linear-Gaussian policies, we enable a model-based algorithm based on the linear quadratic regulator (LQR) that can be integrated into the model-free framework of path integral policy improvement (PI2). We can further combine our method with guided policy search (GPS) to train arbitrary parameterized policies such as deep neural networks. Our simulation and real-world experiments demonstrate that this method can solve challenging manipulation tasks with comparable or better performance than model-free methods while maintaining the sample efficiency of model-based methods. A video presenting our results is available at https://sites.google.com/site/icml17pilqr",high,A1,expansion_round_3,"The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Combining Model-Based and Model-Free Updates for Trajectory-Centric Reinforcement Learning.","Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.",true,,,arxiv:1703.03078,arxiv:1703.03078,5861435920342944382,,,related-papers-round3,,,,0.02758751902587519,A1,,,,,,triaged,expansion_round_3,A1/expansion-round3-registry.json | A1/paper-registry-complete.json,A1/expansion-round3-triage.jsonl,complete,1
