pass2_index,paper_id,assigned_agent,first_pass_classification,source_lane,paper_name,id,abstract,triage_label,lanes,lane_count,triage_labels_by_lane,mechanisms_by_lane,why_it_matters_by_lane,follow_up_by_lane,corpus_stages,authors,year,source_ids,primary_id,source_paper_id,categories,queries,discovery_methods,designations,primary_readers,metadata_verified_any,body_inspected_any,evidence_read_any,triage_disagreement,source_registry_paths,source_triage_paths
11,arxiv:1202.5933,12,MEDIUM,A4,Prototype selection for interpretable classification,arxiv:1202.5933,"Prototype methods seek a minimal subset of samples that can serve as a distillation or condensed view of a data set. As the size of modern data sets grows, being able to present a domain specialist with a short list of ""representative"" samples chosen from the data set is of increasing interpretative value. While much recent statistical research has been focused on producing sparse-in-the-variables methods, this paper aims at achieving sparsity in the samples. We discuss a method for selecting prototypes in the classification setting (in which the samples fall into known discrete categories). Our method of focus is derived from three basic properties that we believe a good prototype set should satisfy. This intuition is translated into a set cover optimization problem, which we solve approximately using standard approaches. While prototype selection is usually viewed as purely a means toward building an efficient classifier, in this paper we emphasize the inherent value of having a set of prototypical elements. That said, by using the nearest-neighbor rule on the set of prototypes, we can of course discuss our method as a classifier as well.",medium,A4,1,A4=medium,A4=Provides adjacent evidence about how data composition affects learning outcomes.,A4=It extends the A4 mechanism space with adjacent data-centric evidence.,A4=false,expansion_round_1,,,arxiv:1202.5933 | paper:4567492476697886378,,,,,,,A4,false,false,false,false,A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl,A4/expansion/all-new-expansion-triage.jsonl
24,arxiv:1310.1531,12,MEDIUM,A4,DeCAF: A Deep Convolutional Activation Feature for Generic Visual Recognition,arxiv:1310.1531,"We evaluate whether features extracted from the activation of a deep convolutional network trained in a fully supervised fashion on a large, fixed set of object recognition tasks can be re-purposed to novel generic tasks. Our generic tasks may differ significantly from the originally trained tasks and there may be insufficient labeled or unlabeled data to conventionally train or adapt a deep architecture to the new tasks. We investigate and visualize the semantic clustering of deep convolutional features with respect to a variety of such tasks, including scene recognition, domain adaptation, and fine-grained recognition challenges. We compare the efficacy of relying on various network levels to define a fixed feature, and report novel results that significantly outperform the state-of-the-art on several important vision challenges. We are releasing DeCAF, an open-source implementation of these deep convolutional activation features, along with all associated network parameters to enable vision researchers to be able to conduct experimentation with deep representations across a range of visual concept learning paradigms.",medium,A4,1,A4=medium,A4=Provides adjacent evidence about how data composition affects learning outcomes.,A4=It extends the A4 mechanism space with adjacent data-centric evidence.,A4=false,expansion_round_1,,,arxiv:1310.1531 | paper:8303588572887436332,,,,,,,A4,false,false,false,false,A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl,A4/expansion/all-new-expansion-triage.jsonl
37,arxiv:1409.0575,12,MEDIUM,A4 | A5,ImageNet Large Scale Visual Recognition Challenge,arxiv:1409.0575,"The ImageNet Large Scale Visual Recognition Challenge is a benchmark in object category classification and detection on hundreds of object categories and millions of images. The challenge has been run annually from 2010 to present, attracting participation from more than fifty institutions. This paper describes the creation of this benchmark dataset and the advances in object recognition that have been possible as a result. We discuss the challenges of collecting large-scale ground truth annotation, highlight key breakthroughs in categorical object recognition, provide a detailed analysis of the current state of the field of large-scale image classification and object detection, and compare the state-of-the-art computer vision accuracy with human accuracy. We conclude with lessons learned in the five years of the challenge, and propose future directions and improvements.",medium,A4 | A5,2,A4=medium | A5=low,A4=Provides adjacent evidence about how data composition affects learning outcomes. | A5=The ImageNet Large Scale Visual Recognition Challenge is a benchmark in object category classification and detection on hundreds of object categories and millions of images.,A4=It extends the A4 mechanism space with adjacent data-centric evidence. | A5=The expansion tests whether this adjacent transfer mechanism adds a reusable way to control which robot experience influences policy training.,A4=false | A5=false,expansion_round_1,,,arxiv:1409.0575 | paper:4757179884825913228,arxiv:1409.0575,4757179884825913228,,,,,A4 | A5,false,false,false,true,A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl | A5/expansion/raw/round1-similar.json,A4/expansion/all-new-expansion-triage.jsonl | A5/expansion/round1-triage.jsonl
50,arxiv:1505.04597,12,MEDIUM,A1 | A4 | A5,U-Net: Convolutional Networks for Biomedical Image Segmentation,arxiv:1505.04597,"There is large consent that successful training of deep networks requires many thousand annotated training samples. In this paper, we present a network and training strategy that relies on the strong use of data augmentation to use the available annotated samples more efficiently. The architecture consists of a contracting path to capture context and a symmetric expanding path that enables precise localization. We show that such a network can be trained end-to-end from very few images and outperforms the prior best method (a sliding-window convolutional network) on the ISBI challenge for segmentation of neuronal structures in electron microscopic stacks. Using the same network trained on transmitted light microscopy images (phase contrast and DIC) we won the ISBI cell tracking challenge 2015 in these categories by a large margin. Moreover, the network is fast. Segmentation of a 512x512 image takes less than a second on a recent GPU. The full implementation (based on Caffe) and the trained networks are available at http://lmb.informatik.uni-freiburg.de/people/ronneber/u-net .",medium,A1 | A4 | A5,3,A1=medium | A4=medium | A5=low,"A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for U-Net: Convolutional Networks for Biomedical Image Segmentation. | A4=Provides adjacent evidence about how data composition affects learning outcomes. | A5=There is large consent that successful training of deep networks requires many thousand annotated training samples.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification. | A4=It extends the A4 mechanism space with adjacent data-centric evidence. | A5=The expansion tests whether this adjacent transfer mechanism adds a reusable way to control which robot experience influences policy training.",A1=true | A4=true | A5=false,expansion_round_1 | expansion_round_2,,,arxiv:1505.04597 | paper:3957400818316520597,arxiv:1505.04597,3957400818316520597,,,related-papers-round2 | related-papers-round3,,A1,false,false,false,true,A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/paper-registry-complete.json | A4/expansion/round3/registry.jsonl | A5/expansion/raw/round1-similar.json | A5/expansion/raw/round3-similar.json | A7/work/expansion-registry.json | A7/work/expansion-registry.jsonl,A1/expansion-round2-triage.jsonl | A4/expansion/all-new-expansion-triage.jsonl | A5/expansion/round1-triage.jsonl
63,arxiv:1511.02283,12,MEDIUM,A4,Generation and Comprehension of Unambiguous Object Descriptions,arxiv:1511.02283,"We propose a method that can generate an unambiguous description (known as a referring expression) of a specific object or region in an image, and which can also comprehend or interpret such an expression to infer which object is being described. We show that our method outperforms previous methods that generate descriptions of objects without taking into account other potentially ambiguous objects in the scene. Our model is inspired by recent successes of deep learning methods for image captioning, but while image captioning is difficult to evaluate, our task allows for easy objective evaluation. We also present a new large-scale dataset for referring expressions, based on MS-COCO. We have released the dataset and a toolbox for visualization and evaluation, see https://github.com/mjhucla/GoogleRefexptoolbox",medium,A4,1,A4=medium,A4=Uses a valuation or attribution signal to estimate the contribution of training examples to model or policy outcomes.,A4=It extends the A4 mechanism space with adjacent data-centric evidence.,A4=false,expansion_round_1,,,arxiv:1511.02283 | paper:2556624245346738042,,,,,,,A4,false,false,false,false,A4/expansion/round4/registry.jsonl,A4/expansion/all-new-expansion-triage.jsonl
76,arxiv:1602.03351,12,HIGH,A2,"Adaptive Skills, Adaptive Partitions (ASAP)",arxiv:1602.03351,"We introduce the Adaptive Skills, Adaptive Partitions (ASAP) framework that (1) learns skills (i.e., temporally extended actions or options) as well as (2) where to apply them. We believe that both (1) and (2) are necessary for a truly general skill learning framework, which is a key building block needed to scale up to lifelong learning agents. The ASAP framework can also solve related new tasks simply by adapting where it applies its existing learned skills. We prove that ASAP converges to a local optimum under natural conditions. Finally, our experimental results, which include a RoboCup domain, demonstrate the ability of ASAP to learn where to reuse skills as well as solve multiple tasks with considerably less experience than solving each task from scratch.",high,A2,1,A2=high,A2=Discovers reusable temporal structure in sequential experience for downstream decision making or policy learning.,"A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.",A2=true,expansion_round_1,,2016,arxiv:1602.03351,,,,,,,A2,false,false,false,false,A2/expansion-pool.json | A2/expansion-pool.jsonl,A2/expansion-triage.jsonl
89,arxiv:1604.04038,12,MEDIUM,A4 | A5,More than a Million Ways to Be Pushed: A High-Fidelity Experimental Dataset of Planar Pushing,arxiv:1604.04038,"Pushing is a motion primitive useful to handle objects that are too large, too heavy, or too cluttered to be grasped. It is at the core of much of robotic manipulation, in particular when physical interaction is involved. It seems reasonable then to wish for robots to understand how pushed objects move. In reality, however, robots often rely on approximations which yield models that are computable, but also restricted and inaccurate. Just how close are those models? How reasonable are the assumptions they are based on? To help answer these questions, and to get a better experimental understanding of pushing, we present a comprehensive and high-fidelity dataset of planar pushing experiments. The dataset contains timestamped poses of a circular pusher and a pushed object, as well as forces at the interaction.We vary the push interaction in 6 dimensions: surface material, shape of the pushed object, contact position, pushing direction, pushing speed, and pushing acceleration. An industrial robot automates the data capturing along precisely controlled position-velocity-acceleration trajectories of the pusher, which give dense samples of positions and forces of uniform quality. We finish the paper by characterizing the variability of friction, and evaluating the most common assumptions and simplifications made by models of frictional pushing in robotics.",medium,A4 | A5,2,A4=medium | A5=medium,"A4=Connects trajectory or demonstration choice to downstream policy learning, behavior, or offline-RL utility. | A5=Pushing is a motion primitive useful to handle objects that are too large, too heavy, or too cluttered to be grasped.",A4=It is directly or plausibly transferable to selecting robot experience for policy learning. | A5=This adjacent transfer neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training.,A4=true | A5=true,expansion_round_1 | expansion_round_3,,,arxiv:1604.04038 | paper:6542556719141020255,arxiv:1604.04038,6542556719141020255,,,,,A4 | A5,false,false,false,false,A4/expansion/round3/registry.jsonl | A4/expansion/round4/registry.jsonl | A5/expansion/raw/round3-references.json,A4/expansion/all-new-expansion-triage.jsonl | A5/expansion/round3-triage.jsonl
102,arxiv:1606.04695,12,HIGH,A2,Strategic Attentive Writer for Learning Macro-Actions,arxiv:1606.04695,"We present a novel deep recurrent neural network architecture that learns to build implicit plans in an end-to-end manner by purely interacting with an environment in reinforcement learning setting. The network builds an internal plan, which is continuously updated upon observation of the next input from the environment. It can also partition this internal representation into contiguous sub- sequences by learning for how long the plan can be committed to - i.e. followed without re-planing. Combining these properties, the proposed model, dubbed STRategic Attentive Writer (STRAW) can learn high-level, temporally abstracted macro- actions of varying lengths that are solely learnt from data without any prior information. These macro-actions enable both structured exploration and economic computation. We experimentally demonstrate that STRAW delivers strong improvements on several ATARI games by employing temporally extended planning strategies (e.g. Ms. Pacman and Frostbite). It is at the same time a general algorithm that can be applied on any sequence data. To that end, we also show that when trained on text prediction task, STRAW naturally predicts frequent n-grams (instead of macro-actions), demonstrating the generality of the approach.",high,A2,1,A2=high,"A2=Uses temporally extended actions, keyposes, or learned macro-actions to expose multi-step structure while retaining feedback or planning control.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.",A2=true,expansion_round_1,,2016,arxiv:1606.04695,,,,,,,A2,false,false,false,false,A2/expansion-pool.json | A2/expansion-pool.jsonl,A2/expansion-triage.jsonl
115,arxiv:1610.02080,12,MEDIUM,A4,On Shapley value for measuring importance of dependent inputs,arxiv:1610.02080,This paper makes the case for using Shapley value to quantify the importance of random input variables to a function. Alternatives based on the ANOVA decomposition can run into conceptual and computational problems when the input variables are dependent. Our main goal here is to show that Shapley value removes the conceptual problems. We do this with some simple examples where Shapley value leads to intuitively reasonable nearly closed form values.,medium,A4,1,A4=medium,A4=Uses a valuation or attribution signal to estimate the contribution of training examples to model or policy outcomes.,A4=It extends the A4 mechanism space with adjacent data-centric evidence.,A4=false,expansion_round_1,,,arxiv:1610.02080 | paper:6144696023746838919,,,,,,,A4,false,false,false,false,A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl,A4/expansion/all-new-expansion-triage.jsonl
128,arxiv:1701.06049,12,HIGH,A6,Interactive Learning from Policy-Dependent Human Feedback,arxiv:1701.06049,"This paper investigates the problem of interactively learning behaviors communicated by a human teacher using positive and negative feedback. Much previous work on this problem has made the assumption that people provide feedback for decisions that is dependent on the behavior they are teaching and is independent from the learner's current policy. We present empirical results that show this assumption to be false -- whether human trainers give a positive or negative feedback for a decision is influenced by the learner's current policy. Based on this insight, we introduce Convergent Actor-Critic by Humans (COACH), an algorithm for learning from policy-dependent feedback that converges to a local optimum. Finally, we demonstrate that COACH can successfully learn multiple behaviors on a physical robot.",high,A6,1,A6=high,"A6=Provides a policy, data, or control mechanism with a plausible path to learning from robot experience.",A6=Offers a reusable mechanism for converting sequential experience into better policy or data decisions.,A6=true,expansion_round_1,,,arxiv:1701.06049,arxiv:1701.06049,7745149147614536801,,,related-papers,,A6,false,false,false,false,A6/expansion/canonical-pool.jsonl,A6/expansion/triage.jsonl
