pass2_index,paper_id,assigned_agent,first_pass_classification,source_lane,paper_name,id,abstract,triage_label,lanes,lane_count,triage_labels_by_lane,mechanisms_by_lane,why_it_matters_by_lane,follow_up_by_lane,corpus_stages,authors,year,source_ids,primary_id,source_paper_id,categories,queries,discovery_methods,designations,primary_readers,metadata_verified_any,body_inspected_any,evidence_read_any,triage_disagreement,source_registry_paths,source_triage_paths
12,arxiv:1205.0314,13,MEDIUM,A4,Analysis of Boolean Functions,arxiv:1205.0314,"Scribe notes from the 2012 Barbados Workshop on Computational Complexity. A series of lectures on Analysis of Boolean Functions by Ryan O'Donnell, with a guest lecture by Per Austrin.",medium,A4,1,A4=medium,A4=Connects trajectory or dataset composition to downstream policy or model behavior.,A4=It provides adjacent evidence for data-efficient training intelligence.,A4=false,expansion_round_1,,,arxiv:1205.0314 | paper:926730729279059157,,,,,related-paper-expansion,,A4,false,false,false,false,A4/expansion/expansion-registry.jsonl,A4/expansion/expansion-triage.jsonl
25,arxiv:1310.1863,13,MEDIUM,A8,Empowerment -- an Introduction,arxiv:1310.1863,"This book chapter is an introduction to and an overview of the information-theoretic, task independent utility function ""Empowerment"", which is defined as the channel capacity between an agent's actions and an agent's sensors. It quantifies how much influence and control an agent has over the world it can perceive. This book chapter discusses the general idea behind empowerment as an intrinsic motivation and showcases several previous applications of empowerment to demonstrate how empowerment can be applied to different sensor-motor configuration, and how the same formalism can lead to different observed behaviors. Furthermore, we also present a fast approximation for empowerment in the continuous domain.",medium,A8,1,A8=medium,"A8=Empowerment measures the channel capacity between actions and future states, rewarding states with many controllable outcomes.",A8=It offers a controllability-based usefulness criterion for selecting exploratory states beyond raw novelty.,A8=true,expansion_round_2,,,arxiv:1310.1863 | paperid:1406131129099690596,,,,,,,A8,false,false,false,false,A8/work/expansion-round2-novel.jsonl,A8/work/expansion-round2-triage.jsonl
38,arxiv:1409.3136,13,MEDIUM,A1,Metric Learning for Temporal Sequence Alignment,arxiv:1409.3136,"In this paper, we propose to learn a Mahalanobis distance to perform alignment of multivariate time series. The learning examples for this task are time series for which the true alignment is known. We cast the alignment problem as a structured prediction task, and propose realistic losses between alignments for which the optimization is tractable. We provide experiments on real data in the audio to audio context, where we show that the learning of a similarity measure leads to improvements in the performance of the alignment task. We also propose to use this metric learning framework to perform feature selection and, from basic audio features, build a combination of these with better performance for the alignment.",medium,A1,1,A1=medium,"A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Metric Learning for Temporal Sequence Alignment.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification.",A1=true,expansion_round_1,,,arxiv:1409.3136,arxiv:1409.3136,8931591126095243338,,,related-references | related-similar,,A1,false,false,false,false,A1/expansion-registry.json | A1/paper-registry-complete.json,A1/expansion-triage.jsonl
51,arxiv:1505.06897,13,MEDIUM,A1,Times series averaging from a probabilistic interpretation of time-elastic kernel,arxiv:1505.06897,"At the light of regularized dynamic time warping kernels, this paper reconsider the concept of time elastic centroid (TEC) for a set of time series. From this perspective, we show first how TEC can easily be addressed as a preimage problem. Unfortunately this preimage problem is ill-posed, may suffer from over-fitting especially for long time series and getting a sub-optimal solution involves heavy computational costs. We then derive two new algorithms based on a probabilistic interpretation of kernel alignment matrices that expresses in terms of probabilistic distributions over sets of alignment paths. The first algorithm is an iterative agglomerative heuristics inspired from the state of the art DTW barycenter averaging (DBA) algorithm proposed specifically for the Dynamic Time Warping measure. The second proposed algorithm achieves a classical averaging of the aligned samples but also implements an averaging of the time of occurrences of the aligned samples. It exploits a straightforward progressive agglomerative heuristics. An experimentation that compares for 45 time series datasets classification error rates obtained by first near neighbors classifiers exploiting a single medoid or centroid estimate to represent each categories show that: i) centroids based approaches significantly outperform medoids based approaches, ii) on the considered experience, the two proposed algorithms outperform the state of the art DBA algorithm, and iii) the second proposed algorithm that implements an averaging jointly in the sample space and along the time axes emerges as the most significantly robust time elastic averaging heuristic with an interesting noise reduction capability. Index Terms-Time series averaging Time elastic kernel Dynamic Time Warping Time series clustering and classification.",medium,A1,1,A1=medium,"A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Times series averaging from a probabilistic interpretation of time-elastic kernel.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification.",A1=true,expansion_round_1,,,arxiv:1505.06897,arxiv:1505.06897,9208271363426585356,,,related-citers,,A1,false,false,false,false,A1/expansion-registry.json | A1/paper-registry-complete.json,A1/expansion-triage.jsonl
64,arxiv:1511.03722,13,HIGH,A4 | A5,Doubly Robust Off-policy Value Evaluation for Reinforcement Learning,arxiv:1511.03722,"We study the problem of off-policy value evaluation in reinforcement learning (RL), where one aims to estimate the value of a new policy based on data collected by a different policy. This problem is often a critical step when applying RL in real-world problems. Despite its importance, existing general methods either have uncontrolled bias or suffer high variance. In this work, we extend the doubly robust estimator for bandits to sequential decision-making problems, which gets the best of both worlds: it is guaranteed to be unbiased and can have a much lower variance than the popular importance sampling estimators. We demonstrate the estimator's accuracy in several benchmark problems, and illustrate its use as a subroutine in safe policy improvement. We also provide theoretical results on the hardness of the problem, and show that our estimator can match the lower bound in certain scenarios.",high,A4 | A5,2,A4=high | A5=low,"A4=Uses data valuation or attribution to estimate example contribution to model or policy outcomes. | A5=In this work, we extend the doubly robust estimator for bandits to sequential decision-making problems, which gets the best of both worlds: it is guaranteed to be unbiased and can have a much lower variance than the popular importance sampling estimators.",A4=It directly informs curation of robot experience or a transferable policy-data loop. | A5=This weighting neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training.,A4=true | A5=false,expansion_round_1 | expansion_round_2,,,arxiv:1511.03722 | paper:8598110748134631857,arxiv:1511.03722,8598110748134631857,,,related-paper-expansion,,A4 | A5,false,false,false,true,A4/expansion/expansion-registry.jsonl | A5/expansion/raw/round2-references.json | A5/expansion/raw/round3-references.json,A4/expansion/expansion-triage.jsonl | A5/expansion/round2-triage.jsonl
77,arxiv:1602.03943,13,MEDIUM,A4,Second-Order Stochastic Optimization for Machine Learning in Linear Time,arxiv:1602.03943,"First-order stochastic methods are the state-of-the-art in large-scale machine learning optimization owing to efficient per-iteration complexity. Second-order methods, while able to provide faster convergence, have been much less explored due to the high cost of computing the second-order information. In this paper we develop second-order stochastic methods for optimization problems in machine learning that match the per-iteration cost of gradient based methods, and in certain settings improve upon the overall running time over popular first-order methods. Furthermore, our algorithm has the desirable property of being implementable in time linear in the sparsity of the input data.",medium,A4,1,A4=medium,A4=Provides adjacent evidence about how data composition affects learning outcomes.,A4=It extends the A4 mechanism space with adjacent data-centric evidence.,A4=false,expansion_round_1,,,arxiv:1602.03943 | paper:8154768489113993415,,,,,,,A4,false,false,false,false,A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl,A4/expansion/all-new-expansion-triage.jsonl
90,arxiv:1604.04574,13,MEDIUM,A1,Learning Temporal Regularity in Video Sequences,arxiv:1604.04574,"Perceiving meaningful activities in a long video sequence is a challenging problem due to ambiguous definition of 'meaningfulness' as well as clutters in the scene. We approach this problem by learning a generative model for regular motion patterns, termed as regularity, using multiple sources with very limited supervision. Specifically, we propose two methods that are built upon the autoencoders for their ability to work with little to no supervision. We first leverage the conventional handcrafted spatio-temporal local features and learn a fully connected autoencoder on them. Second, we build a fully convolutional feed-forward autoencoder to learn both the local features and the classifiers as an end-to-end learning framework. Our model can capture the regularities from multiple datasets. We evaluate our methods in both qualitative and quantitative ways - showing the learned regularity of videos in various aspects and demonstrating competitive performance on anomaly detection datasets as an application.",medium,A1,1,A1=medium,"A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Learning Temporal Regularity in Video Sequences.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification.",A1=true,expansion_round_2,,,arxiv:1604.04574,arxiv:1604.04574,4698762580538002424,,,related-papers-round2,,A1,false,false,false,false,A1/expansion-round2-registry.json | A1/paper-registry-complete.json,A1/expansion-round2-triage.jsonl
103,arxiv:1606.07419,13,HIGH,A1 | A6 | A8,Learning to Poke by Poking: Experiential Learning of Intuitive Physics,arxiv:1606.07419,"We investigate an experiential learning paradigm for acquiring an internal model of intuitive physics. Our model is evaluated on a real-world robotic manipulation task that requires displacing objects to target locations by poking. The robot gathered over 400 hours of experience by executing more than 100K pokes on different objects. We propose a novel approach based on deep neural networks for modeling the dynamics of robot's interactions directly from images, by jointly estimating forward and inverse models of dynamics. The inverse model objective provides supervision to construct informative visual features, which the forward model can then predict and in turn regularize the feature space for the inverse model. The interplay between these two objectives creates useful, accurate models that can then be used for multi-step decision making. This formulation has the additional benefit that it is possible to learn forward models in an abstract feature space and thus alleviate the need of predicting pixels. Our experiments show that this joint modeling approach outperforms alternative methods.",high,A1 | A6 | A8,3,A1=low | A6=medium | A8=high,"A1=The abstract does not expose a clear temporal mechanism connected to the lane. | A6=Transforms, segments, augments, retrieves, or composes trajectories so useful subsequences and corrective context become training signal. | A8=A robot actively selects poking interactions and learns predictive visual models of object motion from self-supervised outcomes.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training. | A6=Offers a reusable mechanism for converting sequential experience into better policy or data decisions. | A8=It is a direct example of choosing informative physical interactions to improve a dynamics representation.",A1=false | A6=false | A8=true,expansion_round_1 | expansion_round_3,,,arxiv:1606.07419 | paperid:3467293345148812071,arxiv:1606.07419,3467293345148812071,,,related-papers | related-papers-round3,,A1,false,false,false,true,A1/expansion-round3-registry.json | A1/paper-registry-complete.json | A6/expansion/canonical-pool.jsonl | A8/work/expansion-novel.jsonl | A8/work/expansion-pool.jsonl,A1/expansion-round3-triage.jsonl | A6/expansion/triage.jsonl | A8/work/expansion-triage.jsonl
116,arxiv:1610.03557,13,HIGH,A2,Learning Feedback Terms for Reactive Planning and Control,arxiv:1610.03557,"With the advancement of robotics, machine learning, and machine perception, increasingly more robots will enter human environments to assist with daily tasks. However, dynamically-changing human environments requires reactive motion plans. Reactivity can be accomplished through replanning, e.g. model-predictive control, or through a reactive feedback policy that modifies on-going behavior in response to sensory events. In this paper, we investigate how to use machine learning to add reactivity to a previously learned nominal skilled behavior. We approach this by learning a reactive modification term for movement plans represented by nonlinear differential equations. In particular, we use dynamic movement primitives (DMPs) to represent a skill and a neural network to learn a reactive policy from human demonstrations. We use the well explored domain of obstacle avoidance for robot manipulation as a test bed. Our approach demonstrates how a neural network can be combined with physical insights to ensure robust behavior across different obstacle settings and movement durations. Evaluations on an anthropomorphic robotic system demonstrate the effectiveness of our work.",high,A2,1,A2=high,"A2=Discovers, represents, or composes reusable skills, motion primitives, subgoals, or macro-actions from sequential experience.","A2=A reusable segment or skill representation can support retrieval, recombination, coverage, and transfer across tasks or embodiments.",A2=true,primary_assignment,"Akshara Rai, Giovanni Sutanto, Stefan Schaal, Franziska Meier",2016,arxiv:1610.03557,arxiv:1610.03557,5452782114455460477,cs.RO,dynamic movement primitives robot trajectories skill representation,search-papers,true,A2,false,false,false,false,A2/assigned-papers.json | A2/assigned-registry-inspected.json | A2/assigned-registry-inspected.jsonl | A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/raw/q33-dmp.json,A2/assigned-abstracts.jsonl | A2/triage.jsonl
129,arxiv:1701.06393,13,MEDIUM,A1,Nonsmooth Analysis and Subgradient Methods for Averaging in Dynamic Time Warping Spaces,arxiv:1701.06393,"Time series averaging in dynamic time warping (DTW) spaces has been successfully applied to improve pattern recognition systems. This article proposes and analyzes subgradient methods for the problem of finding a sample mean in DTW spaces. The class of subgradient methods generalizes existing sample mean algorithms such as DTW Barycenter Averaging (DBA). We show that DBA is a majorize-minimize algorithm that converges to necessary conditions of optimality after finitely many iterations. Empirical results show that for increasing sample sizes the proposed stochastic subgradient (SSG) algorithm is more stable and finds better solutions in shorter time than the DBA algorithm on average. Therefore, SSG is useful in online settings and for non-small sample sizes. The theoretical and empirical results open new paths for devising sample mean algorithms: nonsmooth optimization methods and modified variants of pairwise averaging methods.",medium,A1,1,A1=medium,"A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Nonsmooth Analysis and Subgradient Methods for Averaging in Dynamic Time Warping Spaces.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification.",A1=true,expansion_round_1,,,arxiv:1701.06393,arxiv:1701.06393,7108537412605594531,,,related-references | related-similar,,A1,false,false,false,false,A1/expansion-registry.json | A1/paper-registry-complete.json,A1/expansion-triage.jsonl
