pass2_index,paper_id,assigned_agent,first_pass_classification,source_lane,paper_name,id,abstract,triage_label,lanes,lane_count,triage_labels_by_lane,mechanisms_by_lane,why_it_matters_by_lane,follow_up_by_lane,corpus_stages,authors,year,source_ids,primary_id,source_paper_id,categories,queries,discovery_methods,designations,primary_readers,metadata_verified_any,body_inspected_any,evidence_read_any,triage_disagreement,source_registry_paths,source_triage_paths
4,arxiv:1011.0686,5,HIGH,A1 | A2 | A3 | A4 | A5 | A6 | A8,A Reduction of Imitation Learning and Structured Prediction to No-Regret Online Learning,arxiv:1011.0686,"Sequential prediction problems such as imitation learning, where future observations depend on previous predictions (actions), violate the common i.i.d. assumptions made in statistical learning. This leads to poor performance in theory and often in practice. Some recent approaches provide stronger guarantees in this setting, but remain somewhat unsatisfactory as they train either non-stationary or stochastic policies and require a large number of iterations. In this paper, we propose a new iterative algorithm, which trains a stationary deterministic policy, that can be seen as a no regret algorithm in an online learning setting. We show that any such no regret algorithm, combined with additional reduction assumptions, must find a policy with good performance under the distribution of observations it induces in such sequential settings. We demonstrate that this new approach outperforms previous approaches on two challenging imitation learning problems and a benchmark sequence labeling problem.",high,A1 | A2 | A3 | A4 | A5 | A6 | A8,7,A1=low | A2=medium | A3=high | A4=high | A5=medium | A6=medium | A8=high,"A1=The abstract does not expose a clear temporal mechanism connected to the lane. | A2=Discovers reusable temporal structure in sequential experience for downstream decision making or policy learning. | A3=The paper develops or evaluates A Reduction of Imitation Learning and Structured Prediction to No-Regret Online Learning, offering a mechanism related to robot data quality, correction, attribution, or policy improvement. | A4=Connects trajectory or dataset composition to downstream policy or model behavior. | A5=Sequential prediction problems such as imitation learning, where future observations depend on previous predictions (actions), violate the common i.i.d. | A6=Studies how non-ideal sequential experience or feedback can improve decision-making beyond success-only imitation. | A8=DAgger-style online aggregation queries expert labels on states visited by the learner and uses no-regret guarantees to control distribution shift.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training. | A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets. | A3=The mechanism is plausibly transferable to the Program A experience-to-policy loop and warrants follow-up. | A4=It directly informs curation of robot experience or a transferable policy-data loop. | A5=The expansion tests whether this curriculum mechanism adds a reusable way to control which robot experience influences policy training. | A6=Offers an adjacent conceptual transfer for representing and using imperfect robot experience. | A8=It is a foundational active data-collection baseline for deciding when fleet rollouts need corrective labels.",A1=false | A2=true | A3=true | A4=true | A5=true | A6=true | A8=true,expansion_round_1 | expansion_round_2 | primary_assignment,"Stephane Ross, Geoffrey J. Gordon, J. Andrew Bagnell",2010,arxiv:1011.0686 | paper:3771774981108717184 | paperid:3771774981108717184,arxiv:1011.0686,3771774981108717184,cs.AI | cs.LG | stat.ML,q34-found-original-dagger,firecrawl research related-papers | related-paper-expansion | related-papers | related-references,,A1 | A3 | A6,true,true,false,true,A1/expansion-registry.json | A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/paper-registry-complete.json | A2/expansion-pool.json | A2/expansion-pool.jsonl | A3/paper-registry.json | A3/round2-registry.json | A4/expansion/expansion-registry.jsonl | A4/expansion/round2/registry.jsonl | A4/expansion/round3/registry.jsonl | A4/expansion/round4/registry.jsonl | A4/expansion/round5/registry.jsonl | A5/expansion/raw/round1-references.json | A5/expansion/raw/round1-similar.json | A5/expansion/raw/round2-references.json | A5/expansion/raw/round2-similar.json | A5/expansion/raw/round3-references.json | A5/expansion/raw/round3-similar.json | A6/expansion/canonical-pool.jsonl | A6/raw-retrieval/q34-found-original-dagger.json | A6/registry-assignment.jsonl | A6/work/assigned-registry-inspected.jsonl | A6/work/assigned-registry-preinspect.jsonl | A6/work/canonical-pool.jsonl | A6/work/evidence-index.jsonl | A8/work/expansion-round2-novel.jsonl,A1/expansion-triage.jsonl | A2/expansion-triage.jsonl | A3/round2-triage.jsonl | A4/expansion/expansion-triage.jsonl | A5/expansion/round1-triage.jsonl | A6/triage.jsonl | A8/work/expansion-round2-triage.jsonl
17,arxiv:1207.6083,5,MEDIUM,A4 | A5,Determinantal point processes for machine learning,arxiv:1207.6083,"Determinantal point processes (DPPs) are elegant probabilistic models of repulsion that arise in quantum physics and random matrix theory. In contrast to traditional structured models like Markov random fields, which become intractable and hard to approximate in the presence of negative correlations, DPPs offer efficient and exact algorithms for sampling, marginalization, conditioning, and other inference tasks. We provide a gentle introduction to DPPs, focusing on the intuitions, algorithms, and extensions that are most relevant to the machine learning community, and show how DPPs can be applied to real-world applications like finding diverse sets of high-quality search results, building informative summaries by selecting diverse sentences from documents, modeling non-overlapping human poses in images or video, and automatically building timelines of important news stories.",medium,A4 | A5,2,A4=medium | A5=medium,"A4=Connects trajectory or dataset composition to downstream policy or model behavior. | A5=In contrast to traditional structured models like Markov random fields, which become intractable and hard to approximate in the presence of negative correlations, DPPs offer efficient and exact algorithms for sampling, marginalization, conditioning, and other inference tasks.",A4=It provides adjacent evidence for data-efficient training intelligence. | A5=This adaptive mixture neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training.,A4=false | A5=true,expansion_round_1 | expansion_round_2,,,arxiv:1207.6083 | paper:4987646516119217140,arxiv:1207.6083,4987646516119217140,,,related-paper-expansion,,A4 | A5,false,false,false,false,A4/expansion/expansion-registry.jsonl | A5/expansion/raw/round2-references.json | A5/expansion/raw/round2-similar.json,A4/expansion/expansion-triage.jsonl | A5/expansion/round2-triage.jsonl
30,arxiv:1402.0567,5,MEDIUM,A4,Efficient Computation of the Shapley Value for Game-Theoretic Network Centrality,arxiv:1402.0567,"The Shapley value---probably the most important normative payoff division scheme in coalitional games---has recently been advocated as a useful measure of centrality in networks. However, although this approach has a variety of real-world applications (including social and organisational networks, biological networks and communication networks), its computational properties have not been widely studied. To date, the only practicable approach to compute Shapley value-based centrality has been via Monte Carlo simulations which are computationally expensive and not guaranteed to give an exact answer. Against this background, this paper presents the first study of the computational aspects of the Shapley value for network centralities. Specifically, we develop exact analytical formulae for Shapley value-based centrality in both weighted and unweighted networks and develop efficient (polynomial time) and exact algorithms based on them. We empirically evaluate these algorithms on two real-life examples (an infrastructure network representing the topology of the Western States Power Grid and a collaboration network from the field of astrophysics) and demonstrate that they deliver significant speedups over the Monte Carlo approach. For instance, in the case of unweighted networks our algorithms are able to return the exact solution about 1600 times faster than the Monte Carlo approximation, even if we allow for a generous 10% error margin for the latter method.",medium,A4,1,A4=medium,A4=Uses a valuation or attribution signal to estimate the contribution of training examples to model or policy outcomes.,A4=It extends the A4 mechanism space with adjacent data-centric evidence.,A4=false,expansion_round_1,,,arxiv:1402.0567 | paper:3156668428113225520,,,,,,,A4,false,false,false,false,A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl,A4/expansion/all-new-expansion-triage.jsonl
43,arxiv:1502.05477,5,MEDIUM,A2 | A5 | A8,Trust Region Policy Optimization,arxiv:1502.05477,"We describe an iterative procedure for optimizing policies, with guaranteed monotonic improvement. By making several approximations to the theoretically-justified procedure, we develop a practical algorithm, called Trust Region Policy Optimization (TRPO). This algorithm is similar to natural policy gradient methods and is effective for optimizing large nonlinear policies such as neural networks. Our experiments demonstrate its robust performance on a wide variety of tasks: learning simulated robotic swimming, hopping, and walking gaits; and playing Atari games using images of the screen as input. Despite its approximations that deviate from the theory, TRPO tends to give monotonic improvement, with little tuning of hyperparameters.",medium,A2 | A5 | A8,3,A2=low | A5=medium | A8=low,"A2=Discovers reusable temporal structure in sequential experience for downstream decision making or policy learning. | A5=Our experiments demonstrate its robust performance on a wide variety of tasks: learning simulated robotic swimming, hopping, and walking gaits; and playing Atari games using images of the screen as input. | A8=The abstract does not identify a mechanism specifically for data usefulness, representation similarity, or active fleet collection.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets. | A5=This adaptive mixture neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training. | A8=It is a general policy-optimization baseline rather than an A8 selection mechanism.",A2=false | A5=true | A8=false,expansion_round_1 | expansion_round_2,,2015,arxiv:1502.05477 | paperid:3479099629109485104,arxiv:1502.05477,3479099629109485104,,,,,A2 | A5 | A8,false,false,false,true,A2/expansion-pool.json | A2/expansion-pool.jsonl | A5/expansion/raw/round2-references.json | A5/expansion/raw/round2-similar.json | A8/work/expansion-round2-novel.jsonl,A2/expansion-triage.jsonl | A5/expansion/round2-triage.jsonl | A8/work/expansion-round2-triage.jsonl | A8/work/expansion-round3-triage.jsonl
56,arxiv:1507.00814,5,HIGH,A2 | A8,Incentivizing Exploration In Reinforcement Learning With Deep Predictive Models,arxiv:1507.00814,"Achieving efficient and scalable exploration in complex domains poses a major challenge in reinforcement learning. While Bayesian and PAC-MDP approaches to the exploration problem offer strong formal guarantees, they are often impractical in higher dimensions due to their reliance on enumerating the state-action space. Hence, exploration in complex domains is often performed with simple epsilon-greedy methods. In this paper, we consider the challenging Atari games domain, which requires processing raw pixel inputs and delayed rewards. We evaluate several more sophisticated exploration strategies, including Thompson sampling and Boltzman exploration, and propose a new exploration method based on assigning exploration bonuses from a concurrently learned model of the system dynamics. By parameterizing our learned model with a neural network, we are able to develop a scalable and efficient approach to exploration bonuses that can be applied to tasks with complex, high-dimensional state spaces. In the Atari domain, our method provides the most consistent improvement across a range of games that pose a major challenge for prior methods. In addition to raw game-scores, we also develop an AUC-100 metric for the Atari Learning domain to evaluate the impact of exploration on this benchmark.",high,A2 | A8,2,A2=low | A8=high,"A2=Discovers reusable temporal structure in sequential experience for downstream decision making or policy learning. | A8=A learned predictive model rewards actions whose outcomes are difficult to predict, encouraging exploration of uncertain dynamics.",A2=The mechanism connects temporal structure to data selection or learning efficiency in the Program A loop. | A8=It connects model disagreement or prediction error to the next physical interaction a fleet should attempt.,A2=false | A8=true,expansion_round_1 | expansion_round_2,,2015,arxiv:1507.00814 | paperid:5792422353090077341,,,,,,,A2 | A8,false,false,false,true,A2/expansion-pool.json | A2/expansion-pool.jsonl | A8/work/expansion-round2-novel.jsonl,A2/expansion-triage.jsonl | A8/work/expansion-round2-triage.jsonl | A8/work/expansion-round3-triage.jsonl
69,arxiv:1512.03012,5,MEDIUM,A7,ShapeNet: An Information-Rich 3D Model Repository,arxiv:1512.03012,"We present ShapeNet: a richly-annotated, large-scale repository of shapes represented by 3D CAD models of objects. ShapeNet contains 3D models from a multitude of semantic categories and organizes them under the WordNet taxonomy. It is a collection of datasets providing many semantic annotations for each 3D model such as consistent rigid alignments, parts and bilateral symmetry planes, physical sizes, keywords, as well as other planned annotations. Annotations are made available through a public web-based interface to enable data visualization of object attributes, promote data-driven geometric analysis, and provide a large-scale quantitative benchmark for research in computer graphics and vision. At the time of this technical report, ShapeNet has indexed more than 3,000,000 models, 220,000 models out of which are classified into 3,135 categories (WordNet synsets). In this report we describe the ShapeNet effort as a whole, provide details for all currently available datasets, and summarize future plans.",medium,A7,1,A7=medium,"A7=We present ShapeNet: a richly-annotated, large-scale repository of shapes represented by 3D CAD models of objects.","A7=It expands or measures task, environment, object, or observation coverage for more robust behavior.",A7=false,expansion_round_1,,,arxiv:1512.03012,,,,,references,,A7,false,false,false,false,A7/work/expansion-registry.json | A7/work/expansion-registry.jsonl,A7/work/expansion-triage.jsonl
82,arxiv:1602.07332,5,MEDIUM,A4,Visual Genome: Connecting Language and Vision Using Crowdsourced Dense Image Annotations,arxiv:1602.07332,"Despite progress in perceptual tasks such as image classification, computers still perform poorly on cognitive tasks such as image description and question answering. Cognition is core to tasks that involve not just recognizing, but reasoning about our visual world. However, models used to tackle the rich content in images for cognitive tasks are still being trained using the same datasets designed for perceptual tasks. To achieve success at cognitive tasks, models need to understand the interactions and relationships between objects in an image. When asked ""What vehicle is the person riding?"", computers will need to identify the objects in an image as well as the relationships riding(man, carriage) and pulling(horse, carriage) in order to answer correctly that ""the person is riding a horse-drawn carriage"". In this paper, we present the Visual Genome dataset to enable the modeling of such relationships. We collect dense annotations of objects, attributes, and relationships within each image to learn these models. Specifically, our dataset contains over 100K images where each image has an average of 21 objects, 18 attributes, and 18 pairwise relationships between objects. We canonicalize the objects, attributes, relationships, and noun phrases in region descriptions and questions answer pairs to WordNet synsets. Together, these annotations represent the densest and largest dataset of image descriptions, objects, attributes, relationships, and question answers.",medium,A4,1,A4=medium,A4=Provides adjacent evidence about how data composition affects learning outcomes.,A4=It extends the A4 mechanism space with adjacent data-centric evidence.,A4=false,expansion_round_1,,,arxiv:1602.07332 | paper:1944497159913622901,,,,,,,A4,false,false,false,false,A4/expansion/round4/registry.jsonl,A4/expansion/all-new-expansion-triage.jsonl
95,arxiv:1605.06676,5,MEDIUM,A8,Learning to Communicate with Deep Multi-Agent Reinforcement Learning,arxiv:1605.06676,"We consider the problem of multiple agents sensing and acting in environments with the goal of maximising their shared utility. In these environments, agents must learn communication protocols in order to share information that is needed to solve the tasks. By embracing deep neural networks, we are able to demonstrate end-to-end learning of protocols in complex environments inspired by communication riddles and multi-agent computer vision problems with partial observability. We propose two approaches for learning in these domains: Reinforced Inter-Agent Learning (RIAL) and Differentiable Inter-Agent Learning (DIAL). The former uses deep Q-learning, while the latter exploits the fact that, during learning, agents can backpropagate error derivatives through (noisy) communication channels. Hence, this approach uses centralised learning but decentralised execution. Our experiments introduce new environments for studying the learning of communication protocols and present a set of engineering innovations that are essential for success in these domains.",medium,A8,1,A8=medium,A8=Agents learn communication protocols that coordinate decentralized decisions from shared task information.,"A8=Communication is an adjacent mechanism for sharing fleet coverage and uncertainty, though this paper is not about robot data selection.",A8=true,expansion_round_3,,,arxiv:1605.06676 | paperid:6582236229292210450,,,,,,,A8,false,false,false,false,A8/work/expansion-round3-novel.jsonl,A8/work/expansion-round3-triage.jsonl
108,arxiv:1608.05167,5,MEDIUM,A4,AID: A Benchmark Dataset for Performance Evaluation of Aerial Scene Classification,arxiv:1608.05167,"Aerial scene classification, which aims to automatically label an aerial image with a specific semantic category, is a fundamental problem for understanding high-resolution remote sensing imagery. In recent years, it has become an active task in remote sensing area and numerous algorithms have been proposed for this task, including many machine learning and data-driven approaches. However, the existing datasets for aerial scene classification like UC-Merced dataset and WHU-RS19 are with relatively small sizes, and the results on them are already saturated. This largely limits the development of scene classification algorithms. This paper describes the Aerial Image Dataset (AID): a large-scale dataset for aerial scene classification. The goal of AID is to advance the state-of-the-arts in scene classification of remote sensing images. For creating AID, we collect and annotate more than ten thousands aerial scene images. In addition, a comprehensive review of the existing aerial scene classification techniques as well as recent widely-used deep learning methods is given. Finally, we provide a performance analysis of typical aerial scene classification and deep learning approaches on AID, which can be served as the baseline results on this benchmark.",medium,A4,1,A4=medium,A4=Uses data valuation or attribution to estimate example contribution to model or policy outcomes.,A4=It provides adjacent evidence for data-efficient training intelligence.,A4=true,expansion_round_1,,,arxiv:1608.05167 | paper:3074208613442480613,,,,,related-paper-expansion,,A4,false,false,false,false,A4/expansion/expansion-registry.jsonl,A4/expansion/expansion-triage.jsonl
121,arxiv:1611.04717,5,HIGH,A8,#Exploration: A Study of Count-Based Exploration for Deep Reinforcement Learning,arxiv:1611.04717,"Count-based exploration algorithms are known to perform near-optimally when used in conjunction with tabular reinforcement learning (RL) methods for solving small discrete Markov decision processes (MDPs). It is generally thought that count-based methods cannot be applied in high-dimensional state spaces, since most states will only occur once. Recent deep RL exploration strategies are able to deal with high-dimensional continuous state spaces through complex heuristics, often relying on optimism in the face of uncertainty or intrinsic motivation. In this work, we describe a surprising finding: a simple generalization of the classic count-based approach can reach near state-of-the-art performance on various high-dimensional and/or continuous deep RL benchmarks. States are mapped to hash codes, which allows to count their occurrences with a hash table. These counts are then used to compute a reward bonus according to the classic count-based exploration theory. We find that simple hash functions can achieve surprisingly good results on many challenging tasks. Furthermore, we show that a domain-dependent learned hash code may further improve these results. Detailed analysis reveals important aspects of a good hash function: 1) having appropriate granularity and 2) encoding information relevant to solving the MDP. This exploration strategy achieves near state-of-the-art performance on both continuous control tasks and Atari 2600 games, hence providing a simple yet powerful baseline for solving MDPs that require considerable exploration.",high,A8,1,A8=high,A8=Count-based bonuses favor rarely visited states using visitation estimates to drive exploration toward undercovered regions.,A8=It supplies a simple novelty signal for detecting and filling representation or state-space coverage gaps.,A8=true,expansion_round_2,,,arxiv:1611.04717 | paperid:2045695022920286915,,,,,,,A8,false,false,false,false,A8/work/expansion-round2-novel.jsonl,A8/work/expansion-round2-triage.jsonl | A8/work/expansion-round3-triage.jsonl
