pass2_index,paper_id,assigned_agent,first_pass_classification,source_lane,paper_name,id,abstract,triage_label,lanes,lane_count,triage_labels_by_lane,mechanisms_by_lane,why_it_matters_by_lane,follow_up_by_lane,corpus_stages,authors,year,source_ids,primary_id,source_paper_id,categories,queries,discovery_methods,designations,primary_readers,metadata_verified_any,body_inspected_any,evidence_read_any,triage_disagreement,source_registry_paths,source_triage_paths
0,arxiv:0710.3742,1,HIGH,A2,Bayesian Online Changepoint Detection,arxiv:0710.3742,"Changepoints are abrupt variations in the generative parameters of a data sequence. Online detection of changepoints is useful in modelling and prediction of time series in application areas such as finance, biometrics, and robotics. While frequentist methods have yielded online filtering and prediction techniques, most Bayesian papers have focused on the retrospective segmentation problem. Here we examine the case where the model parameters before and after the changepoint are independent and we derive an online algorithm for exact inference of the most recent changepoint. We compute the probability distribution of the length of the current ``run,'' or time since the last changepoint, using a simple message-passing algorithm. Our implementation is highly modular so that the algorithm may be applied to a variety of types of data. We illustrate this modularity by demonstrating the algorithm on three different real-world data sets.",high,A2,1,A2=high,"A2=Finds event, phase, or subtask boundaries by modeling temporal changes in observations, dynamics, language, or latent sequence variables.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.",A2=true,expansion_round_1,,2007,arxiv:0710.3742,arxiv:0710.3742,2563971108403761333,,Bayesian nonparametric change point trajectory segmentation robot manipulation | change point detection Bayesian online segmentation time series,search-papers,true,A2,false,false,false,false,A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/expansion-pool.json | A2/expansion-pool.jsonl | A2/raw/q09-bayesian.json | A2/raw/q35-bocpd.json,A2/expansion-triage.jsonl
13,arxiv:1205.4839,1,MEDIUM,A5,Off-Policy Actor-Critic,arxiv:1205.4839,"This paper presents the first actor-critic algorithm for off-policy reinforcement learning. Our algorithm is online and incremental, and its per-time-step complexity scales linearly with the number of learned weights. Previous work on actor-critic algorithms is limited to the on-policy setting and does not take advantage of the recent advances in off-policy gradient temporal-difference learning. Off-policy techniques, such as Greedy-GQ, enable a target policy to be learned while following and obtaining data from another (behavior) policy. For many problems, however, actor-critic methods are more practical than action value methods (like Greedy-GQ) because they explicitly represent the policy; consequently, the policy can be stochastic and utilize a large action space. In this paper, we illustrate how to practically combine the generality and learning potential of off-policy learning with the flexibility in action selection given by actor-critic methods. We derive an incremental, linear time and space complexity algorithm that includes eligibility traces, prove convergence under assumptions similar to previous off-policy algorithms, and empirically show better or comparable performance to existing algorithms on standard reinforcement-learning benchmark problems.",medium,A5,1,A5=medium,"A5=Our algorithm is online and incremental, and its per-time-step complexity scales linearly with the number of learned weights.",A5=This weighting neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training.,A5=true,expansion_round_2,,,arxiv:1205.4839,arxiv:1205.4839,7084574330765847873,,,,,A5,false,false,false,false,A5/expansion/raw/round2-references.json | A5/expansion/raw/round3-references.json,A5/expansion/round2-triage.jsonl
26,arxiv:1312.2249,1,MEDIUM,A5,Scalable Object Detection using Deep Neural Networks,arxiv:1312.2249,"Deep convolutional neural networks have recently achieved state-of-the-art performance on a number of image recognition benchmarks, including the ImageNet Large-Scale Visual Recognition Challenge (ILSVRC-2012). The winning model on the localization sub-task was a network that predicts a single bounding box and a confidence score for each object category in the image. Such a model captures the whole-image context around the objects but cannot handle multiple instances of the same object in the image without naively replicating the number of outputs for each instance. In this work, we propose a saliency-inspired neural network model for detection, which predicts a set of class-agnostic bounding boxes along with a single score for each box, corresponding to its likelihood of containing any object of interest. The model naturally handles a variable number of instances for each class and allows for cross-class generalization at the highest levels of the network. We are able to obtain competitive recognition performance on VOC2007 and ILSVRC2012, while using only the top few predicted locations in each image and a small number of neural network evaluations.",medium,A5,1,A5=medium,A5=The winning model on the localization sub-task was a network that predicts a single bounding box and a confidence score for each object category in the image.,A5=The expansion tests whether this weighting mechanism adds a reusable way to control which robot experience influences policy training.,A5=true,expansion_round_1,,,arxiv:1312.2249,arxiv:1312.2249,6719357088000928803,,,,,A5,false,false,false,false,A5/expansion/raw/round1-references.json | A5/expansion/raw/round1-similar.json,A5/expansion/round1-triage.jsonl
39,arxiv:1411.4357,1,MEDIUM,A4,Sketching as a Tool for Numerical Linear Algebra,arxiv:1411.4357,"This survey highlights the recent advances in algorithms for numerical linear algebra that have come from the technique of linear sketching, whereby given a matrix, one first compresses it to a much smaller matrix by multiplying it by a (usually) random matrix with certain properties. Much of the expensive computation can then be performed on the smaller matrix, thereby accelerating the solution for the original problem. In this survey we consider least squares as well as robust regression problems, low rank approximation, and graph sparsification. We also discuss a number of variants of these problems. Finally, we discuss the limitations of sketching methods.",medium,A4,1,A4=medium,"A4=Connects trajectory or demonstration choice to downstream policy learning, behavior, or offline-RL utility.",A4=It is directly or plausibly transferable to selecting robot experience for policy learning.,A4=false,expansion_round_1,,,arxiv:1411.4357 | paper:960456367944914041,,,,,,,A4,false,false,false,false,A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl,A4/expansion/all-new-expansion-triage.jsonl
52,arxiv:1506.02142,1,HIGH,A1 | A4 | A8,Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning,arxiv:1506.02142,"Deep learning tools have gained tremendous attention in applied machine learning. However such tools for regression and classification do not capture model uncertainty. In comparison, Bayesian models offer a mathematically grounded framework to reason about model uncertainty, but usually come with a prohibitive computational cost. In this paper we develop a new theoretical framework casting dropout training in deep neural networks (NNs) as approximate Bayesian inference in deep Gaussian processes. A direct result of this theory gives us tools to model uncertainty with dropout NNs -- extracting information from existing models that has been thrown away so far. This mitigates the problem of representing uncertainty in deep learning without sacrificing either computational complexity or test accuracy. We perform an extensive study of the properties of dropout's uncertainty. Various network architectures and non-linearities are assessed on tasks of regression and classification, using MNIST as an example. We show a considerable improvement in predictive log-likelihood and RMSE compared to existing state-of-the-art methods, and finish by using dropout's uncertainty in deep reinforcement learning.",high,A1 | A4 | A8,3,A1=low | A4=medium | A8=high,A1=The abstract does not expose a clear temporal mechanism connected to the lane. | A4=Provides adjacent evidence about how data composition affects learning outcomes. | A8=Monte Carlo dropout approximates a Bayesian posterior and estimates predictive uncertainty from stochastic forward passes.,"A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification. | A4=It extends the A4 mechanism space with adjacent data-centric evidence. | A8=It is a foundational uncertainty estimator for deciding which fleet predictions or states warrant more data.",A1=false | A4=true | A8=true,expansion_round_1 | expansion_round_2 | expansion_round_3,,,arxiv:1506.02142 | paper:8865392551040962328 | paperid:8865392551040962328,arxiv:1506.02142,8865392551040962328,,,related-papers-round3,,A1,false,false,false,true,A1/expansion-round3-registry.json | A1/paper-registry-complete.json | A4/expansion/round3/registry.jsonl | A8/work/expansion-round2-novel.jsonl,A1/expansion-round3-triage.jsonl | A4/expansion/all-new-expansion-triage.jsonl | A8/work/expansion-round2-triage.jsonl
65,arxiv:1511.05298,1,HIGH,A1,Structural-RNN: Deep Learning on Spatio-Temporal Graphs,arxiv:1511.05298,"Deep Recurrent Neural Network architectures, though remarkably capable at modeling sequences, lack an intuitive high-level spatio-temporal structure. That is while many problems in computer vision inherently have an underlying high-level structure and can benefit from it. Spatio-temporal graphs are a popular tool for imposing such high-level intuitions in the formulation of real world problems. In this paper, we propose an approach for combining the power of high-level spatio-temporal graphs and sequence learning success of Recurrent Neural Networks (RNNs). We develop a scalable method for casting an arbitrary spatio-temporal graph as a rich RNN mixture that is feedforward, fully differentiable, and jointly trainable. The proposed method is generic and principled as it can be used for transforming any spatio-temporal graph through employing a certain set of well defined steps. The evaluations of the proposed approach on a diverse set of problems, ranging from modeling human motion to object interactions, shows improvement over the state-of-the-art with a large margin. We expect this method to empower new approaches to problem formulation through high-level spatio-temporal graphs and Recurrent Neural Networks.",high,A1,1,A1=high,"A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Structural-RNN: Deep Learning on Spatio-Temporal Graphs.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.",A1=true,expansion_round_3,,,arxiv:1511.05298,arxiv:1511.05298,334265939207406069,,,related-papers-round3,,A1,false,false,false,false,A1/expansion-round3-registry.json | A1/paper-registry-complete.json,A1/expansion-round3-triage.jsonl
78,arxiv:1602.04621,1,HIGH,A8,Deep Exploration via Bootstrapped DQN,arxiv:1602.04621,"Efficient exploration in complex environments remains a major challenge for reinforcement learning. We propose bootstrapped DQN, a simple algorithm that explores in a computationally and statistically efficient manner through use of randomized value functions. Unlike dithering strategies such as epsilon-greedy exploration, bootstrapped DQN carries out temporally-extended (or deep) exploration; this can lead to exponentially faster learning. We demonstrate these benefits in complex stochastic MDPs and in the large-scale Arcade Learning Environment. Bootstrapped DQN substantially improves learning times and performance across most Atari games.",high,A8,1,A8=high,A8=Bootstrapped value-function heads maintain distinct uncertainty estimates that drive temporally consistent exploratory policies.,A8=It is a foundational epistemic-uncertainty mechanism for selecting coherent exploratory rollouts rather than independent random actions.,A8=true,expansion_round_2,,,arxiv:1602.04621 | paperid:7307488305898738753,,,,,,,A8,false,false,false,false,A8/work/expansion-round2-novel.jsonl,A8/work/expansion-round2-triage.jsonl | A8/work/expansion-round3-triage.jsonl
91,arxiv:1604.06057,1,HIGH,A2,Hierarchical Deep Reinforcement Learning: Integrating Temporal Abstraction and Intrinsic Motivation,arxiv:1604.06057,"Learning goal-directed behavior in environments with sparse feedback is a major challenge for reinforcement learning algorithms. The primary difficulty arises due to insufficient exploration, resulting in an agent being unable to learn robust value functions. Intrinsically motivated agents can explore new behavior for its own sake rather than to directly solve problems. Such intrinsic behaviors could eventually help the agent solve tasks posed by the environment. We present hierarchical-DQN (h-DQN), a framework to integrate hierarchical value functions, operating at different temporal scales, with intrinsically motivated deep reinforcement learning. A top-level value function learns a policy over intrinsic goals, and a lower-level function learns a policy over atomic actions to satisfy the given goals. h-DQN allows for flexible goal specifications, such as functions over entities and relations. This provides an efficient space for exploration in complicated environments. We demonstrate the strength of our approach on two problems with very sparse, delayed feedback: (1) a complex discrete stochastic decision process, and (2) the classic ATARI game `Montezuma's Revenge'.",high,A2,1,A2=high,"A2=Uses temporally extended actions, keyposes, or learned macro-actions to expose multi-step structure while retaining feedback or planning control.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.",A2=true,expansion_round_1,,2016,arxiv:1604.06057,arxiv:1604.06057,8061783887413303394,,temporal abstraction long horizon manipulation sparse reward credit assignment,search-papers,true,A2,false,false,false,false,A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/expansion-pool.json | A2/expansion-pool.jsonl | A2/raw/q20-sparse-reward.json,A2/expansion-triage.jsonl
104,arxiv:1607.01883,1,HIGH,A8,Sampling-based Incremental Information Gathering with Applications to Robotic Exploration and Environmental Monitoring,arxiv:1607.01883,"In this article, we propose a sampling-based motion planning algorithm equipped with an information-theoretic convergence criterion for incremental informative motion planning. The proposed approach allows dense map representations and incorporates the full state uncertainty into the planning process. The problem is formulated as a constrained maximization problem. Our approach is built on rapidly-exploring information gathering algorithms and benefits from advantages of sampling-based optimal motion planning algorithms. We propose two information functions and their variants for fast and online computations. We prove an information-theoretic convergence for an entire exploration and information gathering mission based on the least upper bound of the average map entropy. A natural automatic stopping criterion for information-driven motion control results from the convergence analysis. We demonstrate the performance of the proposed algorithms using three scenarios: comparison of the proposed information functions and sensor configuration selection, robotic exploration in unknown environments, and a wireless signal strength monitoring task in a lake from a publicly available dataset collected using an autonomous surface vehicle.",high,A8,1,A8=high,A8=Sampling-based informative motion planning maximizes entropy-reduction objectives and uses information-theoretic convergence for automatic mission stopping.,A8=It supplies a principled stopping criterion and online planning template for deciding when a fleet has collected enough information.,A8=true,primary_assignment,,,arxiv:1607.01883,arxiv:1607.01883,9185712517085788877,,A8 | q07-synonyms | q20-adjacent,search-papers,,A8,false,false,false,false,A8/raw/q07-synonyms.json | A8/raw/q20-adjacent.json | A8/work/assigned-papers.json | A8/work/canonical-pool.jsonl,A8/work/abstract-triage.jsonl | A8/work/assigned-abstracts.jsonl
117,arxiv:1610.05182,1,HIGH,A2 | A5,Learning and Transfer of Modulated Locomotor Controllers,arxiv:1610.05182,"We study a novel architecture and training procedure for locomotion tasks. A high-frequency, low-level ""spinal"" network with access to proprioceptive sensors learns sensorimotor primitives by training on simple tasks. This pre-trained module is fixed and connected to a low-frequency, high-level ""cortical"" network, with access to all sensors, which drives behavior by modulating the inputs to the spinal network. Where a monolithic end-to-end architecture fails completely, learning with a pre-trained spinal module succeeds at multiple high-level tasks, and enables the effective exploration required to learn from sparse rewards. We test our proposed architecture on three simulated bodies: a 16-dimensional swimming snake, a 20-dimensional quadruped, and a 54-dimensional humanoid. Our results are illustrated in the accompanying video at https://youtu.be/sboPYvhpraQ",high,A2 | A5,2,A2=high | A5=low,A2=Discovers reusable temporal structure in sequential experience for downstream decision making or policy learning. | A5=We study a novel architecture and training procedure for locomotion tasks.,A2=The mechanism connects temporal structure to data selection or learning efficiency in the Program A loop. | A5=This adaptive mixture neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training.,A2=true | A5=false,expansion_round_1 | expansion_round_2,,2016,arxiv:1610.05182,arxiv:1610.05182,5986235251625906065,,,,,A2 | A5,false,false,false,true,A2/expansion-pool.json | A2/expansion-pool.jsonl | A5/expansion/raw/round2-references.json,A2/expansion-triage.jsonl | A5/expansion/round2-triage.jsonl
