paper_id,assigned_agent
3960337976911820872,1
9008098354547817690,2
2727972081308243580,3
589870538881007048,4
5324754570666059575,5
2756714247412412908,6
5776514064819351511,7
301213087444764419,8
4384026249586721898,9
8056686046808412773,10
8859639635410870005,11
5297124191976859412,12
4817631662377051471,13
5188212938104490743,1
2210363815980797505,2
7923455617757539481,3
2634454976621606413,4
paper:1300154697251056879,5
3896262198105927795,6
1268288694076518898,7
5931078249156846270,8
9041867398368112497,9
3975673247172170941,10
4064311439852433517,11
8623742208834864320,12
6042546941290649022,13
65419080924251135,1
5277491328218098077,2
4084674953039647992,3
2540239451880281701,4
3994842541428777435,5
3591707561766497696,6
5192975177350079084,7
2203310448672983125,8
897697600186895773,9
6892148114340942289,10
3892892563609774567,11
3265454835860018185,12
7156445151875138130,13
4831409068598859422,1
5440342342355043580,2
7191104061774885847,3
2729250871240918155,4
940463066769611816,5
1949413363997994104,6
1365321820975761311,7
8484531100130183844,8
2850751256253869877,9
375130457246937923,10
2494685551455670912,11
3120384796082460037,12
7392137559674702918,13
5861358040603998042,1
7676024505517203831,2
143460747647267874,3
5719323997972718839,4
paper:1556531449041711566,5
8191244200735125437,6
2006202443956549374,7
4498148791615941431,8
6226073528391041129,9
8812294165335769998,10
5981797910997404482,11
3400887765913239333,12
5736509947143852074,13
4139888542254749925,1
1023859394587420018,2
4853416372676424039,3
3524889628864475116,4
paper:1098589559250016729,5
8836829174165244807,6
9148079343067145722,7
1571199541593666790,8
1811148867295364888,9
1398826677212629428,10
646370602949243623,11
8090738307177313111,12
9065691670049191156,13
3066940910566807334,1
4234460441696265302,2
212521854571461782,3
879337995060209242,4
7778312118884684457,5
6042873572968307910,6
2730371564793671387,7
4035093843930300230,8
386131465566908983,9
8859998198916315850,10
3533139114241224874,11
5651862759782299032,12
3275744682450819085,13
2016032035901082354,1
2192915678951349008,2
8641189533146054394,3
4353705513931831690,4
3083463701572167167,5
3069230523547814147,6
paper:8610680491422498836,7
7215462750758959688,8
8498770305232690071,9
5365439460464158458,10
7847981249415513002,11
9210315832116231863,12
5093827899216795159,13
3857242430318247041,1
paper:7202885681899517333,2
3744143091714345625,3
6388947981873150301,4
1136580757785294051,5
paper:7907336004896377132,6
1008895925745653888,7
2633456745520086084,8
3921037533079953532,9
5013964582468463473,10
3653909342723808550,11
paper:7226268542381480433,12
2581448674301580359,13
249789132978283162,1
5032329569097044522,2
5317740654435006935,3
3331641085938064188,4
4467357394806590491,5
4457783947061649564,6
3076055568652607584,7
5393968608217819054,8
7378211101575091872,9
4250366347354359244,10
3119597840811836316,11
8864296648275355132,12
5426131876647524341,13
7608722997349453291,1
229946436144483838,2
2941188027225778853,3
paper:8311099796552268628,4
7207769640615546235,5
