"pass2_index","canonical_paper_id","assigned_agent","first_pass_classification","source_lane","paper_name","id","abstract","triage_label","lanes","lane_count","triage_labels_by_lane","mechanisms_by_lane","why_it_matters_by_lane","follow_up_by_lane","corpus_stages","authors","year","source_ids","primary_id","paper_id","categories","queries","discovery_methods","designations","primary_readers","metadata_verified_any","body_inspected_any","evidence_read_any","triage_disagreement","source_registry_paths","source_triage_paths"
"5","arxiv:1103.5708","6","HIGH","A8","Planning to Be Surprised: Optimal Bayesian Exploration in Dynamic Environments","arxiv:1103.5708","To maximize its success, an AGI typically needs to explore its initially unknown world. Is there an optimal way of doing so? Here we derive an affirmative answer for a broad class of environments.","high","A8","1","A8=high","A8=Bayesian planning selects actions that trade off immediate reward with expected information gain about unknown dynamics.","A8=It provides a formal decision rule for choosing fleet interactions whose observations reduce uncertainty about the environment.","A8=true","expansion_round_2","","","arxiv:1103.5708 | paperid:5758982126810484016","","","","","","","A8","false","false","false","false","A8/work/expansion-round2-novel.jsonl","A8/work/expansion-round2-triage.jsonl"
"18","arxiv:1211.1323","6","MEDIUM","A4","Sample Size Planning for Classification Models","arxiv:1211.1323","In biospectroscopy, suitably annotated and statistically independent samples (e. g. patients, batches, etc.) for classifier training and testing are scarce and costly. Learning curves show the model performance as function of the training sample size and can help to determine the sample size needed to train good classifiers. However, building a good model is actually not enough: the performance must also be proven. We discuss learning curves for typical small sample size situations with 5 - 25 independent samples per class. Although the classification models achieve acceptable performance, the learning curve can be completely masked by the random testing uncertainty due to the equally limited test sample size. In consequence, we determine test sample sizes necessary to achieve reasonable precision in the validation and find that 75 - 100 samples will usually be needed to test a good but not perfect classifier. Such a data set will then allow refined sample size planning on the basis of the achieved performance. We also demonstrate how to calculate necessary sample sizes in order to show the superiority of one classifier over another: this often requires hundreds of statistically independent test samples or is even theoretically impossible. We demonstrate our findings with a data set of ca. 2550 Raman spectra of single cells (five classes: erythrocytes, leukocytes and three tumour cell lines BT-20, MCF-7 and OCI-AML3) as well as by an extensive simulation that allows precise determination of the actual performance of the models in question.","medium","A4","1","A4=medium","A4=Provides adjacent evidence about how data composition affects learning outcomes.","A4=It extends the A4 mechanism space with adjacent data-centric evidence.","A4=false","expansion_round_1","","","arxiv:1211.1323 | paper:2108460541917208409","","","","","","","A4","false","false","false","false","A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl","A4/expansion/all-new-expansion-triage.jsonl"
"31","arxiv:1406.2462","6","MEDIUM","A3","Empirical risk minimization for heavy-tailed losses","arxiv:1406.2462","The purpose of this paper is to discuss empirical risk minimization when the losses are not necessarily bounded and may have a distribution with heavy tails. In such situations, usual empirical averages may fail to provide reliable estimates and empirical risk minimization may provide large excess risk. However, some robust mean estimators proposed in the literature may be used to replace empirical means. In this paper, we investigate empirical risk minimization based on a robust estimate proposed by Catoni. We develop performance bounds based on chaining arguments tailored to Catoni's mean es","medium","A3","1","A3=medium","A3=The paper develops or evaluates Empirical risk minimization for heavy-tailed losses, providing an adjacent mechanism for robust learning, attribution, evaluation, or data selection.","A3=It may transfer to robot experience curation or training intelligence, but its direct relevance requires verification.","A3=false","expansion_round_1","","2014","arxiv:1406.2462","","","","","firecrawl research related-papers","","A3","false","false","false","false","A3/expansion-registry.json | A3/paper-registry.json","A3/expansion-triage.jsonl"
"44","arxiv:1503.01161","6","MEDIUM","A4","The Bayesian Case Model: A Generative Approach for Case-Based Reasoning and Prototype Classification","arxiv:1503.01161","We present the Bayesian Case Model (BCM), a general framework for Bayesian case-based reasoning (CBR) and prototype classification and clustering. BCM brings the intuitive power of CBR to a Bayesian generative framework. The BCM learns prototypes, the ""quintessential"" observations that best represent clusters in a dataset, by performing joint inference on cluster labels, prototypes and important features. Simultaneously, BCM pursues sparsity by learning subspaces, the sets of features that play important roles in the characterization of the prototypes. The prototype and subspace representation provides quantitative benefits in interpretability while preserving classification accuracy. Human subject experiments verify statistically significant improvements to participants' understanding when using explanations produced by BCM, compared to those given by prior art.","medium","A4","1","A4=medium","A4=Provides adjacent evidence about how data composition affects learning outcomes.","A4=It extends the A4 mechanism space with adjacent data-centric evidence.","A4=false","expansion_round_1","","","arxiv:1503.01161 | paper:6500818793173920111","","","","","","","A4","false","false","false","false","A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl","A4/expansion/all-new-expansion-triage.jsonl"
"57","arxiv:1507.01279","6","MEDIUM","A1","Scan B-Statistic for Kernel Change-Point Detection","arxiv:1507.01279","Detecting the emergence of an abrupt change-point is a classic problem in statistics and machine learning. Kernel-based nonparametric statistics have been used for this task which enjoy fewer assumptions on the distributions than the parametric approach and can handle high-dimensional data. In this paper we focus on the scenario when the amount of background data is large, and propose two related computationally efficient kernel-based statistics for change-point detection, which are inspired by the recently developed B-statistics. A novel theoretical result of the paper is the characterization of the tail probability of these statistics using the change-of-measure technique, which focuses on characterizing the tail of the detection statistics rather than obtaining its asymptotic distribution under the null distribution. Such approximations are crucial to control the false alarm rate, which corresponds to the significance level in offline change-point detection and the average-run-length in online change-point detection. Our approximations are shown to be highly accurate. Thus, they provide a convenient way to find detection thresholds for both offline and online cases without the need to resort to the more expensive simulations or bootstrapping. We show that our methods perform well on both synthetic data and real data.","medium","A1","1","A1=medium","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Scan B-Statistic for Kernel Change-Point Detection.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification.","A1=true","expansion_round_3","","","arxiv:1507.01279","arxiv:1507.01279","3350999702177862575","","","related-papers-round3","","A1","false","false","false","false","A1/expansion-round3-registry.json | A1/paper-registry-complete.json","A1/expansion-round3-triage.jsonl"
"70","arxiv:1512.03216","6","MEDIUM","A1","Functional Data Analysis of Amplitude and Phase Variation","arxiv:1512.03216","The abundance of functional observations in scientific endeavors has led to a significant development in tools for functional data analysis (FDA). This kind of data comes with several challenges: infinite-dimensionality of function spaces, observation noise, and so on. However, there is another interesting phenomena that creates problems in FDA. The functional data often comes with lateral displacements/deformations in curves, a phenomenon which is different from the height or amplitude variability and is termed phase variation. The presence of phase variability artificially often inflates data variance, blurs underlying data structures, and distorts principal components. While the separation and/or removal of phase from amplitude data is desirable, this is a difficult problem. In particular, a commonly used alignment procedure, based on minimizing the L² norm between functions, does not provide satisfactory results. In this paper we motivate the importance of dealing with the phase variability and summarize several current ideas for separating phase and amplitude components. These approaches differ in the following: (1) the definition and mathematical representation of phase variability, (2) the objective functions that are used in functional data alignment, and (3) the algorithmic tools for solving estimation/optimization problems. We use simple examples to illustrate various approaches and to provide useful contrast between them.","medium","A1","1","A1=medium","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Functional Data Analysis of Amplitude and Phase Variation.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification.","A1=true","expansion_round_1","","","arxiv:1512.03216","arxiv:1512.03216","4479227473716941100","","","related-similar","","A1","false","false","false","false","A1/expansion-registry.json | A1/paper-registry-complete.json","A1/expansion-triage.jsonl"
"83","arxiv:1603.00448","6","HIGH","A5 | A6","Guided Cost Learning: Deep Inverse Optimal Control via Policy Optimization","arxiv:1603.00448","Reinforcement learning can acquire complex behaviors from high-level specifications. However, defining a cost function that can be optimized effectively and encodes the correct task is challenging in practice. We explore how inverse optimal control (IOC) can be used to learn behaviors from demonstrations, with applications to torque control of high-dimensional robotic systems. Our method addresses two key challenges in inverse optimal control: first, the need for informative features and effective regularization to impose structure on the cost, and second, the difficulty of learning the cost function under unknown dynamics for high-dimensional continuous systems. To address the former challenge, we present an algorithm capable of learning arbitrary nonlinear cost functions, such as neural networks, without meticulous feature engineering. To address the latter challenge, we formulate an efficient sample-based approximation for MaxEnt IOC. We evaluate our method on a series of simulated tasks and real-world robotic manipulation problems, demonstrating substantial improvement over prior methods both in terms of task complexity and sample efficiency.","high","A5 | A6","2","A5=high | A6=high","A5=However, defining a cost function that can be optimized effectively and encodes the correct task is challenging in practice. | A6=Estimates demonstration quality or latent expertise to filter, weight, or optimize learning from mixed-quality experience.","A5=This adaptive mixture neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training. | A6=Offers a reusable mechanism for converting sequential experience into better policy or data decisions.","A5=true | A6=true","expansion_round_1 | expansion_round_2","","","arxiv:1603.00448","arxiv:1603.00448","421267835322042537","","","related-papers","","A5 | A6","false","false","false","false","A5/expansion/raw/round2-similar.json | A6/expansion/canonical-pool.jsonl","A5/expansion/round2-triage.jsonl | A6/expansion/triage.jsonl"
"96","arxiv:1605.07700","6","MEDIUM","A2","Learning Purposeful Behaviour in the Absence of Rewards","arxiv:1605.07700","Artificial intelligence is commonly defined as the ability to achieve goals in the world. In the reinforcement learning framework, goals are encoded as reward functions that guide agent behaviour, and the sum of observed rewards provide a notion of progress. However, some domains have no such reward signal, or have a reward signal so sparse as to appear absent. Without reward feedback, agent behaviour is typically random, often dithering aimlessly and lacking intentionality. In this paper we present an algorithm capable of learning purposeful behaviour in the absence of rewards. The algorithm proceeds by constructing temporally extended actions (options), through the identification of purposes that are ""just out of reach"" of the agent's current behaviour. These purposes establish intrinsic goals for the agent to learn, ultimately resulting in a suite of behaviours that encourage the agent to visit different parts of the state space. Moreover, the approach is particularly suited for settings where rewards are very sparse, and such behaviours can help in the exploration of the environment until reward is observed.","medium","A2","1","A2=medium","A2=Discovers reusable temporal structure in sequential experience for downstream decision making or policy learning.","A2=The adjacent sequence mechanism offers a transferable way to localize or compress useful intervals when robot labels are scarce.","A2=true","expansion_round_1","","2016","arxiv:1605.07700","","","","","","","A2","false","false","false","false","A2/expansion-pool.json | A2/expansion-pool.jsonl","A2/expansion-triage.jsonl"
"109","arxiv:1609.05140","6","HIGH","A2","The Option-Critic Architecture","arxiv:1609.05140","Temporal abstraction is key to scaling up learning and planning in reinforcement learning. While planning with temporally extended actions is well understood, creating such abstractions autonomously from data has remained challenging. We tackle this problem in the framework of options [Sutton, Precup & Singh, 1999; Precup, 2000]. We derive policy gradient theorems for options and propose a new option-critic architecture capable of learning both the internal policies and the termination conditions of options, in tandem with the policy over options, and without the need to provide any additional rewards or subgoals. Experimental results in both discrete and continuous environments showcase the flexibility and efficiency of the framework.","high","A2","1","A2=high","A2=Uses temporally extended actions, keyposes, or learned macro-actions to expose multi-step structure while retaining feedback or planning control.","A2=The mechanism connects temporal structure to data selection or learning efficiency in the Program A loop.","A2=true","expansion_round_1","","2016","arxiv:1609.05140","arxiv:1609.05140","666506910005674829","","2024 robot learning action chunking temporal abstraction trajectory | macro-actions options skills temporal abstraction sequential robot control | options framework temporal abstraction reinforcement learning | temporally abstract actions robot learning action chunks","search-papers","true","A2","false","false","false","false","A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/expansion-pool.json | A2/expansion-pool.jsonl | A2/raw/q04-direct.json | A2/raw/q08-synonyms.json | A2/raw/q31-options.json | A2/raw/q38-2024-action-chunking.json","A2/expansion-triage.jsonl"
"122","arxiv:1611.06067","6","HIGH","A1","An End-to-End Spatio-Temporal Attention Model for Human Action Recognition from Skeleton Data","arxiv:1611.06067","Human action recognition is an important task in computer vision. Extracting discriminative spatial and temporal features to model the spatial and temporal evolutions of different actions plays a key role in accomplishing this task. In this work, we propose an end-to-end spatial and temporal attention model for human action recognition from skeleton data. We build our model on top of the Recurrent Neural Networks (RNNs) with Long Short-Term Memory (LSTM), which learns to selectively focus on discriminative joints of skeleton within each frame of the inputs and pays different levels of attention to the outputs of different frames. Furthermore, to ensure effective training of the network, we propose a regularized cross-entropy loss to drive the model learning process and develop a joint training strategy accordingly. Experimental results demonstrate the effectiveness of the proposed model,both on the small human action recognition data set of SBU and the currently largest NTU dataset.","high","A1","1","A1=high","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for An End-to-End Spatio-Temporal Attention Model for Human Action Recognition from Skeleton Data.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.","A1=true","expansion_round_2","","","arxiv:1611.06067","arxiv:1611.06067","6765433271082828047","","","related-papers-round2 | related-papers-round3","","A1","false","false","false","false","A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/paper-registry-complete.json","A1/expansion-round2-triage.jsonl"
