"pass2_index","canonical_paper_id","assigned_agent","first_pass_classification","source_lane","paper_name","id","abstract","triage_label","lanes","lane_count","triage_labels_by_lane","mechanisms_by_lane","why_it_matters_by_lane","follow_up_by_lane","corpus_stages","authors","year","source_ids","primary_id","paper_id","categories","queries","discovery_methods","designations","primary_readers","metadata_verified_any","body_inspected_any","evidence_read_any","triage_disagreement","source_registry_paths","source_triage_paths"
"10","arxiv:1201.6583","11","MEDIUM","A8","Empowerment for Continuous Agent-Environment Systems","arxiv:1201.6583","This paper develops generalizations of empowerment to continuous states. Empowerment is a recently introduced information-theoretic quantity motivated by hypotheses about the efficiency of the sensorimotor loop in biological organisms, but also from considerations stemming from curiosity-driven learning. Empowemerment measures, for agent-environment systems with stochastic transitions, how much influence an agent has on its environment, but only that influence that can be sensed by the agent sensors. It is an information-theoretic generalization of joint controllability (influence on environment) and observability (measurement by sensors) of the environment by the agent, both controllability and observability being usually defined in control theory as the dimensionality of the control/observation spaces. Earlier work has shown that empowerment has various interesting and relevant properties, e.g., it allows us to identify salient states using only the dynamics, and it can act as intrinsic reward without requiring an external reward. However, in this previous work empowerment was limited to the case of small-scale and discrete domains and furthermore state transition probabilities were assumed to be known. The goal of this paper is to extend empowerment to the significantly more important and relevant case of continuous vector-valued state spaces and initially unknown state transition probabilities. The continuous state space is addressed by Monte-Carlo approximation; the unknown transitions are addressed by model learning and prediction for which we apply Gaussian processes regression with iterated forecasting. In a number of well-known continuous control tasks we examine the dynamics induced by empowerment and include an application to exploration and online model learning.","medium","A8","1","A8=medium","A8=Empowerment measures the action-to-future-state channel capacity of continuous systems as a controllability objective.","A8=It offers a controllability-based alternative to raw novelty for selecting useful exploratory states.","A8=true","expansion_round_3","","","arxiv:1201.6583 | paperid:5985185908420914949","","","","","","","A8","false","false","false","false","A8/work/expansion-round3-novel.jsonl","A8/work/expansion-round3-triage.jsonl"
"23","arxiv:1306.4265","11","MEDIUM","A4","Bounding the Estimation Error of Sampling-based Shapley Value Approximation","arxiv:1306.4265","The Shapley value is arguably the most central normative solution concept in cooperative game theory. It specifies a unique way in which the reward from cooperation can be ""fairly"" divided among players. While it has a wide range of real world applications, its use is in many cases hampered by the hardness of its computation. A number of researchers have tackled this problem by (i) focusing on classes of games where the Shapley value can be computed efficiently, or (ii) proposing representation formalisms that facilitate such efficient computation, or (iii) approximating the Shapley value in certain classes of games. For the classical characteristic function representation, the only attempt to approximate the Shapley value for the general class of games is due to Castro et al. castro. While this algorithm provides a bound on the approximation error, this bound is asymptotic, meaning that it only holds when the number of samples increases to infinity. On the other hand, when a finite number of samples is drawn, an unquantifiable error is introduced, meaning that the bound no longer holds. With this in mind, we provide non-asymptotic bounds on the estimation error for two cases: where (i) the variance, and (ii) the range, of the players' marginal contributions is known. Furthermore, for the second case, we show that when the range is significantly large relative to the Shapley value, the bound can be improved (from O(rm) to O(√rm)). Finally, we propose, and demonstrate the effectiveness of using stratified sampling for improving the bounds further.","medium","A4","1","A4=medium","A4=Uses a valuation or attribution signal to estimate the contribution of training examples to model or policy outcomes.","A4=It extends the A4 mechanism space with adjacent data-centric evidence.","A4=false","expansion_round_1","","","arxiv:1306.4265 | paper:7181094248645974860","","","","","","","A4","false","false","false","false","A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl","A4/expansion/all-new-expansion-triage.jsonl"
"36","arxiv:1408.3060","11","MEDIUM","A4","Fastfood: Approximate Kernel Expansions in Loglinear Time","arxiv:1408.3060","Despite their successes, what makes kernel methods difficult to use in many large scale problems is the fact that storing and computing the decision function is typically expensive, especially at prediction time. In this paper, we overcome this difficulty by proposing Fastfood, an approximation that accelerates such computation significantly. Key to Fastfood is the observation that Hadamard matrices, when combined with diagonal Gaussian matrices, exhibit properties similar to dense Gaussian random matrices. Yet unlike the latter, Hadamard and diagonal matrices are inexpensive to multiply and store. These two matrices can be used in lieu of Gaussian matrices in Random Kitchen Sinks proposed by Rahimi and Recht (2009) and thereby speeding up the computation for a large range of kernel functions. Specifically, Fastfood requires O(n log d) time and O(n) storage to compute n non-linear basis functions in d dimensions, a significant improvement from O(nd) computation and storage, without sacrificing accuracy. Our method applies to any translation invariant and any dot-product kernel, such as the popular RBF kernels and polynomial kernels. We prove that the approximation is unbiased and has low variance. Experiments show that we achieve similar accuracy to full kernel expansions and Random Kitchen Sinks while being 100x faster and using 1000x less memory. These improvements, especially in terms of memory usage, make kernel methods more practical for applications that have large training sets and/or require real-time prediction.","medium","A4","1","A4=medium","A4=Provides adjacent evidence about how data composition affects learning outcomes.","A4=It extends the A4 mechanism space with adjacent data-centric evidence.","A4=true","expansion_round_1","","","arxiv:1408.3060 | paper:6752033194942519435","","","","","","","A4","false","false","false","false","A4/expansion/round3/registry.jsonl","A4/expansion/all-new-expansion-triage.jsonl"
"49","arxiv:1504.00702","11","HIGH","A5 | A7","End-to-End Training of Deep Visuomotor Policies","arxiv:1504.00702","Policy search methods can allow robots to learn control policies for a wide range of tasks, but practical applications of policy search often require hand-engineered components for perception, state estimation, and low-level control. In this paper, we aim to answer the following question: does training the perception and control systems jointly end-to-end provide better performance than training each component separately? To this end, we develop a method that can be used to learn policies that map raw image observations directly to torques at the robot's motors. The policies are represented by deep convolutional neural networks (CNNs) with 92,000 parameters, and are trained using a partially observed guided policy search method, which transforms policy search into supervised learning, with supervision provided by a simple trajectory-centric reinforcement learning method. We evaluate our method on a range of real-world manipulation tasks that require close coordination between vision and control, such as screwing a cap onto a bottle, and present simulated comparisons to a range of prior policy search methods.","high","A5 | A7","2","A5=high | A7=high","A5=Policy search methods can allow robots to learn control policies for a wide range of tasks, but practical applications of policy search often require hand-engineered components for perception, state estimation, and low-level control. | A7=Policy search methods can allow robots to learn control policies for a wide range of tasks, but practical applications of policy search often require hand-engineered components for perception, state estimation, and low-level control.","A5=The expansion tests whether this adaptive mixture mechanism adds a reusable way to control which robot experience influences policy training. | A7=It informs how data quantity, composition, or offline experience should affect policy training.","A5=true | A7=true","expansion_round_1","","","arxiv:1504.00702","arxiv:1504.00702","7833288986849694550","","","references","","A5 | A7","false","false","false","false","A5/expansion/inspection-manifest.json | A5/expansion/raw/round1-references.json | A5/expansion/raw/round2-references.json | A5/expansion/raw/round2-similar.json | A5/expansion/raw/round3-similar.json | A5/expansion/read-manifest.json | A7/work/expansion-registry.json | A7/work/expansion-registry.jsonl","A5/expansion/round1-triage.jsonl | A7/work/expansion-triage.jsonl"
"62","arxiv:1510.09142","11","MEDIUM","A5","Learning Continuous Control Policies by Stochastic Value Gradients","arxiv:1510.09142","We present a unified framework for learning continuous control policies using backpropagation. It supports stochastic control by treating stochasticity in the Bellman equation as a deterministic function of exogenous noise. The product is a spectrum of general policy gradient algorithms that range from model-free methods with value functions to model-based methods without value functions. We use learned models but only require observations from the environment in- stead of observations from model-predicted trajectories, minimizing the impact of compounded model errors. We apply these algorithms first to a toy stochastic control problem and then to several physics-based control problems in simulation. One of these variants, SVG(1), shows the effectiveness of learning models, value functions, and policies simultaneously in continuous domains.","medium","A5","1","A5=medium","A5=We present a unified framework for learning continuous control policies using backpropagation.","A5=This adjacent transfer neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training.","A5=true","expansion_round_2","","","arxiv:1510.09142","arxiv:1510.09142","8889175631041496580","","","","","A5","false","false","false","false","A5/expansion/raw/round2-references.json | A5/expansion/raw/round2-similar.json","A5/expansion/round2-triage.jsonl"
"75","arxiv:1602.01407","11","MEDIUM","A4","A Kronecker-factored approximate Fisher matrix for convolution layers","arxiv:1602.01407","Second-order optimization methods such as natural gradient descent have the potential to speed up training of neural networks by correcting for the curvature of the loss function. Unfortunately, the exact natural gradient is impractical to compute for large models, and most approximations either require an expensive iterative procedure or make crude approximations to the curvature. We present Kronecker Factors for Convolution (KFC), a tractable approximation to the Fisher matrix for convolutional networks based on a structured probabilistic model for the distribution over backpropagated derivatives. Similarly to the recently proposed Kronecker-Factored Approximate Curvature (K-FAC), each block of the approximate Fisher matrix decomposes as the Kronecker product of small matrices, allowing for efficient inversion. KFC captures important curvature information while still yielding comparably efficient updates to stochastic gradient descent (SGD). We show that the updates are invariant to commonly used reparameterizations, such as centering of the activations. In our experiments, approximate natural gradient descent with KFC was able to train convolutional networks several times faster than carefully tuned SGD. Furthermore, it was able to train the networks in 10-20 times fewer iterations than SGD, suggesting its potential applicability in a distributed setting.","medium","A4","1","A4=medium","A4=Provides adjacent evidence about how data composition affects learning outcomes.","A4=It extends the A4 mechanism space with adjacent data-centric evidence.","A4=true","expansion_round_1","","","arxiv:1602.01407 | paper:4724535279156668486","","","","","","","A4","false","false","false","false","A4/expansion/round3/registry.jsonl","A4/expansion/all-new-expansion-triage.jsonl"
"88","arxiv:1603.08561","11","HIGH","A1","Shuffle and Learn: Unsupervised Learning using Temporal Order Verification","arxiv:1603.08561","In this paper, we present an approach for learning a visual representation from the raw spatiotemporal signals in videos. Our representation is learned without supervision from semantic labels. We formulate our method as an unsupervised sequential verification task, i.e., we determine whether a sequence of frames from a video is in the correct temporal order. With this simple task and no semantic labels, we learn a powerful visual representation using a Convolutional Neural Network (CNN). The representation contains complementary information to that learned from supervised image datasets like ImageNet. Qualitative results show that our method captures information that is temporally varying, such as human pose. When used as pre-training for action recognition, our method gives significant gains over learning without external data on benchmark datasets like UCF101 and HMDB51. To demonstrate its sensitivity to human pose, we show results for pose estimation on the FLIC and MPII datasets that are competitive, or better than approaches using significantly more supervision. Our method can be combined with supervised representations to provide an additional boost in accuracy.","high","A1","1","A1=high","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Shuffle and Learn: Unsupervised Learning using Temporal Order Verification.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.","A1=true","expansion_round_1","","","arxiv:1603.08561","arxiv:1603.08561","1371898707737452311","","","related-references","","A1","false","false","false","false","A1/expansion-registry.json | A1/paper-registry-complete.json","A1/expansion-triage.jsonl"
"101","arxiv:1606.03558","11","MEDIUM","A1","Universal Correspondence Network","arxiv:1606.03558","We present a deep learning framework for accurate visual correspondences and demonstrate its effectiveness for both geometric and semantic matching, spanning across rigid motions to intra-class shape or appearance variations. In contrast to previous CNN-based approaches that optimize a surrogate patch similarity objective, we use deep metric learning to directly learn a feature space that preserves either geometric or semantic similarity. Our fully convolutional architecture, along with a novel correspondence contrastive loss allows faster training by effective reuse of computations, accurate gradient computation through the use of thousands of examples per image pair and faster testing with O(n) feed forward passes for n keypoints, instead of O(n²) for typical patch similarity methods. We propose a convolutional spatial transformer to mimic patch normalization in traditional features like SIFT, which is shown to dramatically boost accuracy for semantic correspondences across intra-class shape variations. Extensive experiments on KITTI, PASCAL, and CUB-2011 datasets demonstrate the significant advantages of our features over prior works that use either hand-constructed or learned features.","medium","A1","1","A1=medium","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Universal Correspondence Network.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification.","A1=true","expansion_round_3","","","arxiv:1606.03558","arxiv:1606.03558","5538597469867498931","","","related-papers-round3","","A1","false","false","false","false","A1/expansion-round3-registry.json | A1/paper-registry-complete.json","A1/expansion-round3-triage.jsonl"
"114","arxiv:1610.00850","11","HIGH","A6","Comparing Human-Centric and Robot-Centric Sampling for Robot Deep Learning from Demonstrations","arxiv:1610.00850","Motivated by recent advances in Deep Learning for robot control, this paper considers two learning algorithms in terms of how they acquire demonstrations. ""Human-Centric"" (HC) sampling is the standard supervised learning algorithm, where a human supervisor demonstrates the task by teleoperating the robot to provide trajectories consisting of state-control pairs. ""Robot-Centric"" (RC) sampling is an increasingly popular alternative used in algorithms such as DAgger, where a human supervisor observes the robot executing a learned policy and provides corrective control labels for each state visited. RC sampling can be challenging for human supervisors and prone to mislabeling. RC sampling can also induce error in policy performance because it repeatedly visits areas of the state space that are harder to learn. Although policies learned with RC sampling can be superior to HC sampling for standard learning models such as linear SVMs, policies learned with HC sampling may be comparable with highly-expressive learning models such as deep learning and hyper-parametric decision trees, which have little model error. We compare HC and RC using a grid world and a physical robot singulation task, where in the latter the input is a binary image of a connected set of objects on a planar worksurface and the policy generates a motion of the gripper to separate one object from the rest. We observe in simulation that for linear SVMs, policies learned with RC outperformed those learned with HC but that with deep models this advantage disappears. We also find that with RC, the corrective control labels provided by humans can be highly inconsistent. We prove there exists a class of examples where in the limit, HC is guaranteed to converge to an optimal policy while RC may fail to converge.","high","A6","1","A6=high","A6=Estimates demonstration quality or latent expertise to filter, weight, or optimize learning from mixed-quality experience.","A6=Connects trajectory outcomes to policy improvement rather than copying actions independently of consequences.","A6=true","expansion_round_1","","2016","arxiv:1610.00850","arxiv:1610.00850","3463877691795519144","","q29-found-corrections","related-papers","general","A6","false","false","false","false","A5/canonical-pool.jsonl | A5/paper-registry.json | A5/raw/q03-direct-hard.json | A6/expansion/canonical-pool.jsonl | A6/raw-retrieval/q29-found-corrections.json | A6/work/canonical-pool.jsonl | A7/raw/q14-space-coverage.json | A7/work/paper-registry.json | A7/work/paper-registry.jsonl | A7/work/verified-paper-registry.json | A7/work/verified-paper-registry.jsonl","A6/expansion/triage.jsonl"
"127","arxiv:1612.06699","11","HIGH","A3 | A4","Unsupervised Perceptual Rewards for Imitation Learning","arxiv:1612.06699","Reward function design and exploration time are arguably the biggest obstacles to the deployment of reinforcement learning (RL) agents in the real world. In many real-world tasks, designing a reward function takes considerable hand engineering and often requires additional sensors to be installed just to measure whether the task has been executed successfully. Furthermore, many interesting tasks consist of multiple implicit intermediate steps that must be executed in sequence. Even when the final outcome can be measured, it does not necessarily provide feedback on these intermediate steps. To address these issues, we propose leveraging the abstraction power of intermediate visual representations learned by deep models to quickly infer perceptual reward functions from small numbers of demonstrations. We present a method that is able to identify key intermediate steps of a task from only a handful of demonstration sequences, and automatically identify the most discriminative features for identifying these steps. This method makes use of the features in a pre-trained deep model, but does not require any explicit specification of sub-goals. The resulting reward functions can then be used by an RL agent to learn to perform the task in real-world settings. To evaluate the learned reward, we present qualitative results on two real-world tasks and a quantitative evaluation against a human-designed reward function. We also show that our method can be used to learn a real-world door opening skill using a real robot, even when the demonstration used for reward learning is provided by a human using their own hand. To our knowledge, these are the first results showing that complex robotic manipulation skills can be learned directly and without supervised labels from a video of a human performing the task. Supplementary material and data are available at https://sermanet.github.io/rewards","high","A3 | A4","2","A3=high | A4=high","A3=The paper develops or evaluates Unsupervised Perceptual Rewards for Imitation Learning, with a mechanism for selecting, weighting, repairing, auditing, or robustifying experience. | A4=Uses data valuation or attribution to estimate example contribution to model or policy outcomes.","A3=Its related-paper mechanism is plausibly transferable to the Program A data-to-policy loop and merits targeted review. | A4=It directly informs curation of robot experience or a transferable policy-data loop.","A3=true | A4=true","expansion_round_1","","2016","arxiv:1612.06699 | paper:6419621599409575857","","","","","firecrawl research related-papers | related-paper-expansion","","A3","false","false","false","false","A3/expansion-registry.json | A3/paper-registry.json | A4/expansion/expansion-registry.jsonl","A3/expansion-triage.jsonl | A4/expansion/expansion-triage.jsonl"
