"pass2_index","canonical_paper_id","assigned_agent","first_pass_classification","source_lane","paper_name","id","abstract","triage_label","lanes","lane_count","triage_labels_by_lane","mechanisms_by_lane","why_it_matters_by_lane","follow_up_by_lane","corpus_stages","authors","year","source_ids","primary_id","paper_id","categories","queries","discovery_methods","designations","primary_readers","metadata_verified_any","body_inspected_any","evidence_read_any","triage_disagreement","source_registry_paths","source_triage_paths"
"3","arxiv:1003.0146","4","MEDIUM","A5","A Contextual-Bandit Approach to Personalized News Article Recommendation","arxiv:1003.0146","Personalized web services strive to adapt their services (advertisements, news articles, etc) to individual users by making use of both content and user information. Despite a few recent advances, this problem remains challenging for at least two reasons. First, web service is featured with dynamically changing pools of content, rendering traditional collaborative filtering methods inapplicable. Second, the scale of most web services of practical interest calls for solutions that are both fast in learning and computation. In this work, we model personalized recommendation of news articles as a contextual bandit problem, a principled approach in which a learning algorithm sequentially selects articles to serve users based on contextual information about the users and articles, while simultaneously adapting its article-selection strategy based on user-click feedback to maximize total user clicks. The contributions of this work are three-fold. First, we propose a new, general contextual bandit algorithm that is computationally efficient and well motivated from learning theory. Second, we argue that any bandit algorithm can be reliably evaluated offline using previously recorded random traffic. Finally, using this offline evaluation method, we successfully applied our new algorithm to a Yahoo! Front Page Today Module dataset containing over 33 million events. Results showed a 12.5% click lift compared to a standard context-free bandit algorithm, and the advantage becomes even greater when data gets more scarce.","medium","A5","1","A5=medium","A5=In this work, we model personalized recommendation of news articles as a contextual bandit problem, a principled approach in which a learning algorithm sequentially selects articles to serve users based on contextual information about the users and articles, while simultaneous.","A5=This weighting neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training.","A5=true","expansion_round_3","","","arxiv:1003.0146","arxiv:1003.0146","4549646087447591988","","","","","A5","false","false","false","false","A5/expansion/raw/round3-references.json | A5/expansion/raw/round3-similar.json","A5/expansion/round3-triage.jsonl"
"16","arxiv:1207.4708","4","MEDIUM","A2 | A5 | A8","The Arcade Learning Environment: An Evaluation Platform for General Agents","arxiv:1207.4708","In this article we introduce the Arcade Learning Environment (ALE): both a challenge problem and a platform and methodology for evaluating the development of general, domain-independent AI technology. ALE provides an interface to hundreds of Atari 2600 game environments, each one different, interesting, and designed to be a challenge for human players. ALE presents significant research challenges for reinforcement learning, model learning, model-based planning, imitation learning, transfer learning, and intrinsic motivation. Most importantly, it provides a rigorous testbed for evaluating and comparing approaches to these problems. We illustrate the promise of ALE by developing and benchmarking domain-independent agents designed using well-established AI techniques for both reinforcement learning and planning. In doing so, we also propose an evaluation methodology made possible by ALE, reporting empirical results on over 55 different games. All of the software, including the benchmark agents, is publicly available.","medium","A2 | A5 | A8","3","A2=low | A5=medium | A8=low","A2=Discovers reusable temporal structure in sequential experience for downstream decision making or policy learning. | A5=In this article we introduce the Arcade Learning Environment (ALE): both a challenge problem and a platform and methodology for evaluating the development of general, domain-independent AI technology. | A8=The abstract describes a benchmark platform but does not identify an A8 mechanism for selecting useful or informative robot data.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets. | A5=The expansion tests whether this adjacent transfer mechanism adds a reusable way to control which robot experience influences policy training. | A8=It provides evaluation infrastructure, not a direct fleet collection or representation-quality rule.","A2=false | A5=true | A8=false","expansion_round_1 | expansion_round_2","","2012","arxiv:1207.4708 | paperid:3090577804309435886","arxiv:1207.4708","3090577804309435886","","","","","A2 | A5 | A8","false","false","false","true","A2/expansion-pool.json | A2/expansion-pool.jsonl | A5/expansion/raw/round1-references.json | A5/expansion/raw/round1-similar.json | A8/work/expansion-round2-novel.jsonl","A2/expansion-triage.jsonl | A5/expansion/round1-triage.jsonl | A8/work/expansion-round2-triage.jsonl | A8/work/expansion-round3-triage.jsonl"
"29","arxiv:1401.3439","4","MEDIUM","A6","Interactive Policy Learning through Confidence-Based Autonomy","arxiv:1401.3439","We present Confidence-Based Autonomy (CBA), an interactive algorithm for policy learning from demonstration. The CBA algorithm consists of two components which take advantage of the complimentary abilities of humans and computer agents. The first component, Confident Execution, enables the agent to identify states in which demonstration is required, to request a demonstration from the human teacher and to learn a policy based on the acquired data. The algorithm selects demonstrations based on a measure of action selection confidence, and our results show that using Confident Execution the agent requires fewer demonstrations to learn the policy than when demonstrations are selected by a human teacher. The second algorithmic component, Corrective Demonstration, enables the teacher to correct any mistakes made by the agent through additional demonstrations in order to improve the policy and future task performance. CBA and its individual components are compared and evaluated in a complex simulated driving domain. The complete CBA algorithm results in the best overall learning performance, successfully reproducing the behavior of the teacher while balancing the tradeoff between number of demonstrations and number of incorrect actions during learning.","medium","A6","1","A6=medium","A6=Estimates demonstration quality or latent expertise to filter, weight, or optimize learning from mixed-quality experience.","A6=Shows how heterogeneous demonstrations can contribute without treating every transition as equally trustworthy.","A6=false","expansion_round_1","","2014","arxiv:1401.3439","arxiv:1401.3439","4275262833993893804","","learning to segment demonstrations programming by demonstration","related-papers","true","A6","false","false","false","false","A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/raw/q29-programming-by-demo.json | A5/canonical-pool.jsonl | A5/paper-registry.json | A6/expansion/canonical-pool.jsonl","A6/expansion/triage.jsonl"
"42","arxiv:1412.6980","4","MEDIUM","A1 | A2 | A4 | A5 | A8","Adam: A Method for Stochastic Optimization","arxiv:1412.6980","We introduce Adam, an algorithm for first-order gradient-based optimization of stochastic objective functions, based on adaptive estimates of lower-order moments. The method is straightforward to implement, is computationally efficient, has little memory requirements, is invariant to diagonal rescaling of the gradients, and is well suited for problems that are large in terms of data and/or parameters. The method is also appropriate for non-stationary objectives and problems with very noisy and/or sparse gradients. The hyper-parameters have intuitive interpretations and typically require little tuning. Some connections to related algorithms, on which Adam was inspired, are discussed. We also analyze the theoretical convergence properties of the algorithm and provide a regret bound on the convergence rate that is comparable to the best known results under the online convex optimization framework. Empirical results demonstrate that Adam works well in practice and compares favorably to other stochastic optimization methods. Finally, we discuss AdaMax, a variant of Adam based on the infinity norm.","medium","A1 | A2 | A4 | A5 | A8","5","A1=low | A2=low | A4=medium | A5=low | A8=low","A1=The abstract does not expose a clear temporal mechanism connected to the lane. | A2=Encodes or selects compact trajectory segments or latent plans so sequential experience can be retrieved, recombined, or reused. | A4=Connects trajectory or dataset composition to downstream policy or model behavior. | A5=We introduce Adam, an algorithm for first-order gradient-based optimization of stochastic objective functions, based on adaptive estimates of lower-order moments. | A8=The abstract does not identify a mechanism tied to representation usefulness, active data collection, uncertainty, or exploration.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification. | A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets. | A4=It provides adjacent evidence for data-efficient training intelligence. | A5=The expansion tests whether this adjacent transfer mechanism adds a reusable way to control which robot experience influences policy training. | A8=It is an optimization baseline and does not provide an actionable A8 fleet-collection rule.","A1=false | A2=false | A4=false | A5=false | A8=false","expansion_round_1 | expansion_round_2","","2014","arxiv:1412.6980 | paper:6283066965918169306 | paperid:6283066965918169306","arxiv:1412.6980","6283066965918169306","","","related-paper-expansion | related-references | related-similar","","A1","false","false","false","true","A1/expansion-registry.json | A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/paper-registry-complete.json | A2/expansion-pool.json | A2/expansion-pool.jsonl | A4/expansion/expansion-registry.jsonl | A4/expansion/round3/registry.jsonl | A4/expansion/round4/registry.jsonl | A5/expansion/raw/round1-references.json | A5/expansion/raw/round1-similar.json | A5/expansion/raw/round2-similar.json | A5/expansion/raw/round3-references.json | A5/expansion/raw/round3-similar.json | A8/work/expansion-round2-novel.jsonl","A1/expansion-triage.jsonl | A2/expansion-triage.jsonl | A4/expansion/expansion-triage.jsonl | A5/expansion/round1-triage.jsonl | A8/work/expansion-round2-triage.jsonl"
"55","arxiv:1507.00504","4","MEDIUM","A1","Optimal Transport for Domain Adaptation","arxiv:1507.00504","Domain adaptation from one data space (or domain) to another is one of the most challenging tasks of modern data analytics. If the adaptation is done correctly, models built on a specific data space become more robust when confronted to data depicting the same semantic concepts (the classes), but observed by another observation system with its own specificities. Among the many strategies proposed to adapt a domain to another, finding a common representation has shown excellent properties: by finding a common representation for both domains, a single classifier can be effective in both and use labelled samples from the source domain to predict the unlabelled samples of the target domain. In this paper, we propose a regularized unsupervised optimal transportation model to perform the alignment of the representations in the source and target domains. We learn a transportation plan matching both PDFs, which constrains labelled samples in the source domain to remain close during transport. This way, we exploit at the same time the few labeled information in the source and the unlabelled distributions observed in both domains. Experiments in toy and challenging real visual adaptation examples show the interest of the method, that consistently outperforms state of the art approaches.","medium","A1","1","A1=medium","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Optimal Transport for Domain Adaptation.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification.","A1=true","expansion_round_2","","","arxiv:1507.00504","arxiv:1507.00504","3857705199921755451","","","related-papers-round2","","A1","false","false","false","false","A1/expansion-round2-registry.json | A1/paper-registry-complete.json","A1/expansion-round2-triage.jsonl"
"68","arxiv:1511.06581","4","HIGH","A2","Dueling Network Architectures for Deep Reinforcement Learning","arxiv:1511.06581","In recent years there have been many successes of using deep representations in reinforcement learning. Still, many of these applications use conventional architectures, such as convolutional networks, LSTMs, or auto-encoders. In this paper, we present a new neural network architecture for model-free reinforcement learning. Our dueling network represents two separate estimators: one for the state value function and one for the state-dependent action advantage function. The main benefit of this factoring is to generalize learning across actions without imposing any change to the underlying reinforcement learning algorithm. Our results show that this architecture leads to better policy evaluation in the presence of many similar-valued actions. Moreover, the dueling architecture enables our RL agent to outperform the state-of-the-art on the Atari 2600 domain.","high","A2","1","A2=high","A2=Encodes or selects compact trajectory segments or latent plans so sequential experience can be retrieved, recombined, or reused.","A2=The mechanism connects temporal structure to data selection or learning efficiency in the Program A loop.","A2=true","expansion_round_1","","2015","arxiv:1511.06581","","","","","","","A2","false","false","false","false","A2/expansion-pool.json | A2/expansion-pool.jsonl","A2/expansion-triage.jsonl"
"81","arxiv:1602.07043","4","MEDIUM","A4","Auditing Black-box Models for Indirect Influence","arxiv:1602.07043","Data-trained predictive models see widespread use, but for the most part they are used as black boxes which output a prediction or score. It is therefore hard to acquire a deeper understanding of model behavior, and in particular how different features influence the model prediction. This is important when interpreting the behavior of complex models, or asserting that certain problematic attributes (like race or gender) are not unduly influencing decisions. In this paper, we present a technique for auditing black-box models, which lets us study the extent to which existing models take advantage of particular features in the dataset, without knowing how the models work. Our work focuses on the problem of indirect influence: how some features might indirectly influence outcomes via other, related features. As a result, we can find attribute influences even in cases where, upon further direct examination of the model, the attribute is not referred to by the model at all. Our approach does not require the black-box model to be retrained. This is important if (for example) the model is only accessible via an API, and contrasts our work with other methods that investigate feature influence like feature selection. We present experimental evidence for the effectiveness of our procedure using a variety of publicly available datasets and models. We also validate our procedure using techniques from interpretable learning and feature selection, as well as against other black-box auditing procedures.","medium","A4","1","A4=medium","A4=Uses a valuation or attribution signal to estimate the contribution of training examples to model or policy outcomes.","A4=It extends the A4 mechanism space with adjacent data-centric evidence.","A4=false","expansion_round_1","","","arxiv:1602.07043 | paper:3779575469841515160","","","","","","","A4","false","false","false","false","A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl","A4/expansion/all-new-expansion-triage.jsonl"
"94","arxiv:1605.05538","4","HIGH","A7","Improving Weakly-Supervised Object Localization By Micro-Annotation","arxiv:1605.05538","Weakly-supervised object localization methods tend to fail for object classes that consistently co-occur with the same background elements, e.g. trains on tracks. We propose a method to overcome these failures by adding a very small amount of model-specific additional annotation. The main idea is to cluster a deep network's mid-level representations and assign object or distractor labels to each cluster. Experiments show substantially improved localization results on the challenging ILSVC2014 dataset for bounding box detection and the PASCAL VOC2012 dataset for semantic segmentation.","high","A7","1","A7=high","A7=Weakly-supervised object localization methods tend to fail for object classes that consistently co-occur with the same background elements, e.g.","A7=It expands or measures task, environment, object, or observation coverage for more robust behavior.","A7=true","expansion_round_1","","","arxiv:1605.05538","","","","","references","","A7","false","false","false","false","A7/work/expansion-registry.json | A7/work/expansion-registry.jsonl","A7/work/expansion-triage.jsonl"
"107","arxiv:1608.00272","4","MEDIUM","A4","Modeling Context in Referring Expressions","arxiv:1608.00272","Humans refer to objects in their environments all the time, especially in dialogue with other people. We explore generating and comprehending natural language referring expressions for objects in images. In particular, we focus on incorporating better measures of visual context into referring expression models and find that visual comparison to other objects within an image helps improve performance significantly. We also develop methods to tie the language generation process together, so that we generate expressions for all objects of a particular category jointly. Evaluation on three recent datasets - RefCOCO, RefCOCO+, and RefCOCOg, shows the advantages of our methods for both referring expression generation and comprehension.","medium","A4","1","A4=medium","A4=Uses a valuation or attribution signal to estimate the contribution of training examples to model or policy outcomes.","A4=It extends the A4 mechanism space with adjacent data-centric evidence.","A4=false","expansion_round_1","","","arxiv:1608.00272 | paper:7255205047728762367","","","","","","","A4","false","false","false","false","A4/expansion/round4/registry.jsonl","A4/expansion/all-new-expansion-triage.jsonl"
"120","arxiv:1611.04201","4","MEDIUM","A8","CAD2RL: Real Single-Image Flight without a Single Real Image","arxiv:1611.04201","Deep reinforcement learning has emerged as a promising and powerful technique for automatically acquiring control policies that can process raw sensory inputs, such as images, and perform complex behaviors. However, extending deep RL to real-world robotic tasks has proven challenging, particularly in safety-critical domains such as autonomous flight, where a trial-and-error learning process is often impractical. In this paper, we explore the following question: can we train vision-based navigation policies entirely in simulation, and then transfer them into the real world to achieve real-world flight without a single real training image? We propose a learning method that we call CAD²RL, which can be used to perform collision-free indoor flight in the real world while being trained entirely on 3D CAD models. Our method uses single RGB images from a monocular camera, without needing to explicitly reconstruct the 3D geometry of the environment or perform explicit motion planning. Our learned collision avoidance policy is represented by a deep convolutional neural network that directly processes raw monocular images and outputs velocity commands. This policy is trained entirely on simulated images, with a Monte Carlo policy evaluation algorithm that directly optimizes the network's ability to produce collision-free flight. By highly randomizing the rendering settings for our simulated training set, we show that we can train a policy that generalizes to the real world, without requiring the simulator to be particularly realistic or high-fidelity. We evaluate our method by flying a real quadrotor through indoor environments, and further evaluate the design choices in our simulator through a series of ablation studies on depth prediction. For supplementary video see: https://youtu.be/nXBWmzFrj5s","medium","A8","1","A8=medium","A8=A simulator generates varied visual experience and domain randomization learns representations that transfer flight control to real images.","A8=It demonstrates synthetic coverage and domain variation as a route to robust representations, with robotics transfer evidence.","A8=true","expansion_round_3","","","arxiv:1611.04201 | paperid:3888508397151129759","","","","","","","A8","false","false","false","false","A8/work/expansion-round3-novel.jsonl","A8/work/expansion-round3-triage.jsonl"
