pass2_index,paper_id,assigned_agent,first_pass_classification,source_lane,paper_name,id,abstract,triage_label,lanes,lane_count,triage_labels_by_lane,mechanisms_by_lane,why_it_matters_by_lane,follow_up_by_lane,corpus_stages,authors,year,source_ids,primary_id,source_paper_id,categories,queries,discovery_methods,designations,primary_readers,metadata_verified_any,body_inspected_any,evidence_read_any,triage_disagreement,source_registry_paths,source_triage_paths
7,arxiv:1106.1822,8,HIGH,A2,Efficient Solution Algorithms for Factored MDPs,arxiv:1106.1822,"This paper addresses the problem of planning under uncertainty in large Markov Decision Processes (MDPs). Factored MDPs represent a complex state space using state variables and the transition model using a dynamic Bayesian network. This representation often allows an exponential reduction in the representation size of structured MDPs, but the complexity of exact solution algorithms for such MDPs can grow exponentially in the representation size. In this paper, we present two approximate solution algorithms that exploit structure in factored MDPs. Both use an approximate value function represented as a linear combination of basis functions, where each basis function involves only a small subset of the domain variables. A key contribution of this paper is that it shows how the basic operations of both algorithms can be performed efficiently in closed form, by exploiting both additive and context-specific structure in a factored MDP. A central element of our algorithms is a novel linear program decomposition technique, analogous to variable elimination in Bayesian networks, which reduces an exponentially large LP to a provably equivalent, polynomial-sized one. One algorithm uses approximate linear programming, and the second approximate dynamic programming. Our dynamic programming algorithm is novel in that it uses an approximation based on max-norm, a technique that more directly minimizes the terms that appear in error bounds for approximate MDP algorithms. We provide experimental results on problems with over 10⁴0 states, demonstrating a promising indication of the scalability of our approach, and compare our algorithm to an existing state-of-the-art approach, showing, in some problems, exponential gains in computation time.",high,A2,1,A2=high,"A2=Encodes or selects compact trajectory segments or latent plans so sequential experience can be retrieved, recombined, or reused.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.",A2=true,expansion_round_1,,2011,arxiv:1106.1822,,,,,,,A2,false,false,false,false,A2/expansion-pool.json | A2/expansion-pool.jsonl,A2/expansion-triage.jsonl
20,arxiv:1301.4862,8,HIGH,A2,Active Learning of Inverse Models with Intrinsically Motivated Goal Exploration in Robots,arxiv:1301.4862,"We introduce the Self-Adaptive Goal Generation - Robust Intelligent Adaptive Curiosity (SAGG-RIAC) architecture as an intrinsi- cally motivated goal exploration mechanism which allows active learning of inverse models in high-dimensional redundant robots. This allows a robot to efficiently and actively learn distributions of parameterized motor skills/policies that solve a corresponding distribution of parameterized tasks/goals. The architecture makes the robot sample actively novel parameterized tasks in the task space, based on a measure of competence progress, each of which triggers low-level goal-directed learning of the motor policy pa- rameters that allow to solve it. For both learning and generalization, the system leverages regression techniques which allow to infer the motor policy parameters corresponding to a given novel parameterized task, and based on the previously learnt correspondences between policy and task parameters. We present experiments with high-dimensional continuous sensorimotor spaces in three different robotic setups: 1) learning the inverse kinematics in a highly-redundant robotic arm, 2) learning omnidirectional locomotion with motor primitives in a quadruped robot, 3) an arm learning to control a fishing rod with a flexible wire. We show that 1) exploration in the task space can be a lot faster than exploration in the actuator space for learning inverse models in redundant robots; 2) selecting goals maximizing competence progress creates developmental trajectories driving the robot to progressively focus on tasks of increasing complexity and is statistically significantly more efficient than selecting tasks randomly, as well as more efficient than different standard active motor babbling methods; 3) this architecture allows the robot to actively discover which parts of its task space it can learn to reach and which part it cannot.",high,A2,1,A2=high,A2=Discovers reusable temporal structure in sequential experience for downstream decision making or policy learning.,"A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.",A2=true,expansion_round_1,,2013,arxiv:1301.4862,,,,,,,A2,false,false,false,false,A2/expansion-pool.json | A2/expansion-pool.jsonl,A2/expansion-triage.jsonl
33,arxiv:1406.4729,8,MEDIUM,A5,Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition,arxiv:1406.4729,"Existing deep convolutional neural networks (CNNs) require a fixed-size (e.g., 224x224) input image. This requirement is ""artificial"" and may reduce the recognition accuracy for the images or sub-images of an arbitrary size/scale. In this work, we equip the networks with another pooling strategy, ""spatial pyramid pooling"", to eliminate the above requirement. The new network structure, called SPP-net, can generate a fixed-length representation regardless of image size/scale. Pyramid pooling is also robust to object deformations. With these advantages, SPP-net should in general improve all CNN-based image classification methods. On the ImageNet 2012 dataset, we demonstrate that SPP-net boosts the accuracy of a variety of CNN architectures despite their different designs. On the Pascal VOC 2007 and Caltech101 datasets, SPP-net achieves state-of-the-art classification results using a single full-image representation and no fine-tuning. The power of SPP-net is also significant in object detection. Using SPP-net, we compute the feature maps from the entire image only once, and then pool features in arbitrary regions (sub-images) to generate fixed-length representations for training the detectors. This method avoids repeatedly computing the convolutional features. In processing test images, our method is 24-102x faster than the R-CNN method, while achieving better or comparable accuracy on Pascal VOC 2007. In ImageNet Large Scale Visual Recognition Challenge (ILSVRC) 2014, our methods rank #2 in object detection and #3 in image classification among all 38 teams. This manuscript also introduces the improvement made for this competition.",medium,A5,1,A5=medium,"A5=With these advantages, SPP-net should in general improve all CNN-based image classification methods.",A5=The expansion tests whether this weighting mechanism adds a reusable way to control which robot experience influences policy training.,A5=true,expansion_round_1,,,arxiv:1406.4729,arxiv:1406.4729,4182984064884187224,,,,,A5,false,false,false,false,A5/expansion/raw/round1-references.json | A5/expansion/raw/round1-similar.json,A5/expansion/round1-triage.jsonl
46,arxiv:1503.03167,8,MEDIUM,A2,Deep Convolutional Inverse Graphics Network,arxiv:1503.03167,"This paper presents the Deep Convolution Inverse Graphics Network (DC-IGN), a model that learns an interpretable representation of images. This representation is disentangled with respect to transformations such as out-of-plane rotations and lighting variations. The DC-IGN model is composed of multiple layers of convolution and de-convolution operators and is trained using the Stochastic Gradient Variational Bayes (SGVB) algorithm. We propose a training procedure to encourage neurons in the graphics code layer to represent a specific transformation (e.g. pose or light). Given a single input image, our model can generate new images of the same object with variations in pose and lighting. We present qualitative and quantitative results of the model's efficacy at learning a 3D rendering engine.",medium,A2,1,A2=medium,"A2=Encodes or selects compact trajectory segments or latent plans so sequential experience can be retrieved, recombined, or reused.",A2=The adjacent sequence mechanism offers a transferable way to localize or compress useful intervals when robot labels are scarce.,A2=true,expansion_round_1,,2015,arxiv:1503.03167,,,,,,,A2,false,false,false,false,A2/expansion-pool.json | A2/expansion-pool.jsonl,A2/expansion-triage.jsonl
59,arxiv:1509.02971,8,MEDIUM,A2 | A5 | A6 | A8,Continuous control with deep reinforcement learning,arxiv:1509.02971,"We adapt the ideas underlying the success of Deep Q-Learning to the continuous action domain. We present an actor-critic, model-free algorithm based on the deterministic policy gradient that can operate over continuous action spaces. Using the same learning algorithm, network architecture and hyper-parameters, our algorithm robustly solves more than 20 simulated physics tasks, including classic problems such as cartpole swing-up, dexterous manipulation, legged locomotion and car driving. Our algorithm is able to find policies whose performance is competitive with those found by a planning algorithm with full access to the dynamics of the domain and its derivatives. We further demonstrate that for many of the tasks the algorithm can learn policies end-to-end: directly from raw pixel inputs.",medium,A2 | A5 | A6 | A8,4,A2=low | A5=medium | A6=medium | A8=low,"A2=Discovers reusable temporal structure in sequential experience for downstream decision making or policy learning. | A5=Using the same learning algorithm, network architecture and hyper-parameters, our algorithm robustly solves more than 20 simulated physics tasks, including classic problems such as cartpole swing-up, dexterous manipulation, legged locomotion and car driving. | A6=Provides a policy, data, or control mechanism with a plausible path to learning from robot experience. | A8=The abstract does not identify a mechanism tied specifically to representation usefulness, active collection, uncertainty, or novelty.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets. | A5=The expansion tests whether this adaptive mixture mechanism adds a reusable way to control which robot experience influences policy training. | A6=Offers a reusable mechanism for converting sequential experience into better policy or data decisions. | A8=It is a general continuous-control baseline rather than an actionable A8 data-selection mechanism.",A2=false | A5=true | A6=false | A8=false,expansion_round_1 | expansion_round_2,,2015,arxiv:1509.02971 | paperid:6079533621729908911,arxiv:1509.02971,6079533621729908911,,,related-papers,,A2 | A5 | A6 | A8,false,false,false,true,A2/expansion-pool.json | A2/expansion-pool.jsonl | A5/expansion/raw/round1-references.json | A5/expansion/raw/round2-references.json | A5/expansion/raw/round2-similar.json | A5/expansion/raw/round3-similar.json | A6/expansion/canonical-pool.jsonl | A8/work/expansion-round2-novel.jsonl,A2/expansion-triage.jsonl | A5/expansion/round1-triage.jsonl | A6/expansion/triage.jsonl | A8/work/expansion-round2-triage.jsonl | A8/work/expansion-round3-triage.jsonl
72,arxiv:1601.00617,8,MEDIUM,A4,Coresets and Sketches,arxiv:1601.00617,"Geometric data summarization has become an essential tool in both geometric approximation algorithms and where geometry intersects with big data problems. In linear or near-linear time large data sets can be compressed into a summary, and then more intricate algorithms can be run on the summaries whose results approximate those of the full data set. Coresets and sketches are the two most important classes of these summaries. We survey five types of coresets and sketches: shape-fitting, density estimation, high-dimensional vectors, high-dimensional point sets / matrices, and clustering.",medium,A4,1,A4=medium,"A4=Selects a compact subset using utility, gradient, coverage, or representativeness signals.",A4=It provides adjacent evidence for data-efficient training intelligence.,A4=false,expansion_round_1,,,arxiv:1601.00617 | paper:5121572061627070089,,,,,related-paper-expansion,,A4,false,false,false,false,A4/expansion/expansion-registry.jsonl,A4/expansion/expansion-triage.jsonl
85,arxiv:1603.02199,8,HIGH,A4 | A5 | A6 | A8,Learning Hand-Eye Coordination for Robotic Grasping with Deep Learning and Large-Scale Data Collection,arxiv:1603.02199,"We describe a learning-based approach to hand-eye coordination for robotic grasping from monocular images. To learn hand-eye coordination for grasping, we trained a large convolutional neural network to predict the probability that task-space motion of the gripper will result in successful grasps, using only monocular camera images and independently of camera calibration or the current robot pose. This requires the network to observe the spatial relationship between the gripper and objects in the scene, thus learning hand-eye coordination. We then use this network to servo the gripper in real time to achieve successful grasps. To train our network, we collected over 800,000 grasp attempts over the course of two months, using between 6 and 14 robotic manipulators at any given time, with differences in camera placement and hardware. Our experimental evaluation demonstrates that our method achieves effective real-time control, can successfully grasp novel objects, and corrects mistakes by continuous servoing.",high,A4 | A5 | A6 | A8,4,A4=medium | A5=low | A6=medium | A8=high,"A4=Uses a valuation or attribution signal to estimate the contribution of training examples to model or policy outcomes. | A5=To learn hand-eye coordination for grasping, we trained a large convolutional neural network to predict the probability that task-space motion of the gripper will result in successful grasps, using only monocular camera images and independently of camera calibration or the cur. | A6=Transforms, segments, augments, retrieves, or composes trajectories so useful subsequences and corrective context become training signal. | A8=Large-scale self-supervised grasp attempts learn a vision-to-action representation from observed outcomes and retry data.",A4=It is directly or plausibly transferable to selecting robot experience for policy learning. | A5=This adaptive mixture neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training. | A6=Offers a reusable mechanism for converting sequential experience into better policy or data decisions. | A8=It is foundational evidence that autonomous outcome-labeled collection can make visual representations useful for control.,A4=false | A5=false | A6=false | A8=true,expansion_round_1 | expansion_round_2,,,arxiv:1603.02199 | paper:3448106872193934646 | paperid:3448106872193934646,arxiv:1603.02199,3448106872193934646,,,related-papers,,A4 | A5 | A6 | A8,false,false,false,true,A4/expansion/round2/registry.jsonl | A4/expansion/round4/registry.jsonl | A4/expansion/round5/registry.jsonl | A5/expansion/raw/round2-references.json | A5/expansion/raw/round3-similar.json | A6/expansion/canonical-pool.jsonl | A8/work/expansion-novel.jsonl | A8/work/expansion-pool.jsonl,A4/expansion/all-new-expansion-triage.jsonl | A5/expansion/round2-triage.jsonl | A6/expansion/triage.jsonl | A8/work/expansion-triage.jsonl
98,arxiv:1606.01540,8,MEDIUM,A4,OpenAI Gym,arxiv:1606.01540,"OpenAI Gym is a toolkit for reinforcement learning research. It includes a growing collection of benchmark problems that expose a common interface, and a website where people can share their results and compare the performance of algorithms. This whitepaper discusses the components of OpenAI Gym and the design decisions that went into the software.",medium,A4,1,A4=medium,A4=Provides adjacent evidence about how data composition affects learning outcomes.,A4=It extends the A4 mechanism space with adjacent data-centric evidence.,A4=false,expansion_round_1,,,arxiv:1606.01540 | paper:3953165551164443884,,,,,,,A4,false,false,false,false,A4/expansion/round4/registry.jsonl,A4/expansion/all-new-expansion-triage.jsonl
111,arxiv:1610.00529,8,MEDIUM,A5,Path Integral Guided Policy Search,arxiv:1610.00529,"We present a policy search method for learning complex feedback control policies that map from high-dimensional sensory inputs to motor torques, for manipulation tasks with discontinuous contact dynamics. We build on a prior technique called guided policy search (GPS), which iteratively optimizes a set of local policies for specific instances of a task, and uses these to train a complex, high-dimensional global policy that generalizes across task instances. We extend GPS in the following ways: (1) we propose the use of a model-free local optimizer based on path integral stochastic optimal control (PI2), which enables us to learn local policies for tasks with highly discontinuous contact dynamics; and (2) we enable GPS to train on a new set of task instances in every iteration by using on-policy sampling: this increases the diversity of the instances that the policy is trained on, and is crucial for achieving good generalization. We show that these contributions enable us to learn deep neural network policies that can directly perform torque control from visual input. We validate the method on a challenging door opening task and a pick-and-place task, and we demonstrate that our approach substantially outperforms the prior LQR-based local policy optimizer on these tasks. Furthermore, we show that on-policy sampling significantly increases the generalization ability of these policies.",medium,A5,1,A5=medium,"A5=We present a policy search method for learning complex feedback control policies that map from high-dimensional sensory inputs to motor torques, for manipulation tasks with discontinuous contact dynamics.",A5=This adaptive mixture neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training.,A5=true,expansion_round_2,,,arxiv:1610.00529,arxiv:1610.00529,4606503368456396271,,,,,A5,false,false,false,false,A5/expansion/raw/round2-references.json,A5/expansion/round2-triage.jsonl
124,arxiv:1611.07507,8,HIGH,A2 | A8,Variational Intrinsic Control,arxiv:1611.07507,"In this paper we introduce a new unsupervised reinforcement learning method for discovering the set of intrinsic options available to an agent. This set is learned by maximizing the number of different states an agent can reliably reach, as measured by the mutual information between the set of options and option termination states. To this end, we instantiate two policy gradient based algorithms, one that creates an explicit embedding space of options and one that represents options implicitly. The algorithms also provide an explicit measure of empowerment in a given state that can be used by an empowerment maximizing agent. The algorithm scales well with function approximation and we demonstrate the applicability of the algorithm on a range of tasks.",high,A2 | A8,2,A2=high | A8=high,A2=Discovers reusable temporal structure in sequential experience for downstream decision making or policy learning. | A8=A variational objective maximizes mutual information between latent intentions and resulting states to discover controllable skills.,"A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets. | A8=It distinguishes useful novelty—controllable behavioral diversity—from random coverage that may not improve a policy.",A2=true | A8=true,expansion_round_1 | expansion_round_2,,2016,arxiv:1611.07507 | paperid:3178440451369954771,,,,,,,A2 | A8,false,false,false,false,A2/expansion-pool.json | A2/expansion-pool.jsonl | A8/work/expansion-round2-novel.jsonl,A2/expansion-triage.jsonl | A8/work/expansion-round2-triage.jsonl | A8/work/expansion-round3-triage.jsonl
