"pass2_index","canonical_paper_id","assigned_agent","first_pass_classification","source_lane","paper_name","id","abstract","triage_label","lanes","lane_count","triage_labels_by_lane","mechanisms_by_lane","why_it_matters_by_lane","follow_up_by_lane","corpus_stages","authors","year","source_ids","primary_id","paper_id","categories","queries","discovery_methods","designations","primary_readers","metadata_verified_any","body_inspected_any","evidence_read_any","triage_disagreement","source_registry_paths","source_triage_paths"
"2","arxiv:0905.2592","3","HIGH","A2","A sticky HDP-HMM with application to speaker diarization","arxiv:0905.2592","We consider the problem of speaker diarization, the problem of segmenting an audio recording of a meeting into temporal segments corresponding to individual speakers. The problem is rendered particularly difficult by the fact that we are not allowed to assume knowledge of the number of people participating in the meeting. To address this problem, we take a Bayesian nonparametric approach to speaker diarization that builds on the hierarchical Dirichlet process hidden Markov model (HDP-HMM) of Teh et al. [J. Amer. Statist. Assoc. 101 (2006) 1566--1581]. Although the basic HDP-HMM tends to over-segment the audio data---creating redundant states and rapidly switching among them---we describe an augmented HDP-HMM that provides effective control over the switching rate. We also show that this augmentation makes it possible to treat emission distributions nonparametrically. To scale the resulting architecture to realistic diarization problems, we develop a sampling algorithm that employs a truncated approximation of the Dirichlet process to jointly resample the full state sequence, greatly improving mixing rates. Working with a benchmark NIST data set, we show that our Bayesian nonparametric architecture yields state-of-the-art speaker diarization results.","high","A2","1","A2=high","A2=Finds event, phase, or subtask boundaries by modeling temporal changes in observations, dynamics, language, or latent sequence variables.","A2=The mechanism connects temporal structure to data selection or learning efficiency in the Program A loop.","A2=true","expansion_round_1","","2009","arxiv:0905.2592","","","","","","","A2","false","false","false","false","A2/expansion-pool.json | A2/expansion-pool.jsonl","A2/expansion-triage.jsonl"
"15","arxiv:1206.6473","3","MEDIUM","A2","Compositional Planning Using Optimal Option Models","arxiv:1206.6473","In this paper we introduce a framework for option model composition. Option models are temporal abstractions that, like macro-operators in classical planning, jump directly from a start state to an end state. Prior work has focused on constructing option models from primitive actions, by intra-option model learning; or on using option models to construct a value function, by inter-option planning. We present a unified view of intra- and inter-option model learning, based on a major generalisation of the Bellman equation. Our fundamental operation is the recursive composition of option models into other option models. This key idea enables compositional planning over many levels of abstraction. We illustrate our framework using a dynamic programming algorithm that simultaneously constructs optimal option models for multiple subgoals, and also searches over those option models to provide rapid progress towards other subgoals.","medium","A2","1","A2=medium","A2=Uses temporally extended actions, keyposes, or learned macro-actions to expose multi-step structure while retaining feedback or planning control.","A2=The adjacent sequence mechanism offers a transferable way to localize or compress useful intervals when robot labels are scarce.","A2=true","expansion_round_1","","2012","arxiv:1206.6473","arxiv:1206.6473","6076274618132929846","","macro-actions options skills temporal abstraction sequential robot control","search-papers","true","A2","false","false","false","false","A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/expansion-pool.json | A2/expansion-pool.jsonl | A2/raw/q08-synonyms.json","A2/expansion-triage.jsonl"
"28","arxiv:1312.6229","3","MEDIUM","A5","OverFeat: Integrated Recognition, Localization and Detection using Convolutional Networks","arxiv:1312.6229","We present an integrated framework for using Convolutional Networks for classification, localization and detection. We show how a multiscale and sliding window approach can be efficiently implemented within a ConvNet. We also introduce a novel deep learning approach to localization by learning to predict object boundaries. Bounding boxes are then accumulated rather than suppressed in order to increase detection confidence. We show that different tasks can be learned simultaneously using a single shared network. This integrated framework is the winner of the localization task of the ImageNet Large Scale Visual Recognition Challenge 2013 (ILSVRC2013) and obtained very competitive results for the detection and classifications tasks. In post-competition work, we establish a new state of the art for the detection task. Finally, we release a feature extractor from our best model called OverFeat.","medium","A5","1","A5=medium","A5=Bounding boxes are then accumulated rather than suppressed in order to increase detection confidence.","A5=The expansion tests whether this weighting mechanism adds a reusable way to control which robot experience influences policy training.","A5=true","expansion_round_1","","","arxiv:1312.6229","arxiv:1312.6229","2044836330190951501","","","","","A5","false","false","false","false","A5/expansion/raw/round1-references.json | A5/expansion/raw/round1-similar.json","A5/expansion/round1-triage.jsonl"
"41","arxiv:1412.1193","3","MEDIUM","A3 | A4","New insights and perspectives on the natural gradient method","arxiv:1412.1193","Natural gradient descent is an optimization method traditionally motivated from the perspective of information geometry, and works well for many applications as an alternative to stochastic gradient descent. In this paper we critically analyze this method and its properties, and show how it can be viewed as a type of 2nd-order optimization method, with the Fisher information matrix acting as a substitute for the Hessian. In many important cases, the Fisher information matrix is shown to be equivalent to the Generalized Gauss-Newton matrix, which both approximates the Hessian, but also has certain properties that favor its use over the Hessian. This perspective turns out to have significant implications for the design of a practical and robust natural gradient optimizer, as it motivates the use of techniques like trust regions and Tikhonov regularization. Additionally, we make a series of contributions to the understanding of natural gradient and 2nd-order methods, including: a thorough analysis of the convergence speed of stochastic natural gradient descent (and more general stochastic 2nd-order methods) as applied to convex quadratics, a critical examination of the oft-used ""empirical"" approximation of the Fisher matrix, and an analysis of the (approximate) parameterization invariance property possessed by natural gradient methods (which we show also holds for certain other curvature, but notably not the Hessian).","medium","A3 | A4","2","A3=low | A4=medium","A3=The paper develops or analyzes New insights and perspectives on the natural gradient method. | A4=Provides adjacent evidence about how data composition affects learning outcomes.","A3=No direct mechanism connecting the result to noisy robot experience or data-to-policy decisions was established from the expansion abstract. | A4=It extends the A4 mechanism space with adjacent data-centric evidence.","A3=false | A4=false","expansion_round_1","","2014","arxiv:1412.1193 | paper:969847334483433221","","","","","firecrawl research related-papers","","A3","false","false","false","true","A3/expansion-registry.json | A3/paper-registry.json | A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl","A3/expansion-triage.jsonl | A4/expansion/all-new-expansion-triage.jsonl"
"54","arxiv:1506.08941","3","HIGH","A2","Language Understanding for Text-based Games Using Deep Reinforcement Learning","arxiv:1506.08941","In this paper, we consider the task of learning control policies for text-based games. In these games, all interactions in the virtual world are through text and the underlying state is not observed. The resulting language barrier makes such environments challenging for automatic game players. We employ a deep reinforcement learning framework to jointly learn state representations and action policies using game rewards as feedback. This framework enables us to map text descriptions into vector representations that capture the semantics of the game states. We evaluate our approach on two game worlds, comparing against baselines using bag-of-words and bag-of-bigrams for state representations. Our algorithm outperforms the baselines on both worlds demonstrating the importance of learning expressive representations.","high","A2","1","A2=high","A2=Encodes or selects compact trajectory segments or latent plans so sequential experience can be retrieved, recombined, or reused.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.","A2=true","expansion_round_1","","2015","arxiv:1506.08941","","","","","","","A2","false","false","false","false","A2/expansion-pool.json | A2/expansion-pool.jsonl","A2/expansion-triage.jsonl"
"67","arxiv:1511.06418","3","HIGH","A2","Binding via Reconstruction Clustering","arxiv:1511.06418","Disentangled distributed representations of data are desirable for machine learning, since they are more expressive and can generalize from fewer examples. However, for complex data, the distributed representations of multiple objects present in the same input can interfere and lead to ambiguities, which is commonly referred to as the binding problem. We argue for the importance of the binding problem to the field of representation learning, and develop a probabilistic framework that explicitly models inputs as a composition of multiple objects. We propose an unsupervised algorithm that uses denoising autoencoders to dynamically bind features together in multi-object inputs through an Expectation-Maximization-like clustering process. The effectiveness of this method is demonstrated on artificially generated datasets of binary images, showing that it can even generalize to bind together new objects never seen by the autoencoder during training.","high","A2","1","A2=high","A2=Encodes or selects compact trajectory segments or latent plans so sequential experience can be retrieved, recombined, or reused.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.","A2=true","expansion_round_1","","2015","arxiv:1511.06418","","","","","","","A2","false","false","false","false","A2/expansion-pool.json | A2/expansion-pool.jsonl","A2/expansion-triage.jsonl"
"80","arxiv:1602.06822","3","HIGH","A2","Understanding Visual Concepts with Continuation Learning","arxiv:1602.06822","We introduce a neural network architecture and a learning algorithm to produce factorized symbolic representations. We propose to learn these concepts by observing consecutive frames, letting all the components of the hidden representation except a small discrete set (gating units) be predicted from the previous frame, and let the factors of variation in the next frame be represented entirely by these discrete gated units (corresponding to symbolic representations). We demonstrate the efficacy of our approach on datasets of faces undergoing 3D transformations and Atari 2600 games.","high","A2","1","A2=high","A2=Encodes or selects compact trajectory segments or latent plans so sequential experience can be retrieved, recombined, or reused.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.","A2=true","expansion_round_1","","2016","arxiv:1602.06822","","","","","","","A2","false","false","false","false","A2/expansion-pool.json | A2/expansion-pool.jsonl","A2/expansion-triage.jsonl"
"93","arxiv:1604.07316","3","MEDIUM","A1 | A3","End to End Learning for Self-Driving Cars","arxiv:1604.07316","We trained a convolutional neural network (CNN) to map raw pixels from a single front-facing camera directly to steering commands. This end-to-end approach proved surprisingly powerful. With minimum training data from humans the system learns to drive in traffic on local roads with or without lane markings and on highways. It also operates in areas with unclear visual guidance such as in parking lots and on unpaved roads. The system automatically learns internal representations of the necessary processing steps such as detecting useful road features with only the human steering angle as the tr","medium","A1 | A3","2","A1=low | A3=medium","A1=The abstract does not expose a clear temporal mechanism connected to the lane. | A3=The paper develops or evaluates End to End Learning for Self-Driving Cars, offering an adjacent mechanism for robot learning or data use.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification. | A3=The result may transfer to A3 quality estimation or harmful-data handling, but direct relevance is uncertain.","A1=false | A3=false","expansion_round_1 | expansion_round_2","","2016","arxiv:1604.07316","arxiv:1604.07316","3297292179527300949","","","firecrawl research related-papers | related-references","","A1 | A3","false","false","false","true","A1/expansion-registry.json | A1/paper-registry-complete.json | A3/paper-registry.json | A3/round2-registry.json","A1/expansion-triage.jsonl | A3/round2-triage.jsonl"
"106","arxiv:1607.08584","3","HIGH","A1","Connectionist Temporal Modeling for Weakly Supervised Action Labeling","arxiv:1607.08584","We propose a weakly-supervised framework for action labeling in video, where only the order of occurring actions is required during training time. The key challenge is that the per-frame alignments between the input (video) and label (action) sequences are unknown during training. We address this by introducing the Extended Connectionist Temporal Classification (ECTC) framework to efficiently evaluate all possible alignments via dynamic programming and explicitly enforce their consistency with frame-to-frame visual similarities. This protects the model from distractions of visually inconsistent or degenerated alignments without the need of temporal supervision. We further extend our framework to the semi-supervised case when a few frames are sparsely annotated in a video. With less than 1% of labeled frames per video, our method is able to outperform existing semi-supervised approaches and achieve comparable performance to that of fully supervised approaches.","high","A1","1","A1=high","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Connectionist Temporal Modeling for Weakly Supervised Action Labeling.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.","A1=true","expansion_round_1","","","arxiv:1607.08584","arxiv:1607.08584","2646448794625358026","","","related-references","","A1","false","false","false","false","A1/expansion-registry.json | A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/paper-registry-complete.json","A1/expansion-triage.jsonl"
"119","arxiv:1611.01796","3","HIGH","A2","Modular Multitask Reinforcement Learning with Policy Sketches","arxiv:1611.01796","We describe a framework for multitask deep reinforcement learning guided by policy sketches. Sketches annotate tasks with sequences of named subtasks, providing information about high-level structural relationships among tasks but not how to implement them---specifically not providing the detailed guidance used by much previous work on learning policy abstractions for RL (e.g. intermediate rewards, subtask completion signals, or intrinsic motivations). To learn from sketches, we present a model that associates every subtask with a modular subpolicy, and jointly maximizes reward over full task-specific policies by tying parameters across shared subpolicies. Optimization is accomplished via a decoupled actor--critic training objective that facilitates learning common behaviors from multiple dissimilar reward functions. We evaluate the effectiveness of our approach in three environments featuring both discrete and continuous control, and with sparse rewards that can be obtained only after completing a number of high-level subgoals. Experiments show that using our approach to learn policies guided by sketches gives better performance than existing techniques for learning task-specific or shared policies, while naturally inducing a library of interpretable primitive behaviors that can be recombined to rapidly adapt to new tasks.","high","A2","1","A2=high","A2=Finds event, phase, or subtask boundaries by modeling temporal changes in observations, dynamics, language, or latent sequence variables.","A2=The mechanism connects temporal structure to data selection or learning efficiency in the Program A loop.","A2=true","expansion_round_1","","2016","arxiv:1611.01796","","","","","","","A2","false","false","false","false","A2/expansion-pool.json | A2/expansion-pool.jsonl","A2/expansion-triage.jsonl"
