pass2_index,paper_id,assigned_agent,first_pass_classification,source_lane,paper_name,id,abstract,triage_label,lanes,lane_count,triage_labels_by_lane,mechanisms_by_lane,why_it_matters_by_lane,follow_up_by_lane,corpus_stages,authors,year,source_ids,primary_id,source_paper_id,categories,queries,discovery_methods,designations,primary_readers,metadata_verified_any,body_inspected_any,evidence_read_any,triage_disagreement,source_registry_paths,source_triage_paths
6,arxiv:1106.0681,7,MEDIUM,A8,Accelerating Reinforcement Learning through Implicit Imitation,arxiv:1106.0681,"Imitation can be viewed as a means of enhancing learning in multiagent environments. It augments an agent's ability to learn useful behaviors by making intelligent use of the knowledge implicit in behaviors demonstrated by cooperative teachers or other more experienced agents. We propose and study a formal model of implicit imitation that can accelerate reinforcement learning dramatically in certain cases. Roughly, by observing a mentor, a reinforcement-learning agent can extract information about its own capabilities in, and the relative value of, unvisited parts of the state space. We study two specific instantiations of this model, one in which the learning agent and the mentor have identical abilities, and one designed to deal with agents and mentors with different action sets. We illustrate the benefits of implicit imitation by integrating it with prioritized sweeping, and demonstrating improved performance and convergence through observation of single and multiple mentors. Though we make some stringent assumptions regarding observability and possible interactions, we briefly comment on extensions of the model that relax these restricitions.",medium,A8,1,A8=medium,A8=Demonstrations initialize or guide reinforcement learning so exploration starts near useful behavior and then improves by trial outcomes.,A8=It frames demonstrations as an information-efficient prior for deciding where subsequent exploration should occur.,A8=true,expansion_round_1,,,arxiv:1106.0681 | paperid:3022603854347046548,,,,,related-papers,,A8,false,false,false,false,A8/work/expansion-novel.jsonl | A8/work/expansion-pool.jsonl,A8/work/expansion-triage.jsonl
19,arxiv:1301.2603,7,MEDIUM,A4,Robust subspace clustering,arxiv:1301.2603,"Subspace clustering refers to the task of finding a multi-subspace representation that best fits a collection of points taken from a high-dimensional space. This paper introduces an algorithm inspired by sparse subspace clustering (SSC) [In IEEE Conference on Computer Vision and Pattern Recognition, CVPR (2009) 2790-2797] to cluster noisy data, and develops some novel theory demonstrating its correctness. In particular, the theory uses ideas from geometric functional analysis to show that the algorithm can accurately recover the underlying subspaces under minimal requirements on their orientation, and on the number of samples per subspace. Synthetic as well as real data experiments complement our theoretical study, illustrating our approach and demonstrating its effectiveness.",medium,A4,1,A4=medium,A4=Provides adjacent evidence about how data composition affects learning outcomes.,A4=It extends the A4 mechanism space with adjacent data-centric evidence.,A4=true,expansion_round_1,,,arxiv:1301.2603 | paper:7532314981416925193,,,,,,,A4,false,false,false,false,A4/expansion/round3/registry.jsonl,A4/expansion/all-new-expansion-triage.jsonl
32,arxiv:1406.2541,7,HIGH,A8,Predictive Entropy Search for Efficient Global Optimization of Black-box Functions,arxiv:1406.2541,"We propose a novel information-theoretic approach for Bayesian optimization called Predictive Entropy Search (PES). At each iteration, PES selects the next evaluation point that maximizes the expected information gained with respect to the global maximum. PES codifies this intractable acquisition function in terms of the expected reduction in the differential entropy of the predictive distribution. This reformulation allows PES to obtain approximations that are both more accurate and efficient than other alternatives such as Entropy Search (ES). Furthermore, PES can easily perform a fully Bayesian treatment of the model hyperparameters while ES cannot. We evaluate PES in both synthetic and real-world applications, including optimization problems in machine learning, finance, biotechnology, and robotics. We show that the increased accuracy of PES leads to significant gains in optimization performance.",high,A8,1,A8=high,A8=Predictive entropy search selects evaluations expected to reduce uncertainty about the location of the optimum.,A8=It is a transferable acquisition rule for choosing costly robot experiments with maximum decision value.,A8=true,expansion_round_3,,,arxiv:1406.2541 | paperid:6055344540442798266,,,,,,,A8,false,false,false,false,A8/work/expansion-round3-novel.jsonl,A8/work/expansion-round3-triage.jsonl
45,arxiv:1503.02406,7,MEDIUM,A5,Deep Learning and the Information Bottleneck Principle,arxiv:1503.02406,"Deep Neural Networks (DNNs) are analyzed via the theoretical framework of the information bottleneck (IB) principle. We first show that any DNN can be quantified by the mutual information between the layers and the input and output variables. Using this representation we can calculate the optimal information theoretic limits of the DNN and obtain finite sample generalization bounds. The advantage of getting closer to the theoretical limit is quantifiable both by the generalization bound and by the network's simplicity. We argue that both the optimal architecture, number of layers and features/connections at each layer, are related to the bifurcation points of the information bottleneck tradeoff, namely, relevant compression of the input layer with respect to the output layer. The hierarchical representations at the layered network naturally correspond to the structural phase transitions along the information curve. We believe that this new insight can lead to new optimality bounds and deep learning algorithms.",medium,A5,1,A5=medium,A5=Using this representation we can calculate the optimal information theoretic limits of the DNN and obtain finite sample generalization bounds.,A5=This weighting neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training.,A5=true,expansion_round_3,,,arxiv:1503.02406,arxiv:1503.02406,2731341125660256416,,,,,A5,false,false,false,false,A5/expansion/raw/round3-references.json | A5/expansion/raw/round3-similar.json,A5/expansion/round3-triage.jsonl
58,arxiv:1509.01626,7,MEDIUM,A4,Character-level Convolutional Networks for Text Classification,arxiv:1509.01626,"This article offers an empirical exploration on the use of character-level convolutional networks (ConvNets) for text classification. We constructed several large-scale datasets to show that character-level convolutional networks could achieve state-of-the-art or competitive results. Comparisons are offered against traditional models such as bag of words, n-grams and their TFIDF variants, and deep learning models such as word-based ConvNets and recurrent neural networks.",medium,A4,1,A4=medium,A4=Connects trajectory or dataset composition to downstream policy or model behavior.,A4=It provides adjacent evidence for data-efficient training intelligence.,A4=false,expansion_round_1,,,arxiv:1509.01626 | paper:371069465970697393,,,,,related-paper-expansion,,A4,false,false,false,false,A4/expansion/expansion-registry.jsonl,A4/expansion/expansion-triage.jsonl
71,arxiv:1512.03385,7,MEDIUM,A1 | A4 | A5 | A8,Deep Residual Learning for Image Recognition,arxiv:1512.03385,"Deeper neural networks are more difficult to train. We present a residual learning framework to ease the training of networks that are substantially deeper than those used previously. We explicitly reformulate the layers as learning residual functions with reference to the layer inputs, instead of learning unreferenced functions. We provide comprehensive empirical evidence showing that these residual networks are easier to optimize, and can gain accuracy from considerably increased depth. On the ImageNet dataset we evaluate residual nets with a depth of up to 152 layers---8x deeper than VGG nets but still having lower complexity. An ensemble of these residual nets achieves 3.57% error on the ImageNet test set. This result won the 1st place on the ILSVRC 2015 classification task. We also present analysis on CIFAR-10 with 100 and 1000 layers. The depth of representations is of central importance for many visual recognition tasks. Solely due to our extremely deep representations, we obtain a 28% relative improvement on the COCO object detection dataset. Deep residual nets are foundations of our submissions to ILSVRC & COCO 2015 competitions, where we also won the 1st places on the tasks of ImageNet detection, ImageNet localization, COCO detection, and COCO segmentation.",medium,A1 | A4 | A5 | A8,4,A1=low | A4=medium | A5=low | A8=low,"A1=The abstract does not expose a clear temporal mechanism connected to the lane. | A4=Connects trajectory or dataset composition to downstream policy or model behavior. | A5=This result won the 1st place on the ILSVRC 2015 classification task. | A8=The abstract does not identify a mechanism tied to robot representation usefulness, active data collection, or exploration.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification. | A4=It provides adjacent evidence for data-efficient training intelligence. | A5=The expansion tests whether this weighting mechanism adds a reusable way to control which robot experience influences policy training. | A8=It is a generic vision architecture paper rather than an actionable A8 mechanism.",A1=false | A4=false | A5=false | A8=false,expansion_round_1 | expansion_round_2,,,arxiv:1512.03385 | paper:3833055485102596435 | paperid:3833055485102596435,arxiv:1512.03385,3833055485102596435,,,related-paper-expansion | related-papers-round2 | related-papers-round3,,A1,false,false,false,true,A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/paper-registry-complete.json | A4/expansion/expansion-registry.jsonl | A4/expansion/round2/registry.jsonl | A4/expansion/round3/registry.jsonl | A4/expansion/round4/registry.jsonl | A4/expansion/round5/registry.jsonl | A5/expansion/raw/round1-similar.json | A5/expansion/raw/round2-similar.json | A5/expansion/raw/round3-similar.json | A8/work/expansion-round2-novel.jsonl,A1/expansion-round2-triage.jsonl | A4/expansion/expansion-triage.jsonl | A5/expansion/round1-triage.jsonl | A8/work/expansion-round2-triage.jsonl
84,arxiv:1603.00964,7,HIGH,A2,Object Manipulation Learning by Imitation,arxiv:1603.00964,"We aim to enable robot to learn object manipulation by imitation. Given external observations of demonstrations on object manipulations, we believe that two underlying problems to address in learning by imitation is 1) segment a given demonstration into skills that can be individually learned and reused, and 2) formulate the correct RL (Reinforcement Learning) problem that only considers the relevant aspects of each skill so that the policy for each skill can be effectively learned. Previous works made certain progress in this direction, but none has taken private information into account. The public information is the information that is available in the external observations of demonstration, and the private information is the information that are only available to the agent that executes the actions, such as tactile sensations. Our contribution is that we provide a method for the robot to automatically segment the demonstration of object manipulations into multiple skills, and formulate the correct RL problem for each skill, and automatically decide whether the private information is an important aspect of each skill based on interaction with the world. Our experiment shows that our robot learns to pick up a block, and stack it onto another block by imitating an observed demonstration. The evaluation is based on 1) whether the demonstration is reasonably segmented, 2) whether the correct RL problems are formulated, 3) and whether a good policy is learned.",high,A2,1,A2=high,"A2=Localizes event, phase, or subtask boundaries by modeling changes in multimodal observations, dynamics, language, or latent sequence structure.","A2=Boundary and horizon choices determine the training unit, feedback latency, credit assignment, and compounding-error exposure in long-horizon robot learning.",A2=true,primary_assignment,"Zhen Zeng, Benjamin Kuipers",2016,arxiv:1603.00964,arxiv:1603.00964,1559096342749981196,cs.AI | cs.RO,learning to segment demonstrations programming by demonstration | robot learning trajectory segmentation event boundaries action sequences | robot manipulation demonstration segmentation subtask boundaries temporally extended actions | trajectory segmentation imitation learning demonstrations event detection,search-papers,true,A2,false,false,false,false,A2/assigned-papers.json | A2/assigned-registry-inspected.json | A2/assigned-registry-inspected.jsonl | A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/raw/q01-direct.json | A2/raw/q02-direct.json | A2/raw/q03-direct.json | A2/raw/q29-programming-by-demo.json | A6/raw-retrieval/q09-mech-segmentation.json | A6/work/canonical-pool.jsonl,A2/assigned-abstracts.jsonl | A2/triage.jsonl
97,arxiv:1605.09674,7,HIGH,A8,VIME: Variational Information Maximizing Exploration,arxiv:1605.09674,"Scalable and effective exploration remains a key challenge in reinforcement learning (RL). While there are methods with optimality guarantees in the setting of discrete state and action spaces, these methods cannot be applied in high-dimensional deep RL scenarios. As such, most contemporary RL relies on simple heuristics such as epsilon-greedy exploration or adding Gaussian noise to the controls. This paper introduces Variational Information Maximizing Exploration (VIME), an exploration strategy based on maximization of information gain about the agent's belief of environment dynamics. We propose a practical implementation, using variational inference in Bayesian neural networks which efficiently handles continuous state and action spaces. VIME modifies the MDP reward function, and can be applied with several different underlying RL algorithms. We demonstrate that VIME achieves significantly better performance compared to heuristic exploration methods across a variety of continuous control tasks and algorithms, including tasks with very sparse rewards.",high,A8,1,A8=high,A8=A variational Bayesian dynamics model rewards actions that maximize information gain about model parameters.,A8=It is a foundational uncertainty-driven experiment-design mechanism for selecting robot interactions.,A8=true,expansion_round_3,,,arxiv:1605.09674 | paperid:1140231910121940911,,,,,,,A8,false,false,false,false,A8/work/expansion-round3-novel.jsonl,A8/work/expansion-round3-triage.jsonl
110,arxiv:1609.08201,7,MEDIUM,A1,Robust Time-Series Retrieval Using Probabilistic Adaptive Segmental Alignment,arxiv:1609.08201,"Traditional pairwise sequence alignment is based on matching individual samples from two sequences, under time monotonicity constraints. However, in many application settings matching subsequences (segments) instead of individual samples may bring in additional robustness to noise or local non-causal perturbations. This paper presents an approach to segmental sequence alignment that jointly segments and aligns two sequences, generalizing the traditional per-sample alignment. To accomplish this task, we introduce a distance metric between segments based on average pairwise distances and then present a modified pair-HMM (PHMM) that incorporates the proposed distance metric to solve the joint segmentation and alignment task. We also propose a relaxation to our model that improves the computational efficiency of the generic segmental PHMM. Our results demonstrate that this new measure of sequence similarity can lead to improved classification performance, while being resilient to noise, on a variety of sequence retrieval problems, from EEG to motion sequence classification.",medium,A1,1,A1=medium,"A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Robust Time-Series Retrieval Using Probabilistic Adaptive Segmental Alignment.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification.",A1=true,expansion_round_1,,,arxiv:1609.08201,arxiv:1609.08201,2051994518670813318,,,related-similar,,A1,false,false,false,false,A1/expansion-registry.json | A1/paper-registry-complete.json,A1/expansion-triage.jsonl
123,arxiv:1611.07476,7,MEDIUM,A4,Eigenvalues of the Hessian in Deep Learning: Singularity and Beyond,arxiv:1611.07476,"We look at the eigenvalues of the Hessian of a loss function before and after training. The eigenvalue distribution is seen to be composed of two parts, the bulk which is concentrated around zero, and the edges which are scattered away from zero. We present empirical evidence for the bulk indicating how over-parametrized the system is, and for the edges that depend on the input data.",medium,A4,1,A4=medium,A4=Connects trajectory or dataset composition to downstream policy or model behavior.,A4=It provides adjacent evidence for data-efficient training intelligence.,A4=false,expansion_round_1,,,arxiv:1611.07476 | paper:3830380477984758992,,,,,related-paper-expansion,,A4,false,false,false,false,A4/expansion/expansion-registry.jsonl,A4/expansion/expansion-triage.jsonl
